,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
FiniteLivedIntangibleAssetsAmortizationExpense,11000000.000,11000000.000,13000000.000,,10000000.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,166000000.000,,,,149000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseAfterYearFive,27000000.000,,,,16000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseRemainderOfFiscalYear,29000000.000,,,,25000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,13000000.000,,,,12000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,17000000.000,,,,16000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,32000000.000,,,,31000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,20000000.000,,,,22000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,28000000.000,,,,27000000.000,,,,,,,,,,,,,,,,,,,
GainLossOnRepurchaseOfDebtInstrument,,,,,,,,,,,,,,,,,1000000.000,,,,,,,
GainLossOnSaleOfOtherAssets,8000000.000,,,,1000000.000,,,,7000000.000,,,,1000000.000,,,,,,,,,,,
GoodwillAllocationAdjustment,-5000000.000,,,,,,,,,,,,,,,,,,,,,,,
GoodwillAndIntangibleAssetImpairment,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,0.000,486000000.000,0.000,0.000,0.000,,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,,,,,,,,,,,,,,,,,,-3000000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,1000000.000,,4000000.000,30000000.000,19000000.000,-2000000.000,0.000,24000000.000,17000000.000,0.000,,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,,12000000.000,,,,,,,,,,,
IncomeLossFromContinuingOperations,130000000.000,112000000.000,-90000000.000,-160000000.000,117000000.000,110000000.000,112000000.000,184000000.000,,44000000.000,-9000000.000,,46000000.000,-439000000.000,38000000.000,25000000.000,23000000.000,37000000.000,49000000.000,49000000.000,41000000.000,,,
