,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-4523930.000,,
ComprehensiveIncomeNetOfTax,,,,1038017.000,-21050.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,2184285.000,-11448.000
CostOfGoodsAndServicesSold,-40131874.000,-40713317.000,-40603493.000,-68755806.000,-42729484.000
DeferredIncomeTaxExpenseBenefit,,,169329.000,,
DepreciationDepletionAndAmortization,,,590379.000,,
EarningsPerShareBasic,0.021,-0.025,-0.025,0.044,-0.000
EarningsPerShareDiluted,0.021,-0.025,-0.025,0.044,-0.000
GainLossOnDispositionOfProperty,,,-68095.000,,
GrossProfit,7450492.000,5864426.000,6201095.000,9152843.000,6543533.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1341008.000,-1167775.000,-1000810.000,2697713.000,-43409.000
IncomeTaxExpenseBenefit,131705.000,-43622.000,,488021.000,-56459.000
IncomeTaxesPaid,,,0.000,,
IncreaseDecreaseInAccountsPayableTrade,,,1425146.000,,
IncreaseDecreaseInAccountsReceivable,,,-2114120.000,,
IncreaseDecreaseInInventories,,,8465088.000,,
IncreaseDecreaseInRestrictedCash,,,-329461.000,,
InterestAndDebtExpense,396777.000,373318.000,544761.000,635779.000,691297.000
InterestPaid,,,544761.000,,
InventoryWriteDown,,,38349.000,,
InvestmentIncomeInterest,,,,9050.000,29051.000
NetCashProvidedByUsedInFinancingActivities,,,3159120.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,3159120.000,,
NetCashProvidedByUsedInInvestingActivities,,,-99046.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-99046.000,,
NetCashProvidedByUsedInOperatingActivities,,,-7584004.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-7584004.000,,
NetIncomeLoss,524761.000,-617884.000,-602397.000,1072190.000,-7202.000
NetIncomeLossAttributableToNoncontrollingInterest,684542.000,-506269.000,-567742.000,-1137502.000,-20252.000
NonoperatingIncomeExpense,-104040.000,-37323.000,-361189.000,326104.000,-382212.000
OperatingIncomeLoss,1445048.000,-1130452.000,-639621.000,2371609.000,338803.000
OperatingLeasesRentExpenseNet,,,,1289999.000,1396299.000
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTaxPortionAttributableToNoncontrollingInterest,,,,-8766.000,10650.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-25407.000,-24498.000
OtherIncome,,,,952833.000,280034.000
OtherNoncashIncomeExpense,,,-4632.000,,
OtherNonoperatingIncomeExpense,292737.000,335995.000,183572.000,961883.000,309085.000
PaymentsToAcquirePropertyPlantAndEquipment,,,1599417.000,,
ProceedsFromRepaymentsOfOtherDebt,,,4329774.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,-1170654.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,1170910.000,,
ProfitLoss,1209303.000,-1124153.000,-1170139.000,2209692.000,13050.000
ProvisionForDoubtfulAccounts,,,26968.000,,
Revenues,47582366.000,46577743.000,46804588.000,78861482.000,49553051.000
RevenuesFromExternalCustomers,,,,77908649.000,49273017.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,,,0.000,0.000
SalesRevenueNet,47582366.000,46577743.000,46804588.000,77908649.000,49273017.000
SellingGeneralAndAdministrativeExpense,6005444.000,6994878.000,6840716.000,6781234.000,6204730.000
WeightedAverageNumberOfDilutedSharesOutstanding,24534492.000,24534492.000,24534492.000,24534492.000,24534492.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,24534492.000,24534492.000
WeightedAverageNumberOfSharesOutstandingBasic,24534492.000,24534492.000,24534492.000,24534492.000,24534492.000
