,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,,,,,,,,,,,,,,-3890612.000,,,,,,-6637913.000
GeneralAndAdministrativeExpense,,,,,712694.000,,675085.000,641365.000,589390.000,571149.000,534830.000,543695.000,599686.000,520283.000,447190.000,359982.000,,,,,,,
IncomeLossAttributableToParent,-21506898.000,-37378329.000,6169141.000,-27727406.000,8648546.000,-12087115.000,31083.000,-13108304.000,8948103.000,-4393508.000,7681792.000,21630196.000,-6978999.000,-27524231.000,-18793140.000,-6205849.000,,,,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,,0.000,,,,0.000,,,,
InterestIncomeOperating,-6785.000,-14492.000,-8212.000,,,,,,,,,,,,,,0.000,,22884.000,21255.000,29609.000,30107.000,44855.000
InvestmentIncomeInterest,,,,-29749.000,0.000,,0.000,0.000,0.000,1853.000,0.000,0.000,0.000,,0.000,0.000,,,,,,,
InvestmentIncomeInvestmentExpense,,,,,,,,,,,,,,,,,,,802368.000,667805.000,660050.000,593967.000,
InvestmentIncomeNet,,,,,,,,,,,,,,,,,-1555105.000,,-779484.000,-646550.000,-630441.000,-563860.000,-527844.000
ManagementFeeExpense,,,,,,,,,,,,,,,,,,,138007.000,202166.000,198724.000,183330.000,173036.000
NetIncomeLoss,,,,,,,,,,,,,,,,,-4897620.000,,-6919844.000,-1802118.000,-1753703.000,3064681.000,-1324490.000
OperatingExpenses,3560257.000,4373655.000,4606045.000,4632542.000,4354506.000,4315251.000,4180972.000,4038746.000,3684214.000,3577466.000,3378890.000,2962002.000,3242370.000,2808358.000,2438313.000,1953127.000,1575080.000,1325788.000,834397.000,702348.000,694784.000,621126.000,596813.000
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,-572699.000
OtherExpenses,91497.000,11931.000,79152.000,64223.000,59574.000,39574.000,71398.000,69239.000,54286.000,46811.000,55804.000,75723.000,76539.000,68063.000,57203.000,49604.000,86109.000,74983.000,,,,,
PrincipalTransactionsRevenue,,,,,,,,-13128583.000,18270087.000,,15615536.000,32554765.000,-4681759.000,,20958115.000,-5098888.000,-3342515.000,-37519505.000,-6140360.000,-1155568.000,-1123262.000,3628541.000,-796646.000
ProfessionalFees,,,,,,,,,,,,,,,,,,,67376.000,65446.000,65095.000,56092.000,50896.000
RealizedInvestmentGainsLosses,,,,,,,,,,,,,,,,,-20016783.000,,-6362032.000,-915736.000,-1171475.000,3203981.000,-369886.000
SellingExpense,,,,,,,,,,,,,,,865585.000,,,,,,,,226099.000
TradingActivityGainsAndLossesNet,-17939856.000,-32990182.000,10783398.000,-23065115.000,13003052.000,-7771864.000,4212055.000,-9069558.000,12632317.000,-817895.000,11060682.000,,,,,,,,,,,,
TradingGainsLosses,,,,,,,,,,,,24592198.000,-3736629.000,,-16354827.000,-4252722.000,,,,,,,
UnrealizedGainLossOnCommodityContracts,-10116658.000,-21127141.000,3807526.000,,,,,,,,,,,,,,,,,,,,
UnrealizedGainLossOnInvestments,,,,,,,,,,,,,,,,,16674268.000,,221672.000,-239832.000,48213.000,424560.000,-426760.000
