,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,53317.000,,112343.000,,,,109990.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,350167.000,,,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,286732.000,,390673.000,,,,288593.000,
AmortizationOfDebtDiscountPremium,,,,,,,,,85506.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,2370053.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,453151.000,,-794066.000,,,,-48187.000,
ComprehensiveIncomeNetOfTax,,,-1016586.000,-2525570.000,-1403137.000,-696327.000,-366336.000,-1702602.000,-535996.000,-309095.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-3803.000,-511472.000,-1016586.000,-2525570.000,-1403137.000,-696327.000,-366336.000,-1702602.000,-535996.000,-309095.000
CostOfGoodsAndServicesSold,927410.000,772512.000,,,,,,,,
DepreciationNonproduction,172410.000,175816.000,179102.000,191389.000,92089.000,92107.000,92519.000,-29009.000,65355.000,51189.000
EarningsPerShareBasicAndDiluted,-0.150,-0.100,-0.200,-0.400,-0.220,-0.110,-0.050,-0.270,0.080,0.050
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,2282.000,,-7997.000,,,,1208.000,
ForeignCurrencyTransactionGainLossBeforeTax,7878.000,1792.000,-390.000,,,,,,,
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,-1112470.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,9268.000,67709.000
GeneralAndAdministrativeExpense,657229.000,382899.000,,,,,,,,
GrossProfit,431521.000,411370.000,,,,,,,,
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,1740.000,-1065.000,-702.000,7850.000,-3418.000,-2016.000,-2875.000,-3765.000,-2174.000,-2878.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-757739.000,-516922.000,,,,,,,-539378.000,-259681.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,0.080,0.040
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,-46657.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,0.010
IncomeTaxExpenseBenefit,0.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-203315.000,,-532367.000,,,,-178740.000,
IncreaseDecreaseInAccountsReceivable,,,10168.000,,42663.000,,,,-342158.000,
IncreaseDecreaseInCustomerDeposits,,,,,331892.000,,,,-33576.000,
IncreaseDecreaseInDeferredRevenue,,,-51227.000,,422027.000,,,,34923.000,
IncreaseDecreaseInInterestPayableNet,,,-2535.000,,,,,,,
IncreaseDecreaseInInventories,,,-276617.000,,-24969.000,,,,-191.000,
IncreaseDecreaseInOtherDeferredLiability,,,-73148.000,,-51996.000,,,,-32125.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-53260.000,,89105.000,,,,43316.000,
InterestExpense,37156.000,42128.000,138162.000,157259.000,153693.000,144064.000,168190.000,176866.000,152432.000,146326.000
InterestPaid,,,63139.000,,64357.000,,,,57658.000,
InvestmentIncomeInterest,67637.000,59423.000,57968.000,,,,,,,
InvestmentIncomeNonoperating,,,,181962.000,,,,,32435.000,28112.000
LeaseAndRentalExpense,,,,,,,,,7000.000,
LineOfCreditFacilityPeriodicPaymentInterest,,,,,,,,,1163.000,
LossContingencyDamagesSoughtValue,,,,,,,,,85000.000,
NetCashProvidedByUsedInFinancingActivities,,,981457.000,,-6680.000,,,,-4630.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,981457.000,,-6680.000,,,,-4630.000,
NetCashProvidedByUsedInInvestingActivities,,,207915.000,,228496.000,,,,206020.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,207915.000,,228496.000,,,,206020.000,
NetCashProvidedByUsedInOperatingActivities,,,-738503.000,,-1007885.000,,,,-250785.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-738503.000,,-1007885.000,,,,-250785.000,
NetIncomeLoss,,,-1024533.000,-2555336.000,-1395140.000,-717074.000,-345053.000,-1684475.000,-537204.000,-303460.000
NonoperatingIncomeExpense,3005.000,-28576.000,-80584.000,110982.000,-100966.000,-95830.000,-123973.000,-141824.000,-110729.000,-50505.000
OperatingExpenses,1192265.000,899716.000,2482192.000,5045682.000,3422656.000,3069062.000,3212185.000,3013360.000,2058806.000,2105588.000
OperatingIncomeLoss,-760744.000,-488346.000,-944651.000,-2658468.000,-1297592.000,-623260.000,-223955.000,-1123913.000,-428649.000,-209176.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-763282.000,4385.000,7947.000,29766.000,,,,,,
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,,,,,,,,1208.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,7947.000,,-7997.000,20747.000,-21283.000,-18127.000,1208.000,-5635.000
OtherGeneralExpense,204794.000,190608.000,438763.000,628638.000,524565.000,271665.000,256269.000,,,
OtherIncome,,,,86279.000,52727.000,48234.000,44217.000,,,
OtherNonoperatingIncomeExpense,-180.000,245.000,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,40236.000,,6415.000,,,,10000.000,
ProceedsFromCollectionOfLeaseReceivables,,,248151.000,,234911.000,,,,216020.000,
ProceedsFromLongTermLinesOfCredit,,,1000000.000,,,,,,,
ProfitLoss,-759479.000,-515857.000,-1025235.000,-2547486.000,-1398558.000,-719090.000,-347928.000,-1688240.000,-539378.000,-306338.000
ProvisionForDoubtfulAccounts,,,-21923.000,,31978.000,,,,-74000.000,
RepaymentsOfLongTermCapitalLeaseObligations,,,3556.000,,2719.000,,,,1976.000,
RepaymentsOfNotesPayable,,,14987.000,,3961.000,,,,2654.000,
ResearchAndDevelopmentExpense,157832.000,150393.000,260733.000,312076.000,278292.000,195257.000,163137.000,169199.000,144392.000,135295.000
RestrictedStockExpense,,,,,,,,,2959.000,
Revenues,1358931.000,1183882.000,1537541.000,2473493.000,2177791.000,2494036.000,3032447.000,1889447.000,1630157.000,1896412.000
SalesRevenueNet,1358931.000,1183882.000,1537541.000,2387214.000,2125064.000,2445802.000,2988230.000,1889447.000,1630157.000,1896412.000
SellingGeneralAndAdministrativeExpense,,,383216.000,737066.000,747739.000,694728.000,600270.000,629587.000,545029.000,485219.000
ShareBasedCompensation,,,53317.000,,112343.000,,,,109990.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,5118877.000,6404631.000,6405413.000,6405413.000,6407630.000,-12810972.000,6411413.000,6411413.000
