,2013-04-30,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-10-31
CashPeriodIncreaseDecrease,,-16729.000,,,,-1264.000,,,,,,,-462531.000
CostsAndExpensesRelatedParty,,92.000,,,,,,,,11662.000,18167.000,,
Depreciation,,,,,,,,,,,,,134990.000
DepreciationAndAmortization,,,,,,,,,,,,,134990.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,-0.000,-0.000,-0.050,-0.020
GeneralAndAdministrativeExpense,3355.000,19951.000,4936.000,4207.000,4490.000,2141.000,10496.000,4632.000,76181.000,11742.000,4552.000,3410.000,837728.000
IncomeTaxesPaid,,,,,,,,,,,,,0.000
IncreaseDecreaseInAccountsPayable,,3130.000,,,,877.000,,,,80.000,,,-565699.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,,,,,79311.000
IncreaseDecreaseInDeposits,,,,,,,,,,,,,210000.000
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,,,,25357.000
InterestExpense,,,,,,,,,,,,,79311.000
InterestPaid,,,,,,,,,,,,,0.000
InvestmentIncomeInterest,,,,,,,,,,,,,4.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,755408.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,755408.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,-52821.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,-52821.000
NetCashProvidedByUsedInOperatingActivities,,-16729.000,,,,-1264.000,,,,,,,-1165118.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-16729.000,,,,-1264.000,,,,,,,-1165118.000
NetIncomeLoss,-3355.000,-19951.000,-4936.000,-4207.000,-4490.000,-2141.000,-10496.000,-4632.000,-333681.000,-11742.000,-4552.000,-3410.000,-1049077.000
OperatingExpenses,,,,,,,,,,,,3410.000,972718.000
OperatingIncomeLoss,,,,,,,,,,,,,-972718.000
OtherIncome,,,,,,,,,,,,,2948.000
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,-76359.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,52821.000
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,662419.000
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,100000.000
RepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,7011.000
Revenues,,,,,,,,,,,,0.000,0.000
SalesRevenueNet,,,,,,,,,,,,0.000,-2948.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,75000000.000,75000000.000,75000000.000,75000000.000,-150000000.000,75000000.000,75000000.000,75000000.000,-225000000.000,75000000.000,75000000.000,75000.000,60503341.000
