,2011-07-30,2011-10-29,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,,,,,32000000.000
AmortizationOfIntangibleAssets,,,,,,,,,,-7000000.000,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,1400000.000,,,,,,
AssetImpairmentCharges,,,,,,8000000.000,0.000,6000000.000,219000000.000,5000000.000,20000000.000,0.000,38000000.000,0.000,54000000.000,17000000.000,203000000.000,8000000.000,7000000.000,3000000.000,409000000.000,15000000.000
CapitalExpendituresIncurredButNotYetPaid,,,38000000.000,,,26000000.000,,,,24000000.000,,,,15000000.000,,,,11000000.000,,,,8000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,30000000.000,,,-138000000.000,,,,-197000000.000,,,,36000000.000,,,,48000000.000,,,,
ComprehensiveIncomeNetOfTax,,,230000000.000,-77000000.000,-448000000.000,-239000000.000,-160000000.000,-488000000.000,-136000000.000,-368000000.000,-541000000.000,-394000000.000,-1294000000.000,-238000000.000,274000000.000,-389000000.000,-664000000.000,-407000000.000,-331000000.000,-684000000.000,-433000000.000,295000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,6000000.000,-1000000.000,0.000,-14000000.000,61000000.000,-11000000.000,224000000.000,-34000000.000,-3000000.000,-401000000.000,0.000,0.000,0.000,1000000.000,0.000,,,0.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,236000000.000,-78000000.000,-448000000.000,-253000000.000,-99000000.000,-499000000.000,88000000.000,-402000000.000,-544000000.000,-795000000.000,-1294000000.000,-238000000.000,274000000.000,-388000000.000,-664000000.000,-407000000.000,,-684000000.000,,295000000.000
CostOfGoodsAndServicesSold,7668000000.000,7118000000.000,6703000000.000,6936000000.000,6604000000.000,6296000000.000,6685000000.000,6341000000.000,8111000000.000,6051000000.000,6271000000.000,5606000000.000,6121000000.000,4364000000.000,4776000000.000,4488000000.000,,,,,,
CostOfMerchandiseSalesBuyingAndOccupancyCosts,,,,,,,,,,,,,,4364000000.000,4776000000.000,4488000000.000,5708000000.000,4217000000.000,4403000000.000,4067000000.000,4765000000.000,3371000000.000
CostsAndExpenses,10510000000.000,10024000000.000,8955000000.000,9570000000.000,9285000000.000,8699000000.000,8922000000.000,8769000000.000,10725000000.000,8254000000.000,8527000000.000,7697000000.000,8228000000.000,6060000000.000,6112000000.000,6132000000.000,7842000000.000,5762000000.000,5932000000.000,5653000000.000,6769000000.000,3999000000.000
DeferredRevenueAdditions,,,,,,,,,,,,,,,,,,,,,,179000000.000
DeferredRevenueRevenueRecognized1,,,,,,,,,,,,,,,,,,,,,,227000000.000
DefinedBenefitPlanAmortizationOfGainsLosses,-17000000.000,-17000000.000,-48000000.000,-47000000.000,-48000000.000,-48000000.000,-49000000.000,-48000000.000,,-31000000.000,-31000000.000,-30000000.000,,-65000000.000,-65000000.000,-65000000.000,,-64000000.000,-64000000.000,-64000000.000,,-50000000.000
DefinedBenefitPlanContributionsByEmployer,65000000.000,180000000.000,86000000.000,78000000.000,329000000.000,89000000.000,87000000.000,150000000.000,,102000000.000,103000000.000,161000000.000,,67000000.000,62000000.000,117000000.000,,76000000.000,72000000.000,113000000.000,,68000000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,89000000.000,93000000.000,93000000.000,93000000.000,93000000.000,77000000.000,77000000.000,75000000.000,,77000000.000,92000000.000,75000000.000,,62000000.000,62000000.000,62000000.000,,50000000.000,51000000.000,51000000.000,,57000000.000
DefinedBenefitPlanInterestCost,96000000.000,100000000.000,96000000.000,96000000.000,96000000.000,75000000.000,75000000.000,75000000.000,,69000000.000,82000000.000,68000000.000,,54000000.000,54000000.000,54000000.000,,58000000.000,58000000.000,58000000.000,,53000000.000
DefinedBenefitPlanNetPeriodicBenefitCost,26000000.000,25000000.000,51000000.000,50000000.000,51000000.000,46000000.000,47000000.000,48000000.000,,23000000.000,21000000.000,23000000.000,,57000000.000,57000000.000,57000000.000,,72000000.000,71000000.000,71000000.000,,46000000.000
DefinedBenefitPlanServiceCost,2000000.000,1000000.000,,,0.000,,,,,,,,,,,,,,,,,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,244000000.000,,,412000000.000,,,,243000000.000,,,,257000000.000,,,,255000000.000
Depreciation,,,,199000000.000,198000000.000,181000000.000,181000000.000,174000000.000,167000000.000,150000000.000,147000000.000,144000000.000,122000000.000,119000000.000,113000000.000,93000000.000,90000000.000,94000000.000,90000000.000,90000000.000,96000000.000,86000000.000
DepreciationAndAmortization,227000000.000,219000000.000,202000000.000,212000000.000,211000000.000,191000000.000,187000000.000,181000000.000,173000000.000,155000000.000,152000000.000,148000000.000,126000000.000,122000000.000,114000000.000,94000000.000,92000000.000,95000000.000,92000000.000,91000000.000,97000000.000,87000000.000
EarningsPerShareBasic,,,1.780,-1.250,-4.700,-2.630,-1.830,-5.030,-3.380,-3.790,-5.390,-5.150,-1.490,-2.850,1.950,-4.260,-5.430,-4.410,-3.700,-6.990,-5.680,2.280
EarningsPerShareBasicAndDiluted,-1.370,-3.950,,,,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,,,1.780,-1.250,-4.700,-2.630,-1.830,-5.030,-3.380,-3.790,-5.390,-5.150,-1.490,-2.850,1.840,-4.260,-5.320,-4.410,-3.700,-6.990,-5.680,2.280
EffectOfExchangeRateOnCashAndCashEquivalents,,,7000000.000,,,-2000000.000,,,,5000000.000,,,,0.000,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,0.007,,,,0.063,17.000,0.032,-17.281,0.033,0.034,0.015,-0.009,0.419
GainLossOnDispositionOfAssets,29000000.000,-11000000.000,395000000.000,15000000.000,26000000.000,14000000.000,241000000.000,21000000.000,391000000.000,46000000.000,34000000.000,68000000.000,59000000.000,107000000.000,526000000.000,97000000.000,13000000.000,61000000.000,54000000.000,51000000.000,81000000.000,741000000.000
GainLossOnForeignCurrencyDerivativesRecordedInEarningsNet,5000000.000,5000000.000,1000000.000,1000000.000,,,,,,,,,,,,,,,,,,
GainsLossesOnSalesOfOtherRealEstate,,,386000000.000,,,,235000000.000,,,,,,,,,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,,,,54000000.000,17000000.000,,8000000.000,,,,
IncomeLossFromContinuingOperations,,,189000000.000,-132000000.000,-498000000.000,,,,,,,,,,,,,,,,,
