,2016-06-30,2016-09-30
AcquisitionCosts,21546.000,59600.000
AdvertisingExpense,681430.000,280468.000
AffiliateCosts,537392.000,385260.000
BusinessAcquisitionsProFormaNetIncomeLoss,-345598.000,543016.000
BusinessAcquisitionsProFormaRevenue,1621655.000,2062749.000
BusinessCombinationAcquisitionRelatedCosts,421123.000,326747.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,421123.000,1052510.000
CommonStockDividendsPerShareDeclared,0.188,0.188
CostOfPropertyRepairsAndMaintenance,,174528.000
CostOfRealEstateRevenue,206565.000,
CostsAndExpenses,2708586.000,2038833.000
DepreciationAndAmortization,597139.000,945335.000
EarningsPerShareBasicAndDiluted,-0.210,-0.010
GeneralAndAdministrativeExpense,869987.000,349504.000
InterestExpense,475957.000,124606.000
InterestExpenseCustomerDeposits,13751.000,13751.000
InvestmentIncomeInterest,51.000,70.000
NetIncomeLoss,-1268078.000,-120874.000
NonoperatingIncomeExpense,51.000,70.000
OtherNonoperatingIncomeExpense,0.000,0.000
RealEstateRevenueNet,1267927.000,1745456.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,1826415.000,691042.000
Revenues,1440457.000,1917889.000
SalesRevenueNet,1440457.000,1917889.000
TenantReimbursements,172530.000,172433.000
UnrealizedGainLossOnDerivatives,253873.000,-111906.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,6062281.000,8123880.000
