,2011-12-31,2012-12-31,2013-12-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,345783.000,-208705.000,-69101.000
AssetRetirementObligationAccretionExpense,9815.000,14442.000,13082.000
AssetRetirementObligationLiabilitiesSettled,,0.000,
AssetRetirementObligationRevisionOfEstimate,44358.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-20.000,-124.000,170609.000
CostsAndExpenses,1245437.000,1692517.000,480947.000
DepreciationDepletionAndAmortization,345783.000,208705.000,62745.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,209938.000
GainLossOnDerivativeInstrumentsNetPretax,162038.000,43298.000,-13770.000
GainLossOnSaleOfPropertyPlantEquipment,,,201254.000
GeneralAndAdministrativeExpense,308164.000,127801.000,132259.000
ImpairmentOfOilAndGasProperties,328097.000,1078355.000,188854.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-250230.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-1321169.000,-40292.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,-358.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,300.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-903.000,-2429.000,-349.000
IncreaseDecreaseInAccountsReceivable,-6045.000,-17590.000,25923.000
IncreaseDecreaseInDueFromAffiliatesCurrent,0.000,,
IncreaseDecreaseInDueToAffiliatesCurrent,3717.000,-30839.000,-35677.000
IncreaseDecreaseInInventories,4898.000,13325.000,-520.000
IncreaseDecreaseInOtherOperatingAssets,-7672.000,7453.000,5030.000
InterestIncomeDomesticDeposits,86.000,21.000,269.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.258,0.265
NetCashProvidedByUsedInFinancingActivities,-45056.000,-35297.000,-285394.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-45056.000,-35297.000,-285394.000
NetCashProvidedByUsedInInvestingActivities,-40310.000,-2957.000,420488.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-40310.000,-2957.000,420488.000
NetCashProvidedByUsedInOperatingActivities,85346.000,38130.000,35515.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,85346.000,38130.000,35515.000
NetIncomeLossAllocatedToGeneralPartners,-92904.000,-264234.000,50046.000
NetIncomeLossAllocatedToLimitedPartners,-371616.000,-1056935.000,-200184.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-665.000,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-58.000
OilAndGasProductionExpense,253578.000,263214.000,85677.000
OilAndGasSalesRevenue,618793.000,328029.000,198083.000
OperatingIncomeLoss,-464606.000,-1321190.000,-250499.000
OtherIncome,,,46135.000
PartnersCapitalAccountDistributions,-45056.000,-35297.000,-285394.000
PaymentsOfCapitalDistribution,,,235000.000
PaymentsToAcquireOilAndGasEquipment,,3000.000,0.000
PaymentsToExploreAndDevelopOilAndGasProperties,40310.000,2957.000,0.000
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,,420488.000
ProfitLoss,-464520.000,-1321169.000,-40292.000
ResultsOfOperationsImpairmentOfOilAndGasProperties,,1078355.000,188854.000
Revenues,780831.000,371327.000,230448.000
SalesRevenueNet,780831.000,371327.000,184313.000
UnrealizedGainLossOnDerivativesAndCommodityContracts,-127824.000,-94253.000,-72483.000
