,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,500000.000,500000.000,,800000.000,500000.000,500000.000,-600000.000,400000.000,300000.000,200000.000,-600000.000,200000.000,100000.000,300000.000,-200000.000,100000.000,0.000,200000.000,-200000.000,300000.000,0.000,200000.000,-300000.000,300000.000,0.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,4600000.000,,,,,,,,,,,,,,,,,
CashAcquiredFromAcquisition,,,,,1900000.000,1900000.000,1900000.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,34300000.000,,,,-5600000.000,,,,-41100000.000,,,,-126900000.000,,,,-12200000.000,,,,-124400000.000,,,,-69000000.000,
CommonStockDividendsPerShareDeclared,0.040,0.040,0.040,0.040,0.050,0.050,0.050,0.050,0.060,0.060,0.060,0.080,0.080,0.080,0.080,0.100,0.100,0.100,0.100,0.120,0.120,0.120,0.120,0.135,0.135,0.135
ComprehensiveIncomeNetOfTax,,30600000.000,4500000.000,,24900000.000,9000000.000,25500000.000,2700000.000,9300000.000,176200000.000,30700000.000,23900000.000,28700000.000,32800000.000,16700000.000,-26500000.000,12300000.000,70500000.000,34900000.000,-2100000.000,38900000.000,45900000.000,43200000.000,14300000.000,53400000.000,-168600000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,0.000,0.000,,-200000.000,-300000.000,-200000.000,-400000.000,-200000.000,-200000.000,0.000,-400000.000,0.000,200000.000,0.000,-100000.000,-100000.000,0.000,0.000,-100000.000,0.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,24900000.000,9000000.000,25500000.000,2600000.000,9100000.000,175900000.000,30500000.000,23500000.000,28500000.000,32600000.000,16700000.000,-26900000.000,12300000.000,70700000.000,34900000.000,-2200000.000,38800000.000,45900000.000,43200000.000,14200000.000,53400000.000,-168600000.000
CostOfGoodsSold,595800000.000,639600000.000,621800000.000,543600000.000,640400000.000,637300000.000,597500000.000,553100000.000,638800000.000,833900000.000,827600000.000,808700000.000,814100000.000,821000000.000,775800000.000,716700000.000,703300000.000,701400000.000,672500000.000,618900000.000,661500000.000,669200000.000,670500000.000,632400000.000,711400000.000,626100000.000
DeferredIncomeTaxExpenseBenefit,26700000.000,,,,900000.000,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,50000000.000,,,,,,,,20000000.000,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,,,,,,,21700000.000,,,,20300000.000,
DepreciationAndAmortization,,,,,17700000.000,,,,19900000.000,,,,32800000.000,,,,25100000.000,,,,,,,,,
DepreciationDepletionAndAmortization,14100000.000,,,,,,,,,,,,,,,,,,,,,,,,26100000.000,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,
