,2011-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-162212.000
CostsAndExpenses,817355.000
Depletion,124084.000
Depreciation,185.000
EarningsPerShareBasicAndDiluted,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,734.000
GeneralAndAdministrativeExpense,24861.000
IncreaseDecreaseInAccountsPayable,-42882.000
IncreaseDecreaseInAccountsPayableRelatedParties,99000.000
IncreaseDecreaseInAccountsReceivable,-9821.000
IncreaseDecreaseInNotesPayableCurrent,46875.000
InterestExpense,-46876.000
NetCashProvidedByUsedInFinancingActivities,160000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,160000.000
NetCashProvidedByUsedInInvestingActivities,-190419.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-190419.000
NetCashProvidedByUsedInOperatingActivities,-132527.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-132527.000
NetIncomeLoss,-339406.000
NonoperatingIncomeExpense,-46876.000
OilAndGasProductionExpense,231306.000
OilAndGasRevenue,524825.000
OperatingIncomeLoss,-292530.000
PaymentsToAcquireOilAndGasPropertyAndEquipment,190419.000
ProceedsFromIssuanceOfCommonStock,160000.000
ProfessionalFees,100891.000
RoyaltyExpense,264203.000
