,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,,,-2000000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,0.000,,
ComprehensiveIncomeNetOfTax,,,25000000.000,8000000.000,4000000.000
CostOfRevenue,,,,80000000.000,64000000.000
CostsAndExpenses,,,,221000000.000,195000000.000
DeferredIncomeTaxExpenseBenefit,,,5000000.000,,
DepreciationAndAmortization,,,,48000000.000,49000000.000
DepreciationDepletionAndAmortization,,,49000000.000,,
ExciseAndSalesTaxes,,,,21000000.000,14000000.000
ExciseTaxesCollected,31400000.000,14400000.000,60000000.000,22000000.000,14000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,11000000.000,8000000.000
IncomeTaxExpenseBenefit,7800000.000,5200000.000,16000000.000,4000000.000,4000000.000
IncreaseDecreaseInAccountsPayableTrade,,,-44000000.000,,
IncreaseDecreaseInAccountsReceivable,,,-81000000.000,,
IncreaseDecreaseInCustomerDeposits,,,-16000000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,-16000000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,29000000.000,,
InterestExpense,8100000.000,8100000.000,8000000.000,8000000.000,7000000.000
InterestExpenseDebt,8000000.000,8100000.000,8000000.000,,
InterestExpenseOther,100000.000,0.000,0.000,,
NetCashProvidedByUsedInFinancingActivities,,,-347000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-347000000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-34000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-34000000.000,,
NetCashProvidedByUsedInOperatingActivities,,,381000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,381000000.000,,
NetIncomeLoss,12500000.000,8200000.000,25000000.000,,
NonoperatingIncomeExpense,0.000,100000.000,,,
OperatingExpenses,338300000.000,223700000.000,589000000.000,,
OperatingIncomeLoss,20600000.000,16200000.000,33000000.000,19000000.000,15000000.000
OtherNonoperatingExpense,400000.000,200000.000,,,
OtherNonoperatingIncome,300000.000,500000.000,,,
PaymentsForProceedsFromOtherInvestingActivities,,,-2000000.000,,
PaymentsOfDividendsCommonStock,,,0.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,36000000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,,,0.000,,
ProceedsFromRelatedPartyDebt,,,0.000,,
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,,,-347000000.000,,
ProfitLoss,,,,7000000.000,4000000.000
RegulatedOperatingRevenueGas,358900000.000,239900000.000,622000000.000,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,15000000.000,
RepaymentsOfLongTermDebt,,,0.000,,
Revenues,,,,240000000.000,210000000.000
SalesRevenueNet,,,,240000000.000,210000000.000
SellingGeneralAndAdministrativeExpense,,,,,63000000.000
UnrealizedGainLossOnDerivatives,,,,11000000.000,10000000.000
UtilitiesOperatingExpenseDepreciationAndAmortization,47100000.000,47100000.000,49000000.000,,
UtilitiesOperatingExpenseGasAndPetroleumPurchased,181800000.000,92900000.000,371000000.000,,
UtilitiesOperatingExpenseMaintenanceAndOperations,65900000.000,59900000.000,88000000.000,,
UtilitiesOperatingExpenseTaxes,35700000.000,18600000.000,65000000.000,25000000.000,19000000.000
