,2011-06-30
AdvertisingExpense,203000.000
BankOwnedLifeInsuranceIncome,84000.000
CommonStockDividendsPerShareDeclared,0.120
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1957000.000
CurrentIncomeTaxExpenseBenefit,-438000.000
DeferredIncomeTaxExpenseBenefit,728000.000
EarningsPerShareBasic,0.100
EarningsPerShareDiluted,0.100
FederalDepositInsuranceCorporationPremiumExpense,178000.000
GainLossOnSalesOfLoansNet,180000.000
GainsLossesOnSalesOfOtherRealEstate,135000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1193000.000
IncomeTaxExpenseBenefit,290000.000
InformationTechnologyAndDataProcessing,140000.000
InterestAndDividendIncomeOperating,6212000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,576000.000
InterestAndFeeIncomeLoansAndLeases,5463000.000
InterestExpense,1626000.000
InterestExpenseBorrowings,335000.000
InterestExpenseDeposits,1291000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,4536000.000
InterestIncomeExpenseNet,4586000.000
InterestIncomeSecuritiesMortgageBacked,87000.000
LaborAndRelatedExpense,1988000.000
NoninterestExpense,4270000.000
NoninterestIncome,927000.000
NoninterestIncomeOtherOperatingIncome,490000.000
OccupancyNet,373000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,1054000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,543000.000
OtherNoninterestExpense,749000.000
ProfitLoss,903000.000
ProvisionForLoanLeaseAndOtherLosses,50000.000
RentalIncomeNonoperating,38000.000
TaxesExcludingIncomeAndExciseTaxes,320000.000
