,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,43730.000,206489.000,188927.000,23285.000,70076.000,68801.000,,,,,,,,,,
AccountsPayableCurrent,1608295.000,1161384.000,756657.000,604104.000,449894.000,402358.000,555898.000,359029.000,660501.000,390040.000,935028.000,563799.000,399126.000,402674.000,231840.000,204348.000,285528.000,315651.000,509266.000,356244.000,458277.000,376093.000,712964.000,1033341.000
AccountsPayableTradeCurrent,,,,,,,,,,,,,,,,,,30927.000,,,,,,
AccountsReceivableNetCurrent,100843.000,89266.000,81565.000,126131.000,58545.000,78287.000,87826.000,93461.000,76701.000,65920.000,139736.000,61661.000,59721.000,94954.000,86404.000,67497.000,48508.000,32008.000,74454.000,46032.000,97154.000,141297.000,460799.000,451369.000
AccruedLiabilitiesCurrent,138888.000,181368.000,190583.000,174810.000,178840.000,173588.000,721916.000,623311.000,709116.000,833641.000,863572.000,635163.000,348163.000,359218.000,369456.000,360511.000,349802.000,400488.000,359374.000,252003.000,295823.000,417243.000,375088.000,546829.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,111600.000,31000.000,40000.000,77827.000,76500.000,15250.000,30500.000,40000.000,45000.000,29184.000
AccruedSalariesCurrent,,,,,,,,,,,,,,,,,,,,,,,,30000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,575397.000,580370.000,472828.000,455288.000,460279.000,465133.000,458695.000,463410.000,468180.000,472007.000,456020.000,457004.000,457870.000,458795.000,,,,,455227.000,461347.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,24190.000,41318.000,10466.000,15394.000,9432.000,14055.000,13116.000,6191.000,9141.000,7312.000,6688.000,5256.000,1707.000,-8503.000,-12477.000,-25195.000,-25963.000,-26308.000,-33162.000,-30190.000,-35875.000,-38142.000,-52069.000,-50284.000
AdditionalPaidInCapital,62122374.000,62372551.000,62940977.000,63203153.000,63443023.000,63660709.000,64357193.000,64935348.000,65320485.000,75445631.000,76037490.000,86433681.000,87462798.000,87496831.000,86584472.000,86609970.000,86632205.000,86728528.000,87086677.000,89299427.000,89647379.000,91268738.000,-99433448.000,92569540.000
