,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,114171000.000,12827000.000,12614000.000,15568000.000,22418000.000,24871000.000,18737000.000,29421000.000,67167000.000,19189000.000,9930000.000,15295000.000
AccountsPayableRelatedPartiesCurrent,,18127000.000,7470000.000,12423000.000,14523000.000,9288000.000,15550000.000,7290000.000,26558000.000,7435000.000,12130000.000,7228000.000
AccountsReceivableGrossCurrent,62054000.000,29606000.000,37514000.000,16997000.000,22245000.000,14649000.000,12097000.000,6236000.000,9827000.000,16097000.000,11913000.000,21284000.000
AccountsReceivableRelatedPartiesCurrent,,28500000.000,18529000.000,37982000.000,35882000.000,44035000.000,39655000.000,56043000.000,59118000.000,98145000.000,126977000.000,82065000.000
AccountsReceivableRelatedPartiesNoncurrent,,,,,,,,,28248000.000,20428000.000,,
AccruedIncomeTaxesCurrent,,,1622000.000,,,,,,,3619000.000,,2227000.000
AccruedLiabilitiesCurrent,29117000.000,3999000.000,11900000.000,6590000.000,17456000.000,22352000.000,23407000.000,36627000.000,77069000.000,20953000.000,15717000.000,24122000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,550568000.000,,,,601980000.000,,,,644070000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,-173000.000,280000.000,-451000.000,-624000.000,-224000.000,200000.000,289000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,564000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,2170000.000,0.000,0.000,0.000,170000.000,170000.000,170000.000,170000.000,207000.000,398000.000,564000.000,1539000.000
Assets,1075047000.000,1022275000.000,1096435000.000,1124961000.000,1163422000.000,1225188000.000,1290349000.000,1384077000.000,1552234000.000,1536659000.000,1555228000.000,1556800000.000
AssetsCurrent,163131000.000,153948000.000,196645000.000,204583000.000,199134000.000,216425000.000,225287000.000,243532000.000,222561000.000,192278000.000,232165000.000,229832000.000
BuildingsAndImprovementsGross,,,14961000.000,,,,16124000.000,,,,16757000.000,
CashAndCashEquivalentsAtCarryingValue,0.000,89988000.000,133750000.000,144918000.000,137291000.000,154257000.000,169559000.000,178676000.000,151257000.000,75006000.000,88900000.000,122974000.000
CashEquivalentsAtCarryingValue,,89988000.000,,,,,,,,,,
ConstructionInProgressGross,,,165040000.000,,,,307288000.000,,,,87019000.000,
DeferredCostsAndOtherAssets,60187000.000,55865000.000,51919000.000,48018000.000,44204000.000,40728000.000,38779000.000,38377000.000,92362000.000,100688000.000,95011000.000,97915000.000
DeferredTaxAssetsGross,,,0.000,,,,,,,,,
DeferredTaxAssetsInventory,,,0.000,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,-1848000.000,,,,,,,,,
DeferredTaxAssetsNetCurrent,4448000.000,0.000,0.000,,,,,,,,,
DeferredTaxAssetsOther,,,0.000,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,0.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,0.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,0.000,,,,,,,,,
DeferredTaxLiabilities,,,1848000.000,,,,1392000.000,,,,1736000.000,
DeferredTaxLiabilitiesDeferredExpenseOtherCapitalizedCosts,,,198000.000,,,,101000.000,,,,248000.000,
DeferredTaxLiabilitiesNoncurrent,189668000.000,1507000.000,1848000.000,1902000.000,1614000.000,1489000.000,1392000.000,1571000.000,1712000.000,1781000.000,1736000.000,1828000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,1650000.000,,,,1291000.000,,,,1488000.000,
DerivativeAssets,,,0.000,,,,,,,,,
DerivativeLiabilities,,,0.000,,,,,,,,,
DueToRelatedPartiesNoncurrent,364587000.000,188523000.000,227638000.000,257829000.000,280992000.000,330495000.000,384006000.000,443525000.000,515338000.000,595083000.000,594629000.000,600206000.000
EquityMethodInvestments,10196000.000,0.000,0.000,,,,,,,,,
Goodwill,,,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000,5814000.000
GoodwillGross,,,5814000.000,,,,5814000.000,,5814000.000,5814000.000,5814000.000,
IntangibleAssetsNetIncludingGoodwill,5873000.000,5814000.000,5814000.000,,,,,,,,,
InterestPayableCurrent,,,2403000.000,,,,,,,5146000.000,5517000.000,5842000.000
InventoryFinishedGoods,13067000.000,5551000.000,6257000.000,4264000.000,3596000.000,2895000.000,3527000.000,2243000.000,2259000.000,3062000.000,3610000.000,4397000.000
InventoryNet,97381000.000,5551000.000,6634000.000,4564000.000,3856000.000,3272000.000,3879000.000,2590000.000,2493000.000,3428000.000,3934000.000,4776000.000
InventoryWorkInProcessAndRawMaterials,69467000.000,0.000,377000.000,300000.000,260000.000,377000.000,352000.000,347000.000,234000.000,366000.000,324000.000,379000.000
Land,,,0.000,,,,,,,,,
Liabilities,698510000.000,224988000.000,261485000.000,294340000.000,337038000.000,388714000.000,443182000.000,518854000.000,688484000.000,644684000.000,634265000.000,648815000.000
LiabilitiesAndStockholdersEquity,1075047000.000,1022275000.000,1096435000.000,1124961000.000,1163422000.000,1225188000.000,1290349000.000,1384077000.000,1552234000.000,1536659000.000,1555228000.000,1556800000.000
LiabilitiesCurrent,143288000.000,34953000.000,31984000.000,34581000.000,54397000.000,56511000.000,57694000.000,73338000.000,170794000.000,47577000.000,37777000.000,46645000.000
LongtermDebtWeightedAverageInterestRate,,,0.043,,,,0.033,0.034,0.035,0.035,,0.039
MachineryAndEquipmentGross,,,1151091000.000,,,,1231684000.000,,,,1690317000.000,
MinorityInterestInLimitedPartnerships,,713714000.000,747426000.000,742038000.000,735014000.000,743049000.000,750606000.000,765643000.000,763575000.000,791603000.000,818479000.000,805126000.000
OperatingLeasesFutureMinimumPaymentsDue,,,2372000.000,,,,5598000.000,,,,4700000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,1041000.000,,,,1300000.000,,,,1144000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,59000.000,,,,682000.000,,,,656000.000,
