,2011-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,47411000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,37777000.000
DeferredIncomeTaxExpenseBenefit,345000.000
DepreciationAndAmortization,17525000.000
DepreciationDepletionAndAmortization,18315000.000
DividendIncomeOperating,-427000.000
EarningsPerShareBasic,0.820
EarningsPerShareDiluted,0.800
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1169000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1169000.000
GainLossOnSaleOfInvestments,-4000.000
GainLossOnSaleOfPropertyPlantEquipment,-39000.000
GeneralInsuranceExpense,26539000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,58725000.000
IncomeLossFromEquityMethodInvestments,91000.000
IncomeTaxExpenseBenefit,22652000.000
IncreaseDecreaseInAccountsAndOtherReceivables,10762000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,29087000.000
IncreaseDecreaseInInventories,81000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4741000.000
InterestExpense,4817000.000
LaborAndRelatedExpense,537077000.000
NetCashProvidedByUsedInFinancingActivities,10548000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10548000.000
NetCashProvidedByUsedInInvestingActivities,-35136000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-35136000.000
NetCashProvidedByUsedInOperatingActivities,71999000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,71999000.000
OperatingIncomeLoss,64896000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,984000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,629000.000
OtherCostAndExpenseOperating,96963000.000
OtherNonoperatingIncomeExpense,-1746000.000
OtherSellingGeneralAndAdministrativeExpense,17835000.000
PaymentsForProceedsFromOtherInvestingActivities,-474000.000
PaymentsForRepurchaseOfCommonStock,1303000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,32720000.000
PaymentsToAcquirePropertyPlantAndEquipment,15306000.000
ProceedsFromIssuanceOfCommonStock,551000.000
ProceedsFromRepaymentsOfBankOverdrafts,12097000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,10000.000
ProfitLoss,36164000.000
RepaymentsOfLongTermDebtAndCapitalSecurities,1966000.000
ShareBasedCompensation,1962000.000
WeightedAverageNumberOfDilutedSharesOutstanding,45012235.000
WeightedAverageNumberOfSharesOutstandingBasic,44247581.000
