,2012-06-18,2012-09-10,2013-04-01,2013-07-01,2013-09-30,2013-12-30,2014-03-31,2014-06-30,2014-09-29,2014-12-29,2015-03-30,2015-06-29,2015-09-28,2015-12-28,2016-03-28,2016-06-27,2016-09-26,2017-04-03
AllocatedShareBasedCompensationExpense,231000.000,191000.000,,,,,567000.000,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,119000.000,,,,101000.000,,,99000.000
AmortizationOfFinancingCosts,,,74000.000,,,,197000.000,,,,265000.000,,,,237000.000,,,234000.000
AssetImpairmentCharges,,,,,,,,84000.000,,,,,,,,,11100000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,,,-340000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,,,,,,,,,12616000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,4639000.000,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,3177000.000,,,,,,,
ComprehensiveIncomeNetOfTax,5486000.000,8925000.000,,,,,,,,,,,,,,,,
CostOfGoodsSoldDirectLabor,31970000.000,33411000.000,31907000.000,71465000.000,69925000.000,60024000.000,66847000.000,68995000.000,64018000.000,57275000.000,34817000.000,39990000.000,37190000.000,30212000.000,35922000.000,38162000.000,33716000.000,28845000.000
CostOfGoodsSoldDirectMaterials,37172000.000,40363000.000,36321000.000,66765000.000,69191000.000,55294000.000,63418000.000,70722000.000,65886000.000,53229000.000,38601000.000,44065000.000,41492000.000,30112000.000,37166000.000,42657000.000,39751000.000,32361000.000
CostsAndExpenses,110416000.000,116502000.000,114993000.000,230820000.000,231299000.000,198629000.000,215560000.000,227092000.000,222809000.000,193378000.000,121019000.000,136881000.000,132843000.000,109667000.000,116408000.000,138633000.000,131793000.000,98476000.000
DeferredIncomeTaxExpenseBenefit,,,390000.000,,,,-2814000.000,,,,-498000.000,,,,-61000.000,,,2000.000
DepreciationDepletionAndAmortization,4200000.000,4404000.000,4813000.000,7356000.000,7506000.000,7832000.000,8136000.000,7945000.000,8845000.000,8848000.000,6229000.000,6177000.000,7762000.000,5663000.000,6026000.000,6117000.000,5933000.000,4629000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,366000.000,4196000.000,391000.000,-7953000.000,,,,
EarningsPerShareBasicAndDiluted,0.250,0.350,0.090,-0.100,-0.080,-0.170,-0.010,0.070,-0.250,-1.900,-0.870,0.000,-0.150,-0.780,-0.060,-0.400,-0.590,-0.230
EffectiveIncomeTaxRateContinuingOperations,0.207,0.218,0.307,0.444,0.589,-0.687,0.897,0.785,0.479,-2.726,0.194,,,,,,,
GainLossOnDispositionOfAssets,,,-168000.000,,,,-265000.000,,,,,,,,-76000.000,,,-197000.000
GainLossOnDispositionOfAssets1,,,,,,,,,,,-130000.000,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,-171000.000,-180000.000,-195000.000,-197000.000,-1165000.000,-1044000.000,-265000.000,-504000.000,-1034000.000,1322000.000,-158000.000,-194000.000,908000.000,-435000.000,-101000.000,-323000.000,-472000.000,-198000.000
GeneralAndAdministrativeExpense,8044000.000,7374000.000,10291000.000,16611000.000,13825000.000,11738000.000,12274000.000,11202000.000,11229000.000,10583000.000,8395000.000,8363000.000,6502000.000,7263000.000,6550000.000,5684000.000,5473000.000,7545000.000
IncomeLossFromContinuingOperations,,,,,,,,,,,-3196000.000,1731000.000,-4288000.000,-19096000.000,-1626000.000,-10443000.000,-15163000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6919000.000,11406000.000,3152000.000,-4429000.000,-4708000.000,-12993000.000,-2579000.000,990000.000,-12531000.000,-20090000.000,-2676000.000,2440000.000,-3751000.000,-21170000.000,-1537000.000,-10361000.000,-15014000.000,-5909000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,-0.120,0.070,-0.170,-0.750,-0.060,-0.400,-0.590,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,-19039000.000,-1645000.000,391000.000,-1223000.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,-0.740,-0.060,0.020,-0.060,,,,
