,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-05-07,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableTradeCurrent,350030000.000,490434000.000,583383000.000,647455000.000,790679000.000,769611000.000,736381000.000,729942000.000,780395000.000,813532000.000,954311000.000,910393000.000,925000000.000,1074000000.000,1228000000.000,1197000000.000,,771000000.000,791000000.000,798000000.000,700000000.000,674000000.000,685000000.000,741000000.000,751000000.000
AccountsReceivableNetCurrent,276338000.000,266476000.000,272154000.000,275991000.000,297700000.000,250192000.000,298320000.000,316854000.000,355093000.000,345812000.000,408240000.000,430732000.000,437000000.000,457000000.000,483000000.000,436000000.000,,388000000.000,413000000.000,384000000.000,351000000.000,434000000.000,447000000.000,517000000.000,426000000.000
AccruedIncomeTaxesCurrent,33072000.000,5927000.000,15604000.000,9788000.000,22017000.000,1881000.000,222000.000,208000.000,292000.000,938000.000,129000.000,165000.000,9000000.000,1000000.000,1000000.000,1000000.000,,0.000,27000000.000,2000000.000,2000000.000,0.000,0.000,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,297500000.000,,,,395900000.000,,,,458400000.000,,,,563000000.000,,,,711000000.000,,,,866000000.000,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,3439000.000,2863000.000,-58000.000,-3130000.000,-1550000.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,3060249000.000,3070827000.000,3082058000.000,3613808000.000,3640595000.000,3611799000.000,3641248000.000,3683934000.000,4898318000.000,4844720000.000,4870566000.000,5079821000.000,5105000000.000,5128000000.000,5162000000.000,6167000000.000,,6220000000.000,6250000000.000,6267000000.000,7884000000.000,8843000000.000,8867000000.000,8892000000.000,8914000000.000
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,3535000.000,1414000.000,1103000.000,1146000.000,1021000.000,,,1500000.000,,,,1400000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,1171000.000,1056000.000,755000.000,806000.000,689000.000,706000.000,832000.000,848000.000,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableNoncurrent,2364000.000,358000.000,348000.000,340000.000,332000.000,655000.000,644000.000,629000.000,,,,,,,,,,,,,,,,,
AssetRetirementObligation,154689000.000,151970000.000,147647000.000,136742000.000,134314000.000,145457000.000,136314000.000,197754000.000,190861000.000,191129000.000,190823000.000,194048000.000,194000000.000,193000000.000,188000000.000,189000000.000,,187000000.000,182000000.000,285000000.000,285000000.000,281000000.000,281000000.000,297000000.000,297000000.000
