,2012-02-29,2012-05-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-09-30,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment,,,,,,,,64000.000,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,1049136.000,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,76714.000,,,,64938.000,,,,53164.000,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,52182.000
AssetImpairmentCharges,,,,,,,,,,,,,2159846.000,3443500.000,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,-0.140,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,-2002740.000,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,13169382.000,,,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,313620.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-10104.000,,,68089.000,,,,-52120.000,,,,152684.000,,,,-19061.000,,1363.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,-43649.000,,,,,,,,,,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesPurchaseOfInterestByParent,,,,5610000.000,,,,,,,,,,,,,,
CostOfRevenue,,,7756381.000,,,,,,,,,,,,,,,
DebtConversionOriginalDebtAmount1,,,,,,,,53500.000,,,,,,,,,,
Depreciation,87.000,1665.000,701088.000,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,963255.000,1047055.000,685242.000,135131.000,711614.000,608605.000,608605.000,783616.000,609675.000,582506.000,581551.000,312764.000,115322.000,115322.000,115322.000
DirectOperatingCosts,,,,8123108.000,7268518.000,5424491.000,1759926.000,3977597.000,2744112.000,2134313.000,2455828.000,1636366.000,165090.000,320169.000,-87754.000,202003.000,181060.000,175107.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,-0.030,,-0.010,0.020,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,759509.000,,57017.000,,,,,,,,,,
EarningsPerShareBasic,,,,,,,,,,,,0.290,,,,-0.050,-0.030,-0.040
EarningsPerShareBasicAndDiluted,-0.070,-0.090,-0.180,-0.110,-0.130,-0.130,-1.290,-0.260,-0.140,-0.420,-0.100,,-0.280,-0.450,,,-0.030,
EarningsPerShareDiluted,,,,,,,,,,,,0.140,,,,-0.050,-0.030,-0.040
GainLossOnDispositionOfAssets,,,,,,648.000,,48499.000,-26100.000,-871300.000,51529.000,,-7737.000,497486.000,,,57511.000,
GainLossOnSaleOfPropertyPlantEquipment,,,2750.000,47673.000,8183.000,,,48499.000,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,-4453.000,,,,2082408.000,1331554.000,-851492.000,-340098.000,,,
GeneralAndAdministrativeExpense,496662.000,809173.000,792437.000,1871168.000,1828565.000,1348828.000,1248474.000,513244.000,407248.000,240548.000,-235079.000,38045.000,289629.000,185105.000,145538.000,221213.000,71733.000,75349.000
GrossProfit,,,2085301.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-2275510.000,-2556293.000,-2167598.000,1236014.000,-1331464.000,-916551.000,-2375629.000,-638186.000,1706999.000,-1859117.000,-5192835.000,-681062.000,-591046.000,-364660.000,-463447.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-647622.000,-881805.000,-2508253.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,-2556293.000,-2167598.000,,-1378028.000,-946551.000,-2420629.000,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,-0.130,-0.100,,-0.250,-0.160,-0.420,-0.100,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,-94897.000,-552863.000,,-91366.000,105204.000,-25262.000,,,,,,,,
IncomeLossFromEquityMethodInvestments,-150958.000,-71491.000,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,-30000.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,,,-764216.000,,,,41057.000,,21112.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,7143.000,,,662270.000,,,,-196581.000,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,-205473.000,,,,-32737.000,,,,-260697.000,,,,-8942.000,,20861.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,314770.000,,,,197948.000,,229480.000
IncreaseDecreaseInDepositsOutstanding,,,,1815.000,,,,,,,,,,,,,,
IncreaseDecreaseInDueFromAffiliatesCurrent,11200.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,-20392.000,,,,-50064.000,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,,,-51103.000,,,,,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,,,,,,-5000.000,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,-386530.000,,,,-443300.000,,,,,,,,,,
IncreaseDecreaseInReceivables,-2907.000,,,,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToContingentlyIssuableShares,,,,,,,,,,,,5896250.000,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,21000.000,,,,,,
InterestExpense,,,507501.000,353175.000,494800.000,417784.000,575223.000,205385.000,95483.000,915360.000,607094.000,334109.000,321781.000,320090.000,283614.000,278489.000,272887.000,277497.000
InterestPaid,,,,253549.000,,,,97291.000,,,,269171.000,,,,5224.000,,
InventoryWriteDown,,,,,,,,,,,,,155735.000,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,1049136.000,,,,37000.000,,,,,,,,,,
MinorityInterestDecreaseFromRedemptions,,,,3635361.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,360500.000,,,425454.000,,,,572066.000,,,,-13874.000,,,,-10756.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,360500.000,,,425454.000,,,,572066.000,,,,-13874.000,,,,-10756.000,,
NetCashProvidedByUsedInInvestingActivities,,,,-933368.000,,,,164473.000,,,,,,,,166308.000,,67575.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,-933368.000,,,,164473.000,,,,,,,,166308.000,,67575.000
NetCashProvidedByUsedInOperatingActivities,-370604.000,,,576003.000,,,,-788659.000,,,,166558.000,,,,-174613.000,,-66212.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-370604.000,,,576003.000,,,,-745010.000,,,,166558.000,,,,-174613.000,,-66212.000
NetIncomeLoss,-647622.000,-881805.000,-2538253.000,-2275510.000,-2651190.000,-2720461.000,-1087893.000,-1469394.000,-841347.000,-2445891.000,-528734.000,1706999.000,-1859117.000,-5194133.000,-681062.000,-591046.000,-368686.000,-463447.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,-2440743.000,,1596345.000,-1880663.000,-5194133.000,-597956.000,-591046.000,-368686.000,
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,,,,,,308870.000,,,,,,,,,,
OilAndGasSalesRevenue,1609.000,701.000,,,,,,,,,,,,,,,,
OperatingCostsAndExpenses,,,1996758.000,,,,,,,,,,,,,,,
OperatingExpenses,498273.000,811015.000,3803903.000,12961792.000,11945377.000,8274246.000,3233991.000,6039137.000,5014181.000,4067995.000,3596284.000,2771846.000,3407895.000,4754132.000,563833.000,656599.000,433629.000,506741.000
OperatingIncomeLoss,-496664.000,-810314.000,-1718602.000,-1970008.000,-2069676.000,-1750462.000,-416292.000,-1170125.000,-794968.000,-588969.000,-82621.000,-41300.000,-2861153.000,-4518739.000,-260454.000,-312557.000,-149284.000,-185950.000
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,,,,,,-166308.000,,-67575.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,602769.000,,,,,,,,,,,,,,
PreferredStockDividendsIncomeStatementImpact,,,,,,,,,,20114.000,,110654.000,21546.000,,,,,
ProceedsFromContributionsFromAffiliates,357500.000,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,185563.000,,,399393.000,,,,,,,,,,,,,,
ProceedsFromOtherShortTermDebt,,,,,,,,1197000.000,,,,,,,,,,
ProceedsFromRepaymentsOfBankOverdrafts,,,,,,,,262132.000,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,47673.000,,,,164473.000,,,,,,,,,,
ProfessionalFees,,,,0.000,,,,,,,,,,,,,,
ProfitLoss,,,-2538253.000,,,-2720461.000,,,,,,,,,,,,
PropertyPlantAndEquipmentDisposals,,,,,,,,292000.000,,,,,,,,,,
RepaymentsOfLongTermLinesOfCredit,,,,-45624.000,,,,887066.000,,,,,,,,,,
RepaymentsOfNotesPayable,,,,397835.000,,,,,,,,13874.000,,,,10756.000,,
RepaymentsOfOtherDebt,,,,,,,,112000.000,,,,,,,,,,
