,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableCurrent,130006000.000,135311000.000,145939000.000,139934000.000,113845000.000,135960000.000,160473000.000,148689000.000,183464000.000,163616000.000,170124000.000,202693000.000,72460000.000,44086000.000,49226000.000,38145000.000,40994000.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AccountsReceivableNetCurrent,94629000.000,93434000.000,97832000.000,107057000.000,83569000.000,96637000.000,138732000.000,144272000.000,150257000.000,141796000.000,145963000.000,165852000.000,34785000.000,33648000.000,39596000.000,32931000.000,27087000.000
AccountsReceivableRelatedParties,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AccrualForEnvironmentalLossContingencies,,,3200000.000,3200000.000,3092000.000,2875000.000,2800000.000,2815000.000,2857000.000,2850000.000,3200000.000,3100000.000,,2600000.000,2800000.000,2700000.000,2700000.000
AccruedIncomeTaxesCurrent,598000.000,707000.000,487000.000,341000.000,460000.000,372000.000,46000.000,46000.000,0.000,0.000,149000.000,0.000,0.000,2019000.000,2246000.000,2212000.000,2232000.000
AccruedLiabilitiesCurrent,12537000.000,21843000.000,12734000.000,16308000.000,13039000.000,29753000.000,19764000.000,32518000.000,27278000.000,44682000.000,29970000.000,42442000.000,11075000.000,9737000.000,8053000.000,7575000.000,7079000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,460513000.000,495692000.000,530285000.000,567326000.000,598971000.000,635758000.000,673400000.000,712356000.000,752695000.000,782599000.000,401437000.000,421910000.000,442908000.000,456457000.000,471254000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1345000.000,2009000.000,1347000.000,852000.000,992000.000,1011000.000,972000.000,797000.000,837000.000,894000.000,1188000.000,985000.000,902000.000,787000.000,1023000.000,1263000.000,1540000.000
AssetRetirementObligation,,,,,,,48755000.000,49771000.000,57354000.000,57840000.000,58964000.000,59196000.000,49274000.000,49698000.000,50873000.000,50497000.000,51110000.000
AssetRetirementObligationCurrent,,,,,,,3900000.000,8200000.000,9900000.000,10900000.000,13100000.000,12900000.000,2000000.000,2900000.000,3000000.000,2923000.000,2800000.000
AssetRetirementObligationsNoncurrent,32973000.000,30303000.000,33303000.000,33095000.000,33962000.000,35145000.000,44814000.000,41569000.000,47436000.000,46939000.000,45849000.000,46269000.000,47241000.000,46784000.000,47907000.000,47575000.000,48335000.000
Assets,1953436000.000,2025131000.000,2045688000.000,2029959000.000,2098531000.000,2082889000.000,2294216000.000,2300611000.000,2352942000.000,2272965000.000,2127550000.000,2155318000.000,2130765000.000,1183762000.000,794275000.000,657237000.000,562178000.000
AssetsCurrent,112461000.000,135616000.000,125528000.000,139062000.000,150954000.000,144341000.000,181964000.000,169243000.000,183624000.000,159421000.000,163384000.000,189816000.000,1260090000.000,319430000.000,249103000.000,165048000.000,74870000.000
AssetsHeldForSaleCurrent,0.000,0.000,0.000,,,,,,,,,,1211230000.000,0.000,0.000,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,1248972000.000,1211230000.000,0.000,0.000,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,,230600000.000,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,9539000.000,10053000.000,10674000.000,10771000.000,11431000.000,12431000.000,13245000.000,13792000.000,,,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,190833000.000,,,,269376000.000,,,,353679000.000,,,,431555000.000,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,1142235000.000,,,,1245445000.000,,,,1166918000.000,,,,913134000.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,951402000.000,,,,976069000.000,,,,813239000.000,,,,481579000.000,,
CapitalizedCostsProvedProperties,,,1050872000.000,1084888000.000,1140451000.000,1178251000.000,1213622000.000,1260160000.000,1300003000.000,1272944000.000,1156896000.000,,,,905622000.000,,
CapitalizedCostsUnprovedProperties,,,91363000.000,84618000.000,73209000.000,58537000.000,31823000.000,20304000.000,19737000.000,18530000.000,10022000.000,,,,7512000.000,,
CashAndCashEquivalentsAtCarryingValue,6825000.000,17662000.000,877000.000,181000.000,70000.000,194000.000,25000.000,60000.000,95000.000,76000.000,76000.000,5623000.000,741000.000,593000.000,1343000.000,37000.000,20000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,,,6.000,,,,,,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,5707705.000,2548081.000,,,,,,,,,,,,,
ConstructionInProgressGross,,,56588000.000,73805000.000,47908000.000,66661000.000,60870000.000,71768000.000,33622000.000,37172000.000,,,,,,,
DebtInstrumentUnamortizedDiscount,,,2200000.000,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,2047000.000,1997000.000,1946000.000,5554000.000,5397000.000,5240000.000,5077000.000,4909000.000,4738000.000,4567000.000,408000.000,395000.000,377000.000,358000.000,339000.000
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,,819712000.000,,,,
DeferredIncomeTaxLiabilities,,,,,,,43000000.000,,,,37953000.000,,,,30321000.000,,
DeferredTaxAssetsGross,,,-1432000.000,,,,1656000.000,,,,1438000.000,,,,2315000.000,,
DeferredTaxAssetsLiabilitiesNet,,,43784000.000,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,0.000,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,43784000.000,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,-1432000.000,,,,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,1739000.000,1765000.000,1432000.000,1306000.000,1234000.000,1449000.000,1656000.000,1655000.000,1646000.000,1997000.000,1438000.000,2224000.000,2224000.000,2224000.000,2315000.000,1805000.000,2210000.000
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,,473000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,-60000.000,,,,57000.000,,,,0.000,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,-1372000.000,,,,1599000.000,,,,1438000.000,,,,1842000.000,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,0.000,,,,,,,,,,,,,,
DeferredTaxLiabilities,,,-45216000.000,,,,41344000.000,,,,36515000.000,,,,28006000.000,,
DeferredTaxLiabilitiesCurrent,,,,,,,0.000,,,,0.000,,,,0.000,,
DeferredTaxLiabilitiesDerivatives,,,-126000.000,,,,271000.000,,,,0.000,,,,424000.000,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,43000000.000,,,,37953000.000,,,,30321000.000,,
DeferredTaxLiabilitiesNoncurrent,39994000.000,38444000.000,45216000.000,44608000.000,44302000.000,43898000.000,41344000.000,41838000.000,41092000.000,39480000.000,36515000.000,38164000.000,33566000.000,32721000.000,28006000.000,28921000.000,28589000.000
