,2013-02-28
AccountsPayableCurrent,23.000
AccountsPayableRelatedPartiesCurrent,14130.000
AdditionalPaidInCapital,124150.000
Assets,13337.000
AssetsCurrent,209.000
CashAndCashEquivalentsAtCarryingValue,115.000
CommonStockValue,66000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,224152.000
InterestPayableCurrent,5111.000
InventoryFinishedGoods,94.000
LiabilitiesAndStockholdersEquity,13337.000
LiabilitiesCurrent,46064.000
OtherLoansPayable,25000.000
PreferredStockValue,1275.000
PropertyPlantAndEquipmentNet,13128.000
StockholdersEquity,-32727.000
