,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsReceivableNetCurrent,14587000.000,13583000.000,32263000.000,31837000.000,36955000.000,35302000.000,41897000.000,53517000.000,52296000.000,58677000.000,57442000.000,57667000.000,56116000.000,51379000.000
AccruedRentCurrent,,,,,,,11173000.000,14545000.000,,,20297000.000,19843000.000,18234000.000,17513000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,18124000.000,,80484000.000,100073000.000,120614000.000,141912000.000,203377000.000,234191000.000,260854000.000,288871000.000,318561000.000,348396000.000,379083000.000,411764000.000
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,,,,,,,4674000.000,15000.000,283000.000,-103000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,100000.000,4674000.000,4689000.000,4957000.000,4571000.000
AssetRetirementObligation,,,,,72460000.000,74352000.000,126991000.000,127903000.000,130137000.000,142582000.000,155321000.000,158270000.000,160803000.000,164438000.000
AssetRetirementObligationCurrent,1783000.000,1686000.000,348000.000,322000.000,808000.000,845000.000,1426000.000,903000.000,1562000.000,1729000.000,4310000.000,4461000.000,4356000.000,4895000.000
AssetRetirementObligationsNoncurrent,16997000.000,17304000.000,65353000.000,66175000.000,71652000.000,73507000.000,125565000.000,127000000.000,128575000.000,140853000.000,151011000.000,153809000.000,156447000.000,159543000.000
Assets,483965000.000,529067000.000,1057064000.000,1081774000.000,1395869000.000,1347651000.000,1686527000.000,1648380000.000,1695919000.000,1798537000.000,1815927000.000,1839491000.000,1825745000.000,1894859000.000
AssetsCurrent,34385000.000,42992000.000,86362000.000,93075000.000,122001000.000,112906000.000,122062000.000,101901000.000,115311000.000,119881000.000,104061000.000,105557000.000,86098000.000,104620000.000
AssetsNoncurrent,449580000.000,486075000.000,970702000.000,988699000.000,1273868000.000,1234745000.000,1564465000.000,1546479000.000,1580608000.000,1678656000.000,1711866000.000,1733934000.000,1739647000.000,1790239000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,,15824000.000,17910000.000,17470000.000,17434000.000,18276000.000
AvailableForSaleSecurities,,,,,,,,,,16003000.000,18746000.000,18488000.000,18929000.000,19255000.000
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,,,-45578000.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilitiesLongTermDebt,,,,,,,115000000.000,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,,,,,,,10732000.000,,,,,,,
CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortizationCumulative,,,,,,,11500000.000,,,,,,,
Cash,,,,,22529000.000,25144000.000,31836000.000,15580000.000,19666000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,152000.000,1212000.000,17433000.000,21320000.000,,,,,,26064000.000,13360000.000,23260000.000,6415000.000,16159000.000
DebtInstrumentUnamortizedDiscount,,,,,,4100000.000,,3800000.000,3700000.000,3500000.000,,3300000.000,3100000.000,3000000.000
DeferredFinanceCostsNoncurrentNet,2573000.000,,4279000.000,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,400000.000,,,,3160000.000,,,
DeferredTaxAssetsGross,,,,,,,300000.000,,,,4628000.000,,,
DeferredTaxAssetsGrossNoncurrent,,,,,300000.000,300000.000,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,-20000.000,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,,,1046000.000,,,
DeferredTaxAssetsNetNoncurrent,255000.000,,290000.000,321000.000,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,2043000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,,,,,,,,,,,845000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,,,,,,,,,,,1740000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,3582000.000,,,
DeferredTaxLiabilities,,,,,320000.000,102000.000,102000.000,,,,,,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,600000.000,400000.000,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,,,20000.000,20000.000,,,,,,,2114000.000,2214000.000,2352000.000,2154000.000
DeferredTaxLiabilitiesOther,,,,,,,,,,,59000.000,,,
