,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AdministrativeFeesExpense,,,,77907.000,,66444.000,52061.000,48372.000,46288.000,46562.000,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,7297378.000,3457678.000,-9200723.000,2876961.000,9053470.000,,,,,,,,,,,
IncentiveFeeExpense,,,,92272.000,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,0.000,,,,0.000,,
InvestmentIncomeInterest,,,,,,,,619.000,,410.000,325.000,161.000,1023.000,3001.000,2594.000,2850.000
InvestmentIncomeNet,,,,,,,,-280627.000,,-282324.000,-267304.000,,,,,
ManagementFeeExpense,,,,142359.000,,108329.000,86367.000,80171.000,73873.000,74710.000,67156.000,59394.000,50865.000,38594.000,36094.000,33084.000
NetIncomeLoss,487898.000,-815305.000,-343433.000,-14276.000,206493.000,-1426087.000,-590209.000,91831.000,-12643.000,599622.000,-941361.000,-589596.000,-258774.000,-266995.000,326744.000,-170744.000
NetInvestmentIncome,,,,,,,,,,,,-234561.000,,-195431.000,-167627.000,-156168.000
OperatingExpenses,,,,,,,,281246.000,,282734.000,267629.000,234722.000,195268.000,198432.000,170221.000,159018.000
OtherExpenses,76957.000,298262.000,66249.000,46816.000,-298006.000,94500.000,74781.000,58249.000,-143099.000,69984.000,72896.000,60502.000,,,,
PartnersCapitalAccountRedemptions,,,,,,,,,,979414.000,,,,,,
PartnersCapitalAccountUnitsContributed,,,,,,862.466,,,,,,,,,,
PartnersCapitalAccountUnitsRedeemed,,,,,,,,,,729.435,,,,,,
PartnersCapitalAccountUnitsSaleOfUnits,,9475.000,,,,9475.000,,,,,,,,,,
ProfessionalFees,,,,,,,,,,,,,,75618.000,55278.000,53378.000
RealizedInvestmentGainsLosses,,,,,,,,-36508.000,,286498.000,129605.000,195773.000,208406.000,-72066.000,49003.000,512333.000
SellingExpense,-174784.000,160535.000,159563.000,153180.000,148633.000,130309.000,101631.000,94454.000,90690.000,91478.000,84597.000,76111.000,66271.000,55797.000,52351.000,48157.000
TradingActivityGainsAndLossesNet,1053739.000,-86035.000,165304.000,496792.000,554751.000,-1028589.000,,,,,,,,,,
TradingGainsLosses,8034600.000,4785108.000,-7748105.000,4811852.000,11092641.000,,-276226.000,372458.000,,881946.000,-674057.000,-355035.000,-64529.000,-71564.000,494371.000,-14576.000
UnrealizedGainLossOnInvestments,,,,,,,,408966.000,,595448.000,-803662.000,-550808.000,-272935.000,502.000,445368.000,-526909.000
