,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfIntangibleAssets,,,,78000000.000,80000000.000,,81000000.000,79000000.000,74000000.000,90000000.000,97000000.000,104000000.000,99000000.000,104000000.000,100000000.000,103000000.000,102000000.000,103000000.000,101000000.000,109000000.000,107000000.000,108000000.000,111000000.000,116000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,5931881.000,8815982.000,,49662.000,130918.000,2502717.000,-249897.000,81000.000,81000.000,92800.000,2182300.000,2418103.000,2349596.000,57600.000,-3231492.000,1609503.000,1448913.000,472433.000,-1880141.000,4581215.000,4326766.000
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,151000000.000,,,,,,,,,,,,,,72000000.000,134000000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,,,1510000000.000,,,,,,,,,,,,,,1544000000.000,1644000000.000
CapitalizedComputerSoftwareAmortization1,,,,,,,,,,,,,,,,,,,,,59000000.000,,62000000.000,64000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-24000000.000,,,,-55000000.000,,,,-263000000.000,,,,70000000.000,,,,75000000.000,,,,-303000000.000,
CommonStockDividendsPerShareDeclared,,,,,,,0.160,0.160,0.200,0.200,0.200,0.250,0.250,0.250,0.250,0.280,0.280,0.280,0.280,0.310,0.310,0.310,0.310,0.340
ComprehensiveIncomeNetOfTax,,,113000000.000,14000000.000,170000000.000,-58000000.000,15000000.000,347000000.000,187000000.000,137000000.000,55000000.000,115000000.000,-69000000.000,-107000000.000,-100000000.000,156000000.000,-6000000.000,238000000.000,190000000.000,71000000.000,120000000.000,-31000000.000,148000000.000,214000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,-1000000.000,1000000.000,,1000000.000,-3000000.000,-1000000.000,1000000.000,-3000000.000,2000000.000,-1000000.000,-8000000.000,-3000000.000,1000000.000,-3000000.000,2000000.000,2000000.000,-1000000.000,1000000.000,,5000000.000,4000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,113000000.000,13000000.000,171000000.000,-56000000.000,16000000.000,344000000.000,186000000.000,138000000.000,52000000.000,117000000.000,-70000000.000,-115000000.000,-103000000.000,157000000.000,-9000000.000,240000000.000,192000000.000,70000000.000,121000000.000,-33000000.000,153000000.000,218000000.000
CostOfRevenue,570000000.000,554000000.000,565000000.000,564000000.000,565000000.000,584000000.000,593000000.000,580000000.000,573000000.000,652000000.000,642000000.000,677000000.000,648000000.000,653000000.000,622000000.000,648000000.000,615000000.000,654000000.000,641000000.000,654000000.000,642000000.000,670000000.000,661000000.000,678000000.000
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,10416700.000,,,,,,,,,,,,,,,,,
DepreciationAndAmortization,135000000.000,125000000.000,131000000.000,127000000.000,130000000.000,132000000.000,126000000.000,126000000.000,117000000.000,141000000.000,141000000.000,145000000.000,139000000.000,148000000.000,142000000.000,146000000.000,144000000.000,142000000.000,147000000.000,152000000.000,151000000.000,153000000.000,155000000.000,162000000.000
DepreciationDepletionAndAmortization,,,131000000.000,,,,128000000.000,,,,141000000.000,,,,142000000.000,,,,147000000.000,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,1000000.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,8000000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,4000000.000,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,3000000.000,,,0.000,0.000,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,11000000.000,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,43000000.000,,,5000000.000,10000000.000,,,,,,,,,,,,
EarningsPerShareBasic,,0.280,,,0.290,,,1.140,0.350,,0.150,0.190,0.240,0.430,0.170,0.310,0.390,0.680,0.280,0.310,0.360,0.450,0.200,0.370
EarningsPerShareBasicAndDiluted,0.190,,0.070,0.280,,,0.090,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,,0.280,,,0.290,,,1.120,0.350,,0.150,0.190,0.240,0.420,0.170,0.310,0.380,0.680,0.270,0.310,0.360,0.450,0.200,0.370
EffectOfExchangeRateOnCashAndCashEquivalents,,,7000000.000,,,,-15000000.000,,,,-17000000.000,,,,-28000000.000,,,,14000000.000,,,,14000000.000,
EffectiveIncomeTaxRateContinuingOperations,,,,0.280,0.390,,0.420,0.290,0.230,-0.765,0.380,0.500,0.510,-1.010,0.380,0.430,0.360,-0.772,0.300,0.420,0.380,-0.721,0.370,0.410
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,26000000.000,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,26000000.000,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-10000000.000,-4000000.000,-9000000.000,-4000000.000,1000000.000,-5000000.000,-12000000.000,-4000000.000,-7000000.000,-2000000.000,-27000000.000,-6000000.000,1000000.000,-39000000.000,-26000000.000,-6000000.000,5000000.000,-4000000.000,-1000000.000,-4000000.000,2000000.000,-3000000.000,-2000000.000,-7000000.000
ForeignCurrencyTransactionGainLossRealized,,,,,,,12000000.000,,,,20000000.000,,,,-7000000.000,,,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,-15000000.000,,,,-30000000.000,,,,-30000000.000,,,,-26000000.000,,,,-1000000.000,,,,-2000000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,51000000.000,,,,,,,,,,,
GoodwillAndIntangibleAssetImpairment,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,,51000000.000,
GoodwillPeriodIncreaseDecrease,,,,,,,5000000.000,,,,137000000.000,,,,134000000.000,,,,34000000.000,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,-35000000.000,,,,-9000000.000,,,,-165000000.000,,,,70000000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,,145000000.000,196000000.000,,,116000000.000,224000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,105000000.000,149000000.000,34000000.000,137000000.000,176000000.000,61000000.000,65000000.000,161000000.000,171000000.000,123000000.000,87000000.000,149000000.000,187000000.000,198000000.000,101000000.000,202000000.000,225000000.000,433000000.000,145000000.000,196000000.000,214000000.000,261000000.000,116000000.000,224000000.000
