,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AssetRetirementObligationAccretionExpense,3785.000,3874.000,40539.000,4720.000,4803.000,13704.000,3141.000,2565.000,2609.000,10317.000,1221.000
AssetRetirementObligationLiabilitiesSettled,,,,,,,75355.000,,,,37996.000
CostsAndExpenses,519341.000,458827.000,371504.000,277569.000,340562.000,652482.000,617362.000,282052.000,228622.000,253377.000,256517.000
DepreciationDepletionAndAmortization,192182.000,194482.000,85407.000,67796.000,61330.000,153289.000,119571.000,68091.000,24608.000,17291.000,15826.000
GainLossOnSaleOfOilAndGasProperty,,,,,,,81295.000,-194.000,-9.000,51711.000,37996.000
GeneralAndAdministrativeExpense,135347.000,111384.000,112624.000,118213.000,144995.000,154958.000,256372.000,72419.000,133206.000,206755.000,252715.000
ImpairmentOfOilAndGasProperties,,,,,,,195806.000,48582.000,13397.000,0.000,0.000
IncomeLossAttributableToParent,,,217772.000,66811.000,-83057.000,-362319.000,-409547.000,-116534.000,-193597.000,-173868.000,-169555.000
IncreaseDecreaseInAccountsPayable,,,2353.000,,,,297.000,,,,-37428.000
IncreaseDecreaseInDueFromAffiliatesCurrent,,,-149125.000,,,,-133892.000,,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,,-25000.000,,,,52773.000,,,,60575.000
InterestIncomeDomesticDeposits,65.000,64.000,11.000,,,,,,,,
LeaseOperatingExpense,88511.000,83720.000,104291.000,57312.000,108195.000,67674.000,108420.000,77176.000,61595.000,65878.000,18840.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,,,,0.000,0.000,,,
NetCashProvidedByUsedInContinuingOperations,,,32364.000,,,,24831.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,-437832.000,,,,,,,,219107.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-437832.000,,,,,,,,219107.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,10923.000,,,,21.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,10923.000,,,,21.000
NetCashProvidedByUsedInOperatingActivities,,,470196.000,,,,13908.000,,,,-219128.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,470196.000,,,,13908.000,,,,-219128.000
NetIncomeLoss,,496801.000,,,,,,,,,
NetIncomeLossAllocatedToGeneralPartners,,,,16559.000,-7190.000,,-67774.000,-99669.000,-193597.000,,-169555.000
NetIncomeLossAllocatedToLimitedPartners,,,,50252.000,-75867.000,,-341773.000,-16865.000,,,
NetIncomeLossPerOutstandingGeneralPartnershipUnit,1519.570,1256.150,,219.720,-95.410,,-899.300,-1322.520,,,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,,,,,,,-2568.860,,-2249.840
NetIncomeLossPerOutstandingLimitedPartnershipUnit,357.680,280.840,123.100,35.100,-52.980,-239.810,-238.690,-11.780,,,
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,,,,,75355.000,,,,37996.000
NonoperatingIncomeExpense,65.000,64.000,11.000,1230.000,,,,,,,
OilAndGasSalesRevenue,1145952.000,955564.000,589265.000,343150.000,257505.000,290162.000,207815.000,165518.000,35025.000,79509.000,86962.000
OperatingIncomeLoss,626611.000,496737.000,217761.000,65581.000,-83057.000,-362320.000,-409547.000,-116534.000,-193597.000,-173868.000,-169555.000
OtherNonoperatingIncome,,,,1230.000,,,,,,,
PartnersCapitalAccountDistributions,,,-437832.000,,,,,,,,
ProceedsFromPartnershipContribution,,,,,,,,,,,219107.000
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,,,,,,8633.000,,,,
ProductionBarrelsOfOilEquivalents,,,,,,,6.000,,,,
ProductionTaxExpense,99516.000,65367.000,28643.000,29528.000,21239.000,21091.000,15347.000,13025.000,-6802.000,4847.000,5911.000
ProfitLoss,626676.000,,,,,,,,,,
