,2011-09-30
CostOfGoodsSold,9023.000
CostsAndExpenses,95129.000
EarningsPerShareBasic,0.020
EarningsPerShareDiluted,0.020
InterestExpense,37500.000
InvestmentIncomeInterest,3.000
NetIncomeLossAvailableToCommonStockholdersBasic,-117284.000
NonoperatingIncomeExpense,-37497.000
OperatingIncomeLoss,-79787.000
ProfitLoss,-117284.000
SalesRevenueGoodsNet,15342.000
SellingGeneralAndAdministrativeExpense,86106.000
WeightedAverageNumberOfDilutedSharesOutstanding,5088759.000
WeightedAverageNumberOfSharesOutstandingBasic,5088759.000
