,2011-09-30,2012-03-31,2012-06-30,2012-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-905361.000,,
CommonStockDividendsPerShareCashPaid,0.000,,,
ComprehensiveIncomeNetOfTax,,,-1167090.000,-843931.000
CostOfServices,2046316.000,307577.000,758204.000,852759.000
DepreciationDepletionAndAmortization,,95451.000,,
EarningsPerShareBasicAndDiluted,-0.050,-0.020,-0.060,-0.030
EffectOfExchangeRateOnCashAndCashEquivalents,,16538.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.250,0.250
ForeignCurrencyTransactionGainLossBeforeTax,-103268.000,-15060.000,,
GeneralAndAdministrativeExpense,859193.000,687221.000,1247174.000,1071061.000
GrossProfit,741305.000,948740.000,461971.000,1259898.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-606432.000,-497042.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-1328427.000,-746455.000
IncomeTaxExpenseBenefit,506491.000,,,
IncreaseDecreaseInAccountsPayable,,-460721.000,,
IncreaseDecreaseInAccruedLiabilities,,-352492.000,,
IncreaseDecreaseInCustomerDeposits,,1094770.000,,
IncreaseDecreaseInDeferredRevenue,,-136641.000,,
IncreaseDecreaseInOtherReceivables,,-821210.000,,
IncreaseDecreaseInPrepaidExpense,,-1398.000,,
InvestmentIncomeInterest,26497.000,18608.000,4531.000,70.000
LeaseAndRentalExpense,,,288717.000,278011.000
NetCashProvidedByUsedInFinancingActivities,,158515.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,158515.000,,
NetCashProvidedByUsedInInvestingActivities,,-1131.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1131.000,,
NetCashProvidedByUsedInOperatingActivities,,-1079283.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-1079283.000,,
NetIncomeLoss,,-497042.000,-1328427.000,-746455.000
NonoperatingIncomeExpense,5103.000,16674.000,438396.000,39661.000
OperatingExpenses,1352840.000,1462456.000,2228794.000,2046014.000
OperatingIncomeLoss,-611535.000,-513716.000,-1766823.000,-786116.000
OperatingLeasesRentExpenseNet,,,288717.000,278011.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-161337.000,97476.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,-1216191.000,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-1216191.000,-512102.000,,
OtherExpenses,,1934.000,,
OtherNonoperatingExpense,,,32570.000,20323.000
OtherNonoperatingIncome,-21394.000,,466435.000,59914.000
PaymentsToAcquirePropertyPlantAndEquipment,,1131.000,,
ProfitLoss,-1112923.000,-497042.000,,
SalesRevenueServicesNet,2787621.000,1256317.000,1220175.000,2112657.000
SellingExpense,493647.000,775235.000,981620.000,974953.000
