,2011-06-30,2011-09-30
CasinoExpenses,4198000.000,3665000.000
CasinoRevenue,30031000.000,30164000.000
DepreciationAndAmortization,2587000.000,2691000.000
FoodAndBeverageCostOfSales,1466000.000,1368000.000
FoodAndBeverageRevenue,1565000.000,1607000.000
GainLossOnDispositionOfAssets,56000.000,2000.000
InterestExpense,5183000.000,5215000.000
InvestmentIncomeInterest,6000.000,4000.000
NetIncomeLoss,,7590000.000
NonoperatingIncomeExpense,-5177000.000,-5211000.000
OperatingExpenses,19227000.000,18501000.000
OperatingIncomeLoss,11965000.000,12801000.000
OtherSalesRevenueNet,206000.000,194000.000
ProfitLoss,6788000.000,
PromotionalAllowances,610000.000,663000.000
Revenues,31802000.000,31965000.000
SalesRevenueNet,31192000.000,31302000.000
SellingGeneralAndAdministrativeExpense,9968000.000,8833000.000
