,2012-04-30,2012-07-31,2013-01-31,2013-04-30,2013-07-31,2014-01-31,2014-04-30,2014-07-31
CashAcquiredInExcessOfPaymentsToAcquireBusiness,,,16221.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-42133.000,-1752.000,8390.000,,,-1314.000,,
ComprehensiveIncomeNetOfTax,-36242.000,-23257.000,-50749.000,-79127.000,-51356.000,-6868.000,-30506.000,-13471.000
CostOfGoodsSold,9126.000,2786.000,,,,,,
Depreciation,566.000,519.000,,543.000,54.000,,,
EarningsPerShareBasicAndDiluted,-0.003,-0.002,0.000,-0.001,-0.001,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,1756.000,-1776.000,231.000,,,31300.000,,
GeneralAndAdministrativeExpense,12053.000,6603.000,1439.000,14879.000,7896.000,11076.000,7080.000,7653.000
GrossProfit,504.000,2178.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-38430.000,-21371.000,,,,,,
IncomeTaxExpenseBenefit,-359.000,-2.000,,,,,,
IncreaseDecreaseInAccountsPayable,-7451.000,,60375.000,,,20497.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,-437.000,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,-15129.000,,
IncreaseDecreaseInInventories,-3899.000,-3295.000,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,213413.000,,,-186.000,,
IncreaseDecreaseInPropertyAndOtherTaxesPayable,-780.000,-5.000,-1180.000,,,,,
NetCashProvidedByUsedInContinuingOperations,,,8159.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,16221.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,16221.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-42133.000,-1752.000,-8062.000,,,-32614.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-42133.000,-1752.000,-8062.000,,,-32614.000,,
NetIncomeLoss,-38071.000,-21369.000,-50980.000,-79561.000,-61760.000,-38168.000,-22832.000,-10426.000
NonoperatingIncomeExpense,-281.000,77.000,,-160.000,-1569.000,,-3044.000,759.000
OperatingExpenses,38653.000,23626.000,,79401.000,60191.000,,19788.000,11185.000
OperatingIncomeLoss,-38149.000,-21448.000,,-79401.000,-60191.000,,-19788.000,-11185.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,1829.000,-1888.000,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,231.000,434.000,10404.000,31300.000,-7674.000,-3045.000
OtherComprehensiveIncomeLossNetOfTax,,,231.000,,,31300.000,,
ProfessionalFees,17652.000,10648.000,29967.000,60561.000,26537.000,2538.000,8291.000,3485.000
Revenues,9630.000,4964.000,,,,,,
SalesRevenueNet,9630.000,4964.000,,,,,,
StockIssuedDuringPeriodValueAcquisitions,,,-10455.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,19268174.000,78616000.000,78616000.000,173716000.000,173716000.000,173716000.000
