,2011-07-01,2011-09-30,2012-03-30,2012-06-29,2012-09-28,2013-03-29,2013-06-28,2013-09-27,2014-07-04,2014-10-03,2015-04-03,2015-07-03,2015-10-02
AmortizationOfIntangibleAssets,63000000.000,62000000.000,3000000.000,4000000.000,3000000.000,3000000.000,4000000.000,3000000.000,4000000.000,4000000.000,5000000.000,5000000.000,4000000.000
AmortizationOfLeasedAsset,,,,1000000.000,1000000.000,1000000.000,1000000.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,13000000.000,19000000.000,15000000.000,15000000.000,14000000.000,10000000.000,10000000.000,10000000.000,1000000.000,1000000.000
BusinessExitCosts,,,,,,3000000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-12000000.000,,,56000000.000,,,,,-195000000.000,,
CashFlowHedgeGainLossReclassifiedToEarningsNet,,,,,,,,1000000.000,,,,,
ComprehensiveIncomeNetOfTax,,,-5000000.000,-36000000.000,-17000000.000,-50000000.000,-71000000.000,28000000.000,89000000.000,114000000.000,66000000.000,226000000.000,59000000.000
CostOfRevenue,706000000.000,661000000.000,548000000.000,589000000.000,585000000.000,583000000.000,597000000.000,612000000.000,654000000.000,651000000.000,616000000.000,622000000.000,581000000.000
DeferredIncomeTaxExpenseBenefit,,,6000000.000,,,6000000.000,,,,,6000000.000,,
DeferredRevenueRevenueRecognized,,,,58000000.000,39000000.000,52000000.000,47000000.000,25000000.000,,,,,
DepreciationAndAmortization,,,71000000.000,,,68000000.000,,,,,68000000.000,,
DepreciationDepletionAndAmortization,,,,44000000.000,44000000.000,45000000.000,46000000.000,45000000.000,42000000.000,44000000.000,43000000.000,43000000.000,43000000.000
EarningsPerShareBasic,-0.790,-0.360,-0.040,-0.140,-0.100,-0.190,-0.250,0.090,0.280,0.410,0.230,0.390,0.260
EarningsPerShareDiluted,-0.790,-0.360,-0.040,-0.140,-0.100,-0.190,-0.250,0.090,0.280,0.400,0.220,0.380,0.250
EffectOfExchangeRateOnCashAndCashEquivalents,,,3000000.000,,,-4000000.000,,,,,-13000000.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,0.000,,,,,0.000,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,17000000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,17000000.000,,
ForeignCurrencyCashFlowHedgeGainLossReclassifiedToEarningsNet,,,,,,,,,-1000000.000,1000000.000,-3000000.000,-2000000.000,-6000000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,-22000000.000,-59000000.000,-1000000.000,0.000,-10000000.000,-21000000.000,-9000000.000,-19000000.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,21000000.000
GrossProfit,517000000.000,481000000.000,402000000.000,440000000.000,424000000.000,398000000.000,441000000.000,473000000.000,537000000.000,562000000.000,553000000.000,576000000.000,539000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,-38000000.000,-59000000.000,38000000.000,97000000.000,123000000.000,80000000.000,146000000.000,101000000.000
IncomeTaxExpenseBenefit,6000000.000,14000000.000,14000000.000,11000000.000,14000000.000,10000000.000,6000000.000,15000000.000,11000000.000,-2000000.000,10000000.000,24000000.000,21000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-56000000.000,,,-37000000.000,,,,,-67000000.000,,
IncreaseDecreaseInAccountsReceivable,,,-39000000.000,,,4000000.000,,,,,-12000000.000,,
IncreaseDecreaseInInventories,,,18000000.000,,,-32000000.000,,,,,-2000000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,6000000.000,,,-7000000.000,,,,,6000000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,2000000.000,2000000.000,3000000.000,3000000.000,,,,,,
InsuranceRecoveries,,,,,,55000000.000,,,,,,,
InterestExpense,,,,128000000.000,127000000.000,122000000.000,126000000.000,120000000.000,85000000.000,84000000.000,79000000.000,73000000.000,68000000.000
InterestIncomeExpenseNet,,,,-125000000.000,-125000000.000,-121000000.000,-125000000.000,-118000000.000,-82000000.000,-81000000.000,-78000000.000,-72000000.000,-67000000.000
InterestPaid,,,,127000000.000,126000000.000,119000000.000,130000000.000,103000000.000,71000000.000,95000000.000,86000000.000,83000000.000,32000000.000
InvestmentIncomeInterest,,,,3000000.000,2000000.000,1000000.000,1000000.000,2000000.000,3000000.000,3000000.000,1000000.000,1000000.000,1000000.000
LicensesRevenue,,,,11000000.000,13000000.000,,51000000.000,55000000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-39000000.000,,,23000000.000,,,,,-241000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-39000000.000,,,23000000.000,,,,,-241000000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-39000000.000,,,-33000000.000,,,,,-75000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-39000000.000,,,-33000000.000,,,,,-75000000.000,,
NetCashProvidedByUsedInOperatingActivities,,,63000000.000,,,70000000.000,,,,,134000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,63000000.000,,,70000000.000,,,,,134000000.000,,
NetIncomeLoss,-168000000.000,-88000000.000,-9000000.000,-34000000.000,-24000000.000,-48000000.000,-65000000.000,23000000.000,86000000.000,125000000.000,70000000.000,122000000.000,80000000.000
OperatingIncomeLoss,31000000.000,110000000.000,168000000.000,112000000.000,127000000.000,104000000.000,125000000.000,157000000.000,180000000.000,215000000.000,179000000.000,226000000.000,188000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,-1000000.000,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,,2000000.000,0.000,0.000,0.000,0.000,,101000000.000,0.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-4000000.000,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,0.000,0.000,0.000,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,,,-5000000.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,3000000.000,1000000.000,-4000000.000,0.000,0.000,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,4000000.000,-2000000.000,7000000.000,-2000000.000,-6000000.000,5000000.000,3000000.000,-11000000.000,-4000000.000,104000000.000,-21000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,-1000000.000,2000000.000,-3000000.000,-3000000.000,-6000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax,,,,,,,,,1000000.000,0.000,-1000000.000,0.000,2000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,,1000000.000,0.000,-1000000.000,1000000.000,,,,,
