,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdditionsToNoncurrentAssets,,,2465000.000,1532000.000,,1848000.000,,,,,,,,,,,,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,26000.000,267000.000,,1300000.000,900000.000,2500000.000,,27000.000,700000.000,1300000.000,,400000.000,1700000.000,4200000.000,,100000.000,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,,,,,,,,243000.000,,,,12000.000,,,,28000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,680000.000,,,,758000.000,,,,530000.000,,,,851000.000,,,,1377000.000,,,,1619000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,,,,2215000.000,,,,
AmortizationOfDebtDiscountPremium,,,,,,125000.000,,,,94000.000,,,,87000.000,,,,118000.000,,,,-388000.000
AmortizationOfFinancingCostsAndDiscounts,,1038000.000,,,,927000.000,,,,403000.000,,,,437000.000,,,,538000.000,,,,519000.000
AmortizationOfIntangibleAssets,,,,,,800000.000,400000.000,400000.000,,400000.000,400000.000,500000.000,800000.000,1000000.000,2300000.000,4100000.000,3800000.000,3400000.000,3500000.000,4200000.000,5400000.000,5200000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,9695000.000,,4577000.000,3035000.000,3833000.000,-7500000.000,3562000.000,1570000.000,1581000.000,-5115000.000,3455000.000,84000.000,0.000,,2508000.000,2250000.000,35000.000,-4757000.000,165000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,,,-0.730,0.570,0.260,2.020,-0.580,-0.160,1.740,,0.450
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,,,,0.520,0.240,,-0.580,-0.160,1.630,,0.420
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,-9961000.000,7946000.000,3748000.000,28152000.000,-8643000.000,-2337000.000,26419000.000,,6995000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,174066000.000,252047000.000,295111000.000,311834000.000,251738000.000,287499000.000,338522000.000,,299133000.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,,,,,,,900000.000,9400000.000,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,,,,,,,55100000.000,86900000.000,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,,,,4708000.000
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,,,,,,,,,53700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,1140000.000,,,,-88000.000,,,,-16445000.000,,,,-22816000.000,,,,4910000.000,,,,216050000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,100000.000,,,,100000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,100000.000,,,,-100000.000
CostOfGoodsSold,126541000.000,108839000.000,129667000.000,126695000.000,90624000.000,111157000.000,132720000.000,142215000.000,128721000.000,124525000.000,145324000.000,157689000.000,145780000.000,139786000.000,192296000.000,226620000.000,210137000.000,198758000.000,222216000.000,253477000.000,247887000.000,235759000.000
