,2011-09-30
Depreciation,300000.000
GeneralAndAdministrativeExpense,30000.000
InterestExpenseBorrowings,829000.000
NetIncomeLoss,119000.000
NetIncomeLossAllocatedToGeneralPartners,2000.000
NetIncomeLossAllocatedToLimitedPartners,117000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,1.950
OperatingExpenses,809000.000
OtherIncome,289000.000
RealEstateRevenueNet,1989000.000
RealEstateTaxExpense,191000.000
Revenues,2278000.000
SalesRevenueNet,1989000.000
UnusualOrInfrequentItemInsuranceProceeds,0.000
