,2011-08-31,2011-11-30
AmortizationOfIntangibleAssets,818000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-5126000.000,
CostOfGoodsSoldSubscription,4339000.000,4433000.000
CostOfRevenue,11256000.000,11594000.000
CostOfServicesAmortization,75000.000,75000.000
DepreciationAndAmortization,511000.000,
EarningsPerShareBasicAndDiluted,-0.200,-0.160
EffectOfExchangeRateOnCashAndCashEquivalents,-77000.000,
GeneralAndAdministrativeExpense,4938000.000,5118000.000
GrossProfit,19385000.000,18802000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5675000.000,-4728000.000
IncomeTaxExpenseBenefit,121000.000,-155000.000
IncomeTaxesPaidNet,40000.000,
IncreaseDecreaseInAccountsPayable,-585000.000,
IncreaseDecreaseInAccountsReceivable,-2516000.000,
IncreaseDecreaseInAccruedLiabilities,472000.000,
IncreaseDecreaseInDeferredRevenue,-1882000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,767000.000,
IncreaseDecreaseInOtherAccruedLiabilities,-490000.000,
IncreaseDecreaseInOtherOperatingAssets,755000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-33000.000,
InterestExpense,72000.000,69000.000
LicenseCosts,178000.000,242000.000
LicensesRevenue,2765000.000,1332000.000
NetCashProvidedByUsedInFinancingActivities,-246000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-246000.000,
NetCashProvidedByUsedInInvestingActivities,-1446000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1446000.000,
NetCashProvidedByUsedInOperatingActivities,-3357000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3357000.000,
NetIncomeLoss,-5796000.000,-4573000.000
OperatingExpenses,24829000.000,24140000.000
OperatingIncomeLoss,-5444000.000,-5338000.000
OtherDepreciationAndAmortization,743000.000,743000.000
OtherNonoperatingIncomeExpense,-159000.000,679000.000
PaymentsForRepurchaseOfCommonStock,286000.000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,372000.000,
PaymentsToAcquirePropertyPlantAndEquipment,1446000.000,
ProceedsFromIssuanceOfCommonStock,412000.000,
ResearchAndDevelopmentExpense,6052000.000,5714000.000
Revenues,30641000.000,30396000.000
SalesRevenueNet,30641000.000,30396000.000
SellingAndMarketingExpense,13096000.000,12565000.000
ShareBasedCompensation,1034000.000,
SubscriptionRevenue,18547000.000,19134000.000
TechnologyServicesCosts,6664000.000,6844000.000
TechnologyServicesRevenue,9329000.000,9930000.000
