,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,515000.000,,,
AmortizationOfFinancingCosts,,,,1000000.000,1000000.000,
CapitalLeaseObligationsIncurred,,,2430000.000,,,
CostOfGoodsAndServicesSoldDepreciationAndAmortization,36792000.000,49022000.000,33342000.000,32139000.000,23145000.000,35298000.000
CostsAndExpenses,173498000.000,258154000.000,177529000.000,145946000.000,132671000.000,163659000.000
Depreciation,,,,17800000.000,17100000.000,
DirectOperatingCosts,120779000.000,147811000.000,126939000.000,93415000.000,96978000.000,107033000.000
DividendsPreferredStock,,,2141000.000,,,
EarningsPerShareBasicAndDiluted,-2.340,-2.440,-1.350,-1.580,-0.460,-1.500
ForeignCurrencyTransactionGainLossBeforeTax,-94000.000,-5301000.000,252000.000,-1142000.000,1143000.000,-991000.000
GainLossOnDerivativeInstrumentsNetPretax,4529000.000,22409000.000,1884000.000,3720000.000,-334000.000,460000.000
GainLossOnSaleOfAccountsReceivable,,,,-100000.000,-100000.000,
GainLossOnSaleOfOtherAssets,,,1173000.000,,,
GainLossOnSaleOfPropertyPlantEquipment,-333000.000,,,,,
GainsLossesOnExtinguishmentOfDebt,-1121000.000,,,,,
GeneralAndAdministrativeExpense,15594000.000,21321000.000,17248000.000,20392000.000,12548000.000,15279000.000
GoodwillImpairmentLoss,,40000000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-37242000.000,-40223000.000,-22284000.000,-21264000.000,-2668000.000,-21827000.000
IncomeTaxExpenseBenefit,2194000.000,1882000.000,940000.000,6202000.000,3634000.000,4142000.000
IncomeTaxesPaid,,,1100000.000,,,
IncreaseDecreaseInAccountsPayable,,,-19455000.000,,,
IncreaseDecreaseInAccountsReceivable,,,-28648000.000,,,
IncreaseDecreaseInDeferredCharges,,,-912000.000,,,
IncreaseDecreaseInDeferredRevenue,,,-4409000.000,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,10216000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,3736000.000,,,
IncreaseDecreaseInRestrictedCash,,,10000000.000,,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,-536000.000,,,
InterestExpense,13120000.000,11161000.000,12781000.000,12858000.000,12783000.000,13671000.000
InterestIncomeExpenseNonoperatingNet,,,,-12836000.000,-12699000.000,
InterestPaid,,,1911000.000,,,
InvestmentIncomeInterest,179000.000,210000.000,42000.000,22000.000,84000.000,81000.000
NetCashProvidedByUsedInContinuingOperations,,,3037000.000,,,
NetCashProvidedByUsedInFinancingActivities,,,-1206000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-1206000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-17441000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-17441000.000,,,
NetCashProvidedByUsedInOperatingActivities,,,21684000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,21684000.000,,,
NetIncomeLoss,,-42105000.000,-23224000.000,-27466000.000,-6302000.000,-25969000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-41707000.000,-44438000.000,-25650000.000,-29983000.000,-8853000.000,-28577000.000
NonoperatingIncomeExpense,-9292000.000,11879000.000,-8253000.000,-10105000.000,-11691000.000,-14013000.000
OperatingIncomeLoss,-27950000.000,-52102000.000,-14031000.000,-11159000.000,9023000.000,-7814000.000
OtherNonoperatingIncomeExpense,335000.000,5722000.000,2350000.000,153000.000,199000.000,108000.000
PaymentsOfDebtIssuanceCosts,,,300000.000,,,
PaymentsToAcquireOtherProductiveAssets,,,383000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,3456000.000,,,
PreferredStockAccretionOfRedemptionDiscount,,,286000.000,,,
PreferredStockDividendsAndOtherAdjustments,2271000.000,2333000.000,2426000.000,2517000.000,2551000.000,2608000.000
ProceedsFromRepaymentsOfShortTermDebt,,,244000.000,,,
ProceedsFromSaleAndCollectionOfReceivables,,,,45400000.000,51200000.000,
ProceedsFromSaleOfProductiveAssets,,,13059000.000,,,
ProfitLoss,-39436000.000,,,,,
Revenues,145548000.000,206052000.000,163498000.000,134787000.000,141694000.000,155845000.000
SalesRevenueNet,145548000.000,206052000.000,163498000.000,134787000.000,141694000.000,155845000.000
ShareBasedCompensation,,,515000.000,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,,,,200000.000,200000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,17838000.000,18225000.000,18990000.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,19022000.000,19048000.000,
WeightedAverageNumberOfSharesOutstandingBasic,17838000.000,18225000.000,18990000.000,,,
