,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CollateralizedFinancings,,,,,,,,1000000000.000,730000000.000,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,2.500,2.500,2.500,2.500,,,2.500,2.500,2.500,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,,950000000.000,950000000.000,950000000.000,,,950000000.000,950000000.000,950000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,,391000000.000,391000000.000,391292760.000,,,391292760.000,391000000.000,,41800000.000,41800000.000,41700000.000,41700000.000,42100000.000,10000.000,,,,,,,,
CommonStockSharesOutstanding,,,,271379883.000,,,272373920.000,,,,41600000.000,41600000.000,41700000.000,,41900000.000,41900000.000,41900000.000,42000000.000,42100000.000,42200000.000,42300000.000,42400000.000,42400000.000
CommonStockValue,978000000.000,978000000.000,978000000.000,978000000.000,,,978000000.000,978000000.000,978000000.000,,,,,,0.000,0.000,0.000,0.000,,,,,
ConstructionInProgressGross,,,,,,,34000000.000,,,,,,,,47000000.000,,,,,,,11000000.000,
DebtCurrent,50000000.000,50000000.000,210000000.000,152000000.000,,,699000000.000,862000000.000,871000000.000,,,4000000.000,4000000.000,4000000.000,5000000.000,6000000.000,4000000.000,4000000.000,4000000.000,4000000.000,8000000.000,5000000.000,6000000.000
DebtInstrumentCarryingAmount,,,,,,,,1915000000.000,1924000000.000,,,,,,677000000.000,,,,,,672000000.000,407000000.000,
DebtInstrumentFairValue,,,,,,,,874000000.000,895000000.000,,,4000000.000,4000000.000,4000000.000,5000000.000,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,0.072,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,10000000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,234000000.000,,,,,,,125000000.000,
