,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
CashPeriodIncreaseDecrease,,30000.000,,,,-2925.000,
CostOfServicesLicensesAndServices,1103.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,0.000,0.010,,0.000
FeesAndCommissionsTransferAgent,,,,,,625.000,600.000
GeneralAndAdministrativeExpense,,3638.000,675.000,822.000,-4247.000,,45.000
IncomeLossFromContinuingOperations,,,-21311.000,-8089.000,,-12743.000,-10820.000
IncreaseDecreaseInAccountsPayable,,7345.000,,,,4923.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,0.000,
IncreaseDecreaseInInterestPayableNet,,,,,,401.000,
IncreaseDecreaseInPrepaidExpense,,8298.000,,,,,
IncreaseDecreaseInPrepaidExpensesOther,,-3000.000,,,,,
InterestExpense,,852.000,363.000,402.000,404.000,400.000,410.000
LegalFees,,,11536.000,4111.000,,,
NetCashProvidedByUsedInFinancingActivities,,30852.000,,,,0.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,30852.000,,,,0.000,
NetCashProvidedByUsedInOperatingActivities,,-852.000,,,,-2925.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-852.000,,,,-2925.000,
NetIncomeLoss,7506.000,-13495.000,-21674.000,-8491.000,-5867.000,-13143.000,-11230.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-13495.000,,,,,
OperatingExpenses,7506.000,12643.000,21311.000,8089.000,5463.000,12743.000,10820.000
OperatingIncomeLoss,,,,,,-13143.000,
OtherExpenses,,,,,,400.000,410.000
OtherOperatingActivitiesCashFlowStatement,,,,,,0.000,
PaymentsForFees,3120.000,1000.000,9100.000,4800.000,1700.000,7225.000,2600.000
ProceedsFromIssuanceOfCommonStock,,30000.000,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,,0.000,
ProceedsFromLongTermLinesOfCredit,,,,,,0.000,
ProceedsFromRepaymentsOfDebt,,28286.000,,,,,
ProceedsFromUnsecuredLinesOfCredit,,852.000,,,,,
ProfessionalAndContractServicesExpense,,,,,,4894.000,
ProfessionalFees,3283.000,8005.000,,,,4893.000,7575.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1000000.000,2681319.000,4000000.000,4000000.000,-7009188.000,4000000.000,4000000.000
