,2011-04-01,2011-07-01,2011-09-30,2011-12-31,2012-03-30,2012-06-29,2012-09-28,2013-03-29,2013-06-28,2014-03-28,2014-06-27,2014-09-26,2015-03-27,2015-06-26,2015-09-25,2016-03-25,2016-06-24,2016-09-23
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,371000000.000,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,2000000.000,,,,,,,,,,,,,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,20000000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,6000000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,15000000.000,,,,14000000.000,,,14000000.000,,15000000.000,,,13000000.000,,,,,
AmortizationOfDebtDiscountPremium,2000000.000,,,,1000000.000,,,2000000.000,,2000000.000,,,2000000.000,,,,,
AmortizationOfFinancingCosts,2000000.000,,,,2000000.000,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,2000000.000,,
AmortizationOfIntangibleAssets,17000000.000,,,,16000000.000,13000000.000,13000000.000,12000000.000,,12000000.000,,,11000000.000,,,10000000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2600000.000,3000000.000,3300000.000,-5700000.000,3700000.000,3500000.000,3200000.000,1800000.000,1700000.000,400000.000,500000.000,600000.000,200000.000,700000.000,4500000.000,1200000.000,600000.000,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,2.010,2.080,1.970,,,2.000,1.530,1.780,1.240,1.470,-3.740,2.870,1.880,1.880
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,195000000.000,,,,,,,,,167000000.000,147000000.000,148000000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,201000000.000,205000000.000,192000000.000,,,179000000.000,137000000.000,154000000.000,104000000.000,122000000.000,-299000000.000,227000000.000,147000000.000,148000000.000
BusinessAcquisitionsProFormaRevenue,,,,,3600000000.000,3558000000.000,3295000000.000,,,2978000000.000,3019000000.000,2940000000.000,2715000000.000,2807000000.000,2817000000.000,2353000000.000,2664000000.000,2505000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-59000000.000,,,,-271000000.000,,,-73000000.000,,-273000000.000,,,-125000000.000,,,327000000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,-56000000.000,,
CommonStockDividendsPerShareCashPaid,0.450,0.450,0.450,0.450,0.500,0.500,0.500,0.550,0.550,0.600,0.600,0.600,0.650,0.650,0.650,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,0.650,,,0.700,0.700,0.700
ComprehensiveIncomeNetOfTax,265000000.000,263000000.000,151000000.000,,244000000.000,168000000.000,249000000.000,169000000.000,180000000.000,162000000.000,169000000.000,90000000.000,26000000.000,205000000.000,-351000000.000,243000000.000,161000000.000,125000000.000
