,2011-11-30,2012-02-29,2012-05-31,2013-02-28,2013-05-31,2013-11-30,2014-02-28,2014-05-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,,1662.000,,
AssetImpairmentCharges,,22500.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,39794.000,,,,,-640.000,,
Depreciation,,,,254.000,254.000,1662.000,1662.000,1662.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,-0.000,-0.020,-0.000,-0.000
ExplorationExpense,25138.000,66723.000,74494.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,-760000.000,,
GeneralAndAdministrativeExpense,1780.000,7566.000,12141.000,27061.000,23310.000,12342.000,3172.000,10485.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,17970.000,,,,,7584.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,43250.000,,
IncreaseDecreaseInDueToOfficersAndStockholders,,,,,,4228.000,,
IncreaseDecreaseInInterestPayableNet,4414.000,,,,,20428.000,,
IncreaseDecreaseInPrepaidExpense,-33856.000,,,,,,,
InterestExpense,4414.000,4606.000,11924.000,18997.000,20290.000,20428.000,20662.000,21637.000
MarketingExpense,,,,,,4200000.000,5000.000,274.000
NetCashProvidedByUsedInFinancingActivities,103092.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,103092.000,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-63298.000,,,,,-640.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-63298.000,,,,,-640.000,,
NetIncomeLoss,-51826.000,-200179.000,-179229.000,-116350.000,-112642.000,-5037792.000,-87755.000,-80394.000
OperatingIncomeLoss,-47412.000,-195573.000,-167305.000,-97353.000,-92352.000,-4257364.000,-67093.000,-58757.000
ProceedsFromNotesPayable,99798.000,,,,,,,
ProceedsFromRelatedPartyDebt,3294.000,,,,,,,
ProfessionalFees,20494.000,98784.000,80670.000,20897.000,4141.000,110.000,14009.000,3086.000
SalariesAndWages,,,,49141.000,44905.000,43250.000,43250.000,43250.000
WeightedAverageNumberOfDilutedSharesOutstanding,112000000.000,138000000.000,180086957.000,287000000.000,287000000.000,294554945.000,349500000.000,349500000.000
