,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccretionExpense,-7606.000,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,-1671.000,,,,,,,,,,
AssetRetirementObligationAccretionExpense,,,,,19984.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,-445.000,,,,6630.000,,
CashPeriodIncreaseDecrease,,,,,-15647.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,-0.020,-0.230,-0.010,-0.010,-0.010,-0.020,-0.010,-0.030,-0.040,-0.010,-0.010,-0.010,-0.010
ExplorationAndProductionCosts,,,,,,,212549.000,,14065.000,,,,,,
GeneralAndAdministrativeExpense,9047.000,12644.000,69232.000,79299.000,34851.000,50441.000,54269.000,67232.000,57894.000,79496.000,65085.000,34896.000,37553.000,53673.000,44583.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-84165.000,,,,-26162.000,,,,-4390.000,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,-61.000,,,,,,
IncreaseDecreaseInAccruedLiabilities,6116.000,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,,1013.000,,,,,,,,,,
IncreaseDecreaseInLeaseAcquisitionCosts,,,,,6133.000,,,,,,,,,,
IncreaseDecreaseInUnprovedOilAndGasProperty,8940.000,,,,,,,,,,,,,,
InterestExpense,,,-686.000,,,,,,,,,,,,
LeaseOperatingExpense,,,,,12298.000,17090.000,6884.000,60584.000,5131.000,70342.000,13293.000,20716.000,2700.000,6317.000,6707.000
LegalFees,,,,,,29130.000,9719.000,,10050.000,28778.000,202229.000,,3095.000,29646.000,8250.000
NetCashProvidedByUsedInFinancingActivities,18351.000,,,,144000.000,,,,105500.000,,,,53500.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,18351.000,,,,144000.000,,,,105500.000,,,,53500.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,-47081.000,,,,-14065.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,-47081.000,,,,-14065.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-18351.000,,,,-112566.000,,,,-91880.000,,,,-46870.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-18351.000,,,,-112566.000,,,,-91880.000,,,,-46870.000,,
NetIncomeLoss,-19841.000,-37950.000,-136250.000,-1373339.000,-31085.000,-77846.000,-57344.000,-161118.000,-65657.000,-175109.000,-276294.000,-45566.000,-42480.000,-83827.000,-51166.000
OperatingExpenses,19841.000,37950.000,135564.000,1373339.000,49310.000,98256.000,72325.000,178117.000,73075.000,178616.000,280607.000,51906.000,43348.000,89636.000,59540.000
OperatingIncomeLoss,-19841.000,-37950.000,-135564.000,-1373339.000,-31085.000,-77846.000,-57344.000,-161118.000,,-175109.000,-276294.000,,,-82827.000,-51166.000
PartnersCapitalAccountContributions,-18351.000,,,,,,,,,,,,,,
PaymentsToExploreAndDevelopOilAndGasProperties,,,,,,,,,-14065.000,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,144000.000,,,,105500.000,,,,53500.000,,
ProfessionalFees,,,,,490.000,,,,,,,,,,
ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,,,,,1671.000,1595.000,1453.000,724.000,,,,,,,
Revenues,,,,,18225.000,20410.000,14981.000,16999.000,7418.000,3507.000,4313.000,6340.000,867.000,5809.000,8374.000
SalesRevenueNet,,,,,18225.000,20410.000,14981.000,16999.000,7418.000,3507.000,4313.000,6340.000,867.000,5809.000,8374.000
StockIssuedDuringPeriodSharesNewIssues,,,,,,,,,52750.000,,,,,,
StockIssuedDuringPeriodValueNewIssues,,,,,,,,,105500.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5831000.000,5831000.000,5831000.000,-11516883.000,6203134.000,6231265.000,6231265.000,-12337131.000,6488248.000,6535810.000,6648005.000,-13065961.000,6782116.000,6827388.000,6835740.000
