,2011-01-30,2011-05-01,2011-10-30,2012-01-29,2012-04-29,2012-07-29,2012-10-28,2013-01-27,2013-04-28,2013-07-28,2013-10-27,2014-01-26,2014-04-27,2014-11-02,2015-02-01,2015-05-03,2015-08-02,2015-11-01,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,-12000000.000,,,,-11000000.000,,,,-12000000.000,,,-9000000.000,,,,-9000000.000,,,,-11000000.000,,
AllocatedShareBasedCompensationExpense,25000000.000,23000000.000,22000000.000,23000000.000,17000000.000,17000000.000,25000000.000,26000000.000,31000000.000,27000000.000,21000000.000,15000000.000,9000000.000,13000000.000,18000000.000,15000000.000,11000000.000,13000000.000,21000000.000,16000000.000,14000000.000,14000000.000,18000000.000,16000000.000
AmortizationOfIntangibleAssets,,,,,,,3000000.000,,,,4000000.000,,,4000000.000,,,,5000000.000,,,,5000000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,711000.000,711000.000,0.000,-1067000.000,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,0.780,0.600,0.570,0.200,0.570,0.740,0.580,,,,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,182000000.000,235000000.000,184000000.000,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,245000000.000,190000000.000,181000000.000,64000000.000,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,2349000000.000,2333000000.000,2094000000.000,1364000000.000,2169000000.000,2281000000.000,1970000000.000,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,10000000.000,,,,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,-3000000.000,5000000.000,6000000.000,,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,171000000.000,195000000.000,205000000.000,,,,,,,,,,,,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentConsiderationTransferred,,,,,,,,,11000000.000,,,,,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,,,,6000000.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-199000000.000,,,,26000000.000,,,,-82000000.000,,,7000000.000,,,,10000000.000,,,,-6000000.000,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,-1000000.000,,,,-2000000.000,,,,-1000000.000,,,-1000000.000,,,,5000000.000,,,,-9000000.000,,
CommonStockDividendsPerShareDeclared,0.290,0.290,0.290,0.290,0.290,0.290,0.290,0.580,0.000,0.290,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.350,0.350,0.350
ComprehensiveIncomeNetOfTax,,,,,,,276000000.000,235000000.000,172000000.000,-14000000.000,231000000.000,215000000.000,273000000.000,169000000.000,46000000.000,212000000.000,-76000000.000,162000000.000,242000000.000,264000000.000,-41000000.000,289000000.000,95000000.000,171000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,-2000000.000,-3000000.000,-2000000.000,-3000000.000,-2000000.000,-7000000.000,0.000,0.000,0.000,0.000,-1000000.000,0.000,2000000.000,0.000,1000000.000,1000000.000,0.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,257000000.000,348000000.000,224000000.000,182000000.000,175000000.000,-166000000.000,274000000.000,232000000.000,170000000.000,-17000000.000,229000000.000,208000000.000,273000000.000,169000000.000,46000000.000,212000000.000,-77000000.000,162000000.000,244000000.000,264000000.000,-40000000.000,290000000.000,95000000.000,171000000.000
CostOfGoodsSold,1289000000.000,1081000000.000,1307000000.000,1301000000.000,1115000000.000,992000000.000,1471000000.000,1514000000.000,1346000000.000,809000000.000,1388000000.000,1467000000.000,1294000000.000,1472000000.000,1506000000.000,1218000000.000,1081000000.000,1448000000.000,1382000000.000,1210000000.000,1141000000.000,1361000000.000,1346000000.000,1175000000.000
CostsAndExpenses,1768000000.000,1506000000.000,1745000000.000,1783000000.000,1557000000.000,1410000000.000,1951000000.000,2032000000.000,1822000000.000,1167000000.000,1860000000.000,1920000000.000,1678000000.000,1887000000.000,1922000000.000,1613000000.000,1565000000.000,1888000000.000,1787000000.000,1602000000.000,1724000000.000,1745000000.000,1966000000.000,1555000000.000
DeferredIncomeTaxExpenseBenefit,,,27000000.000,,,,-2000000.000,,,,43000000.000,,,,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,2000000.000,,,,-35000000.000,,,,19000000.000,,
DepreciationDepletionAndAmortization,,,63000000.000,,,,98000000.000,,,,74000000.000,,,75000000.000,,,,74000000.000,,,,77000000.000,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,5000000.000,-53000000.000,20000000.000,16000000.000,2000000.000,30000000.000,-6000000.000,-8000000.000,30000000.000,33000000.000,-18000000.000,31000000.000,2000000.000,12000000.000,25000000.000,-1000000.000,9000000.000,-2000000.000,3000000.000,-5000000.000,5000000.000,-2000000.000,7000000.000,-3000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,147000000.000,0.000,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,90000000.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,9000000.000,0.000,0.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,18000000.000,0.000,0.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,,57000000.000,0.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,137000000.000,0.000,0.000,,,,,,,,,,,
DividendsCommonStockCash,,,95000000.000,,,,-93000000.000,,,,97000000.000,,,100000000.000,,,,98000000.000,,,,107000000.000,,
EarningsPerShareBasic,0.720,0.580,0.820,0.640,0.560,0.410,0.780,0.610,0.580,-0.510,0.550,1.040,0.590,0.750,0.660,0.590,0.210,0.630,0.850,0.600,-0.260,0.950,0.330,0.580
EarningsPerShareDiluted,0.710,0.570,0.820,0.640,0.550,0.400,0.780,0.600,0.570,-0.510,0.540,1.030,0.580,0.740,0.660,0.580,0.230,0.620,0.850,0.590,-0.250,0.940,0.330,0.580
EffectOfExchangeRateOnCashAndCashEquivalents,,,-9000000.000,,,,1000000.000,,,,0.000,,,-6000000.000,,,,-4000000.000,,,,-2000000.000,,
EffectOnFutureCashFlowsAmount,,,50000000.000,50000000.000,50000000.000,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,9000000.000,9000000.000,8000000.000,9000000.000,6000000.000,6000000.000,9000000.000,10000000.000,12000000.000,11000000.000,8000000.000,6000000.000,3000000.000,5000000.000,6000000.000,6000000.000,4000000.000,5000000.000,8000000.000,5000000.000,6000000.000,5000000.000,7000000.000,6000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,3000000.000,,,,10000000.000,,,5000000.000,,,,6000000.000,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,,,,,,,,-6000000.000,,
GeneralAndAdministrativeExpense,154000000.000,148000000.000,145000000.000,152000000.000,144000000.000,170000000.000,162000000.000,172000000.000,172000000.000,171000000.000,148000000.000,142000000.000,134000000.000,135000000.000,140000000.000,141000000.000,177000000.000,156000000.000,146000000.000,154000000.000,185000000.000,123000000.000,139000000.000,140000000.000
GoodwillAcquiredDuringPeriod,,,,,,,695000000.000,,,,136000000.000,,,,,,,,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,4000000.000,,
GoodwillTranslationAdjustments,,,,,,,13000000.000,,,,28000000.000,,,-54000000.000,,,,-13000000.000,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,-37000000.000,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,328000000.000,283000000.000,388000000.000,303000000.000,237000000.000,178000000.000,352000000.000,270000000.000,241000000.000,92000000.000,275000000.000,332000000.000,262000000.000,343000000.000,287000000.000,259000000.000,101000000.000,287000000.000,387000000.000,240000000.000,-65000000.000,429000000.000,177000000.000,270000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,180000000.000,228000000.000,183000000.000,234000000.000,207000000.000,182000000.000,68000000.000,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,0.580,0.750,0.590,0.750,0.660,0.590,0.210,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,0.570,0.740,0.580,0.740,0.660,0.580,0.230,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,-9000000.000,90000000.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,,-0.030,0.290,0.000,0.000,0.000,0.000,0.000,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,,-0.030,0.280,0.000,0.000,0.000,0.000,0.000,,,,,,,
IncomeTaxExpenseBenefit,89000000.000,97000000.000,125000000.000,102000000.000,62000000.000,53000000.000,109000000.000,83000000.000,62000000.000,21000000.000,95000000.000,104000000.000,79000000.000,109000000.000,80000000.000,77000000.000,33000000.000,93000000.000,122000000.000,55000000.000,16000000.000,137000000.000,76000000.000,94000000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,238000000.000,,,,258000000.000,,,,186000000.000,,,175000000.000,,,,184000000.000,,,,218000000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,126000000.000,,,,143000000.000,,,,77000000.000,,,132000000.000,,,,72000000.000,,,,96000000.000,,
IncreaseDecreaseInInventories,,,131000000.000,,,,125000000.000,,,,110000000.000,,,98000000.000,,,,56000000.000,,,,27000000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,15000000.000,,,,14000000.000,,,,25000000.000,,,5000000.000,,,,6000000.000,,,,6000000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,2000000.000,2000000.000,2000000.000,2000000.000,2000000.000,-4000000.000,2000000.000,2000000.000,3000000.000,-4000000.000,,,,,,,,,,,,,,
InterestExpense,34000000.000,27000000.000,30000000.000,28000000.000,29000000.000,27000000.000,36000000.000,33000000.000,33000000.000,33000000.000,31000000.000,29000000.000,31000000.000,26000000.000,26000000.000,29000000.000,27000000.000,29000000.000,28000000.000,29000000.000,29000000.000,29000000.000,29000000.000,29000000.000
InventoryRecallExpense,,,,,,,,,,,16000000.000,,,,,,,,,,,,,
InvestmentIncomeInterest,3000000.000,3000000.000,2000000.000,2000000.000,2000000.000,2000000.000,3000000.000,2000000.000,2000000.000,3000000.000,1000000.000,0.000,1000000.000,1000000.000,1000000.000,1000000.000,0.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
NetCashProvidedByUsedInFinancingActivities,,,-229000000.000,,,,1558000000.000,,,,261000000.000,,,-111000000.000,,,,-136000000.000,,,,-173000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-229000000.000,,,,1558000000.000,,,,261000000.000,,,-111000000.000,,,,-136000000.000,,,,-173000000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-34000000.000,,,,-1614000000.000,,,,-381000000.000,,,-64000000.000,,,,-68000000.000,,,,-52000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-34000000.000,,,,-1614000000.000,,,,-381000000.000,,,-64000000.000,,,,-68000000.000,,,,-52000000.000,,
NetCashProvidedByUsedInOperatingActivities,,,73000000.000,,,,81000000.000,,,,38000000.000,,,188000000.000,,,,218000000.000,,,,221000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,73000000.000,,,,81000000.000,,,,38000000.000,,,188000000.000,,,,218000000.000,,,,221000000.000,,
NetIncomeLoss,239000000.000,187000000.000,265000000.000,205000000.000,177000000.000,127000000.000,245000000.000,190000000.000,181000000.000,-158000000.000,172000000.000,325000000.000,184000000.000,234000000.000,207000000.000,182000000.000,68000000.000,194000000.000,265000000.000,185000000.000,-81000000.000,292000000.000,101000000.000,176000000.000
NetIncomeLossAttributableToNoncontrollingInterest,,-1000000.000,-2000000.000,-4000000.000,-2000000.000,-2000000.000,-2000000.000,-3000000.000,-2000000.000,-2000000.000,-1000000.000,-7000000.000,-1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,,,,,,,,,5000000.000,,,,,,,,,,,,,
NumberOfOperatingSegments,,,,,,,13.000,,,,10.000,,,10.000,,,,,,,,,,
OperatingIncomeLoss,359000000.000,307000000.000,416000000.000,329000000.000,264000000.000,203000000.000,385000000.000,301000000.000,272000000.000,122000000.000,305000000.000,361000000.000,292000000.000,368000000.000,312000000.000,287000000.000,128000000.000,315000000.000,414000000.000,268000000.000,-37000000.000,457000000.000,205000000.000,298000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,16000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,,,0.000,,1000000.000,,,6000000.000,-1000000.000,3000000.000,8000000.000,-2000000.000,-86000000.000,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,,,,,,,0.000,,,,,-2000000.000,0.000,1000000.000,5000000.000,-2000000.000,-51000000.000,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,6000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,-61000000.000,,,,12000000.000,22000000.000,-27000000.000,-99000000.000,46000000.000,-116000000.000,68000000.000,-83000000.000,-166000000.000,12000000.000,-86000000.000,-25000000.000,-17000000.000,100000000.000,-13000000.000,-8000000.000,-16000000.000,-4000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,,,,,,,12000000.000,26000000.000,-32000000.000,-101000000.000,48000000.000,-117000000.000,68000000.000,-83000000.000,-167000000.000,12000000.000,-86000000.000,-26000000.000,-17000000.000,101000000.000,-13000000.000,-8000000.000,-16000000.000,-4000000.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,,,,,,0.000,-4000000.000,5000000.000,2000000.000,-2000000.000,1000000.000,0.000,0.000,-1000000.000,0.000,0.000,-1000000.000,0.000,1000000.000,0.000,0.000,0.000,0.000
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,,,,,,,,,,,0.000,-1000000.000,-1000000.000,,-1000000.000,-1000000.000,,,-1000000.000,-1000000.000,,-6000000.000,-7000000.000,-5000000.000
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,,,,,,,,,,,,-1000000.000,-1000000.000,,-1000000.000,-1000000.000,,,-1000000.000,-1000000.000,,-4000000.000,-4000000.000,-4000000.000
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditTax,,,,,,,,,,,,0.000,0.000,,0.000,0.000,,,0.000,0.000,,-2000000.000,-3000000.000,-1000000.000
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicBenefitCostBeforeTax,,,,,,,,2000000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,,,,,,,,2000000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeTax,,,,,,,42000000.000,61000000.000,-5000000.000,275000000.000,67000000.000,-103000000.000,102000000.000,-55000000.000,-163000000.000,42000000.000,-182000000.000,-36000000.000,-24000000.000,72000000.000,71000000.000,1000000.000,-1000000.000,-5000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationBeforeTax,,,,,,,,,,,,22000000.000,,,0.000,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,,,,,,,,19000000.000,,,0.000,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationTax,,,,,,,,,,,,-3000000.000,,,0.000,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,31000000.000,45000000.000,-9000000.000,143000000.000,58000000.000,-110000000.000,90000000.000,-65000000.000,-161000000.000,30000000.000,-145000000.000,-32000000.000,-21000000.000,79000000.000,41000000.000,-2000000.000,-6000000.000,-5000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,-39000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,,,31000000.000,,-22000000.000,-24000000.000,-39000000.000,,-23000000.000,-23000000.000,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,20000000.000,,-14000000.000,-16000000.000,-25000000.000,-15000000.000,-16000000.000,-14000000.000,-16000000.000,,1000000.000,1000000.000,,4000000.000,4000000.000,4000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,,,,,,0.000,,1000000.000,,,8000000.000,-1000000.000,4000000.000,13000000.000,-4000000.000,-137000000.000,0.000,0.000,0.000,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,-11000000.000,,-8000000.000,-8000000.000,-14000000.000,-9000000.000,-7000000.000,-9000000.000,-10000000.000,0.000,0.000,0.000,0.000,2000000.000,3000000.000,1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,,,,,,0.000,0.000,-1000000.000,-1000000.000,0.000,1000000.000,1000000.000,2000000.000,4000000.000,3000000.000,0.000,-2000000.000,-5000000.000,-2000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,0.000,0.000,-1000000.000,-1000000.000,0.000,1000000.000,0.000,2000000.000,2000000.000,2000000.000,1000000.000,-2000000.000,-3000000.000,-1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,1000000.000,0.000,2000000.000,1000000.000,-1000000.000,0.000,-2000000.000,-1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,,,,,,-22000000.000,-25000000.000,-40000000.000,-24000000.000,-24000000.000,-24000000.000,-26000000.000,0.000,0.000,0.000,,,,
