,2011-12-31,2012-12-31
CashPeriodIncreaseDecrease,87048.000,1017611.000
ComprehensiveIncomeNetOfTax,,-743818.000
CostOfGoodsSold,24369914.000,21914116.000
DepreciationAndAmortization,13229.000,
DepreciationExpense,13229.000,6697.000
EarningsPerShareBasic,-0.020,-0.010
EarningsPerShareDiluted,-0.020,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,-24520.000,-32807.000
EffectiveIncomeTaxRateContinuingOperations,,0.250
ForeignCurrencyTransactionGainLossUnrealized,-24523.000,92842.000
GrossProfit,499604.000,1219278.000
IncomeLossAttributableToNoncontrollingInterest,-596199.000,-352560.000
IncomeLossAttributableToParent,-712214.000,-484100.000
IncomeLossFromContinuingOperations,-1185714.000,-810744.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,-1290743.000,
IncomeTaxExpenseBenefit,17670.000,
IncreaseDecreaseInAccountsPayable,,-489126.000
IncreaseDecreaseInAccountsReceivable,-246478.000,1761410.000
IncreaseDecreaseInAccruedLiabilities,,-211561.000
IncreaseDecreaseInAccruedTaxesPayable,-4886.000,-9991.000
IncreaseDecreaseInCustomerAdvances,19046.000,-186933.000
IncreaseDecreaseInNotesReceivables,,142780.000
IncreaseDecreaseInOtherAccruedLiabilities,95505.000,
IncreaseDecreaseInOtherReceivables,418956.000,42210.000
InterestIncomeExpenseNet,-562.000,4551.000
LeaseAndRentalExpense,,97450.000
NetCashProvidedByUsedInFinancingActivities,-87925.000,-307375.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-87925.000,-307375.000
NetCashProvidedByUsedInInvestingActivities,-7827.000,283302.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-7827.000,283302.000
NetCashProvidedByUsedInOperatingActivities,207320.000,1074491.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,207320.000,1074491.000
NetIncomeLoss,-1308413.000,-836660.000
OperatingExpenses,1685318.000,2030022.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-12506.000,47350.000
OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,-1332936.000,-789310.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-1320919.000,
OtherIncome,-104467.000,-30467.000
OtherOperatingIncomeExpenseNet,-105029.000,-25916.000
PropertyPlantAndEquipmentAdditions,-15782.000,-34992.000
PropertyPlantAndEquipmentDisposals,,1426.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-836660.000
Revenues,24765051.000,23102927.000
SalesRevenueNet,24869518.000,23133394.000
SellingGeneralAndAdministrativeExpense,1672089.000,1131035.000
WeightedAverageNumberOfDilutedSharesOutstanding,41508203.000,41508203.000
WeightedAverageNumberOfSharesOutstandingBasic,41508203.000,41508203.000
