,2011-06-30,2011-09-30,2011-10-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccruedLiabilitiesCurrentAndNoncurrent,79500.000,99283.000,,81801.000,85863.000,60817.000,71269.000,71591.000,47194.000,66035.000
AdditionalPaidInCapital,2876800.000,2876800.000,,2876800.000,2876800.000,2876800.000,2876800.000,2876800.000,2876800.000,2876800.000
Assets,2363710.000,1354537.000,,1602946.000,1174132.000,1266349.000,1100537.000,1264803.000,1314659.000,1392709.000
Cash,17773.000,0.000,,,,,,,,
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,59747.000,-27914.000,37978.000,23688.000,43671.000,-54033.000
DueFromRelatedParties,41865.000,21628.000,,,,,4496.000,,,
DueToRelatedPartiesCurrentAndNoncurrent,1948.000,2936.000,,13742.000,629.000,47984.000,650.000,7414.000,2295.000,833.000
InvestmentOwnedAtCost,513.000,102429.000,,301764.000,190094.000,147709.000,31676.000,0.000,14961.000,12352.000
InvestmentOwnedAtFairValue,513.000,102429.000,,301764.000,190094.000,147709.000,31676.000,,14961.000,12352.000
Investments,,,,,249841.000,119795.000,69654.000,23688.000,58632.000,-41681.000
Liabilities,81448.000,264283.000,,95543.000,87695.000,136715.000,71919.000,92667.000,83350.000,120901.000
LiabilitiesAndStockholdersEquity,2363710.000,1354537.000,,1602946.000,1174132.000,1266349.000,1100537.000,1264803.000,1314659.000,1392709.000
OtherPrepaidExpenseCurrent,,,,,,,,60500.000,37808.000,18904.000
PrepaidExpenseCurrent,,,,10216.000,9907.000,7277.000,1950.000,10520.000,6553.000,3277.000
RatioOfIndebtednessToNetCapital,,,,,4.000,,,,,
RatioOfIndebtednessToNetCapital1,,,,,,4.000,4.000,4.000,4.000,4.000
RestrictedCashAndCashEquivalents,2131901.000,1230480.000,,1131136.000,913181.000,1111363.000,1024437.000,1156433.000,1177805.000,1358176.000
RetainedEarningsAccumulatedDeficit,-594538.000,-1786546.000,,-1369397.000,-1790363.000,-1747166.000,-1848182.000,-1704664.000,-1645491.000,-1604992.000
SharesOutstanding,100040.000,100040.000,,100040.000,100040.000,100040.000,100040.000,100040.000,100040.000,100040.000
StockholdersEquity,2282262.000,1090254.000,,1507403.000,1086437.000,1129634.000,1028618.000,1172136.000,1231309.000,1271808.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2282262.000,1090254.000,,1507403.000,1086437.000,1129634.000,1028618.000,1172136.000,1231309.000,1271808.000
