,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AllocatedShareBasedCompensationExpense,,,,,,,979000.000,149000.000,224000.000,158000.000,156000.000,92000.000,44000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,29000.000,,
AmortizationOfIntangibleAssets,,,40000.000,,,,0.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,3600000.000,3500000.000,,4600000.000,5400000.000,4500000.000,-10800000.000,2337000.000,463000.000,4237000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-508000.000,,,,582000.000,,,,-1742000.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,0.000,,,,0.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,0.000,,,,0.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,121000.000,,,,0.000,,
ComprehensiveIncomeNetOfTax,,,-1473000.000,-2721000.000,-1619000.000,-4130000.000,-3380000.000,-3116000.000,-3536000.000,-11014000.000,-2324000.000,-2573000.000,-1797000.000
CostOfServices,6134000.000,6320000.000,5591000.000,3882000.000,3808000.000,1116000.000,3035000.000,3068000.000,2906000.000,3281000.000,3159000.000,2960000.000,1834000.000
DebtIssuanceCosts,,,,,,,,,,,,,483000.000
Depreciation,,,567000.000,,,,406000.000,,,,85000.000,,
DepreciationAndAmortization,956000.000,775000.000,607000.000,402000.000,420000.000,213000.000,406000.000,439000.000,396000.000,456000.000,85000.000,84000.000,117000.000
DerivativeGainLossOnDerivativeNet,25000.000,70000.000,7000.000,15000.000,-337000.000,484000.000,225000.000,-11000.000,-66000.000,196000.000,17000.000,0.000,1267000.000
EarningsPerShareBasicAndDiluted,-0.160,-0.110,-0.050,-0.100,-0.060,-0.170,-0.110,-0.080,-0.090,-0.260,-0.060,-0.060,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,,-49000.000,,,,-14000.000,,,,-2000.000,,
FairValueAssetsAndLiabilitiesMeasuredOnRecurringBasisGainLossIncludedInEarnings,0.000,-114000.000,0.000,0.000,0.000,0.000,,,,,,,
GeneralAndAdministrativeExpense,1926000.000,2114000.000,1592000.000,1384000.000,1486000.000,1001000.000,2980000.000,1771000.000,2102000.000,1936000.000,1138000.000,739000.000,699000.000
GrossProfit,2958000.000,3294000.000,3001000.000,3013000.000,3092000.000,1857000.000,1621000.000,1662000.000,1254000.000,854000.000,967000.000,171000.000,48000.000
IncomeLossFromContinuingOperations,,,,-901000.000,-944000.000,,-3450000.000,-2961000.000,-3587000.000,-11023000.000,-2313000.000,-2548000.000,-1807000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-3229000.000,-2677000.000,-1396000.000,-836000.000,-937000.000,-555000.000,-3420000.000,-2936000.000,-3607000.000,-11715000.000,-2286000.000,-2542000.000,-1893000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.030,-0.030,,-0.120,-0.080,-0.090,-0.250,-0.060,-0.060,-0.040
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,156000.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-1710000.000,-706000.000,,156000.000,-69000.000,-34000.000,-3000.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,-0.070,-0.030,,0.010,0.000,0.000,-0.010,0.000,0.000,0.000
IncomeTaxExpenseBenefit,68000.000,9000.000,78000.000,65000.000,7000.000,91000.000,30000.000,25000.000,-20000.000,-692000.000,27000.000,6000.000,-86000.000
IncomeTaxesPaidNet,,,,,,,3000.000,,,,3000.000,,
IncreaseDecreaseInAccountsPayableTrade,,,1186000.000,,,,2046000.000,,,,2008000.000,,
IncreaseDecreaseInAccountsReceivable,,,-773000.000,,,,-567000.000,,,,-1080000.000,,
