,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetImpairmentCharges,,,,,,,,,,,2663.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-518203.000,,,,-406047.000,,,,13801.000
CostOfServices,0.000,0.000,,,,,,,23921.000,,14105.000
CurrentFederalTaxExpenseBenefit,,,0.000,,,,7037.000,,,,
CurrentIncomeTaxExpenseBenefit,,,0.000,,,,7037.000,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,0.000,,,,0.000,,,,
DeferredFederalIncomeTaxExpenseBenefit,,,-66160.000,,,,-49955.000,,,,
DeferredIncomeTaxExpenseBenefit,,,0.000,,,,0.000,,,,
DepreciationAndAmortization,,,6638.000,9179.000,9866.000,11950.000,14209.000,9866.000,11046.000,2206.000,8636.000
EarningsPerShareBasicAndDiluted,-0.000,-0.010,-0.090,-0.130,-0.170,-0.160,-0.060,-0.010,-0.030,-0.060,-0.020
EffectOfExchangeRateOnCashAndCashEquivalents,,,-154407.000,,,,-3243.000,,,,-18432.000
ForeignCurrencyTransactionGainLossBeforeTax,,,42544.000,-35779.000,-173189.000,187467.000,-3243.000,-111078.000,-7163.000,61320.000,-84004.000
GeneralAndAdministrativeExpense,1152.000,11949.000,133054.000,233771.000,353950.000,454389.000,245705.000,124578.000,132707.000,126148.000,187502.000
GrossProfit,0.000,0.000,,,,,,,31966.000,,52073.000
IncomeLossFromContinuingOperations,-16152.000,-26949.000,-465710.000,-648113.000,-862755.000,,-333785.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-17439.000,-28904.000,-465956.000,-647689.000,-857447.000,-1045005.000,-333031.000,-88074.000,-160574.000,-359117.000,-133818.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,0.000,,7037.000,0.000,0.000,-7037.000,0.000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,,,66160.000,,,,49955.000,,,,
IncomeTaxesPaid,,,0.000,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1097.000,,,,-77525.000,,,,-18239.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,0.000,,,,,,,,
