,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AllocatedShareBasedCompensationExpense,,,,239000.000,240000.000,,245000.000,411000.000,563000.000,698000.000,717000.000,530000.000,436000.000,477000.000,496000.000,770000.000,854000.000,816000.000,877000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,461000.000,,,,-806000.000,,,,888000.000,,,,-2342000.000,,,,6919000.000
ComprehensiveIncomeNetOfTax,,,1429000.000,997000.000,2237000.000,5771000.000,1412000.000,4439000.000,5807000.000,6768000.000,4597000.000,4135000.000,3982000.000,818000.000,3990000.000,5291000.000,1936000.000,555000.000,-465000.000
CostOfRevenue,7202000.000,7963000.000,7091000.000,7618000.000,7979000.000,7929000.000,7745000.000,11759000.000,14218000.000,13230000.000,14968000.000,14504000.000,10957000.000,11341000.000,12871000.000,14550000.000,10963000.000,9770000.000,8783000.000
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,499000.000,-217000.000,303000.000,207000.000,-445000.000,,,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,658000.000,,,,1168000.000,,,,
DepreciationDepletionAndAmortization,,,389000.000,,,,452000.000,,,,684000.000,,,,659000.000,,,,843000.000
EarningsPerShareBasic,0.140,0.160,0.100,0.140,0.220,0.640,0.220,0.490,0.310,0.040,0.270,0.200,0.230,0.080,0.200,0.280,0.200,0.060,-0.030
EarningsPerShareDiluted,0.140,0.160,0.100,0.140,0.210,0.630,0.210,0.470,0.300,0.040,0.260,0.200,0.230,0.080,0.190,0.270,0.200,0.070,-0.030
EffectOfExchangeRateOnCashAndCashEquivalents,,,404000.000,,,,-362000.000,,,,-259000.000,,,,341000.000,,,,-146000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,0.242,,,,0.366,,,,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,500000.000,100000.000,,200000.000,1400000.000,2400000.000,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,30000.000,30000.000,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,-3000.000,,,,0.000,,,,,,,,,,,,-3000.000
GeneralAndAdministrativeExpense,1015000.000,1052000.000,1082000.000,1120000.000,1079000.000,1080000.000,1116000.000,1185000.000,1339000.000,,,,,,,,,,
GrossProfit,3453000.000,3815000.000,3444000.000,3909000.000,4411000.000,4230000.000,4408000.000,7280000.000,8856000.000,8574000.000,9914000.000,9695000.000,7139000.000,7469000.000,8792000.000,10495000.000,7097000.000,6651000.000,3702000.000
