,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,9565000.000,11228000.000,12181000.000,10008000.000,7640000.000,7920000.000,7062000.000,5467000.000,7275000.000,7576000.000,4914000.000,2670000.000,4235000.000,3313000.000,4843000.000,3307000.000,3566000.000,7385000.000,2302000.000,1448000.000,2587000.000,2347000.000,3151000.000,1903000.000
AccountsPayableCurrent,57972000.000,43656000.000,37873000.000,38097000.000,39089000.000,52081000.000,40569000.000,46605000.000,55216000.000,62898000.000,49787000.000,42593000.000,45417000.000,49740000.000,41855000.000,36952000.000,42336000.000,46517000.000,50585000.000,47856000.000,53975000.000,48229000.000,43724000.000,37260000.000
AccountsReceivableNetCurrent,23347000.000,25048000.000,20399000.000,18869000.000,22212000.000,28792000.000,19491000.000,17315000.000,27401000.000,30303000.000,23829000.000,19902000.000,25181000.000,26348000.000,18814000.000,16773000.000,19247000.000,22112000.000,18940000.000,16183000.000,20414000.000,22910000.000,19993000.000,15523000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,8167000.000,,,,9802000.000,,,,8602000.000,,,,8142000.000,5882000.000,,,9112000.000,6576000.000
AccruedLiabilitiesCurrent,3902000.000,6440000.000,3938000.000,6430000.000,3921000.000,6423000.000,3909000.000,6240000.000,3916000.000,6251000.000,3897000.000,6248000.000,3894000.000,6143000.000,3549000.000,6292000.000,3546000.000,6282000.000,3626000.000,6623000.000,3852000.000,6595000.000,3864000.000,6626000.000
AccumulatedDeferredInvestmentTaxCredit,2018000.000,1995000.000,1972000.000,1950000.000,1929000.000,1904000.000,1881000.000,1859000.000,1836000.000,1813000.000,1790000.000,1768000.000,1745000.000,1722000.000,1699000.000,1677000.000,1654000.000,1632000.000,1612000.000,1591000.000,1570000.000,1550000.000,1529000.000,1511000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,1228000.000,,,,1187000.000,,,,892000.000,,,,944000.000,,,,764000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,669000.000,676000.000,,753000.000,762000.000,769000.000,,753000.000,742000.000,768000.000,,777000.000,786000.000,839000.000,,717000.000,763000.000,849000.000,,730000.000,701000.000,735000.000,,672000.000
AssetRetirementObligation,,,,,,,3018000.000,,,,3095000.000,,,,3234000.000,,,,4157000.000,,,,4393000.000,
Assets,1197879000.000,1195848000.000,1238362000.000,1246629000.000,1252760000.000,1289638000.000,1280943000.000,1289514000.000,1312986000.000,1351053000.000,1310183000.000,1333771000.000,1327092000.000,1326115000.000,1378298000.000,1367420000.000,1343355000.000,1362164000.000,1348600000.000,1368891000.000,1406299000.000,1440386000.000,1470493000.000,1480268000.000
