,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AmortizationOfDebtDiscountPremium,,,,,,,,,558.000,404.000
AmortizationOfFinancingCostsAndDiscounts,-552.000,,,,,,,,,
AssetRetirementObligationAccretionExpense,,,,,,,,,344.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-636.000,,,,,,,,-3528.000,
CashPeriodIncreaseDecrease,,,,,-992267.000,,,,,
CostsIncurredAcquisitionOfOilAndGasProperties,,,,,,,,,-733132.000,
DepreciationAndAmortization,,,,,-558.000,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,137875.000,
EarningsPerShareBasicAndDiluted,0.010,-0.010,-0.010,-0.020,-0.010,-0.000,0.000,0.030,0.010,
GeneralAndAdministrativeExpense,,,90342.000,,-110528.000,-112504.000,150539.000,389600.000,79144.000,78121.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,202384.000,164077.000,135297.000,-1120453.000,-131090.000,-56964.000,135523.000,416432.000,150551.000,13965.000
IncreaseDecreaseInAccountsPayable,,,,,-58265.000,,,,121820.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-31196.000,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,-323036.000,
IncreaseDecreaseInDepositOtherAssets,500000.000,,,,,,,,,
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,-115893.000,
InterestExpense,-829.000,-2916.000,-4251.000,16575.000,558.000,558.000,558.000,-44013.000,-13587.000,-7373.000
InterestExpenseLongTermDebt,,,,,3328.000,,,,,
InterestExpenseOther,,,,,,,,,443.000,
InterestPaid,277.000,,,,6340.000,,,,,
LeaseOperatingExpense,,,,,,,,,35830.000,50402.000
NetCashProvidedByUsedInFinancingActivities,670000.000,,,,80000.000,,,,123511.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,670000.000,,,,80000.000,,,,123511.000,
NetCashProvidedByUsedInInvestingActivities,-500000.000,,,,-1000000.000,,,,-733132.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-500000.000,,,,-1000000.000,,,,-733132.000,
NetCashProvidedByUsedInOperatingActivities,-170636.000,,,,-72267.000,,,,606093.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-170636.000,,,,-72267.000,,,,606093.000,
NetIncomeLoss,-202384.000,-164077.000,-135297.000,-116937.000,-131090.000,-56964.000,135523.000,416432.000,150551.000,13965.000
OilAndGasRevenue,,,,,,,,,417545.000,310289.000
OilAndGasSalesRevenue,,,,,,87129.000,291434.000,,,
OperatingCostsAndExpenses,,,,,,,,,252849.000,288547.000
OperatingExpenses,201556.000,161161.000,,,,,155353.000,,,
OperatingIncomeLoss,201556.000,161161.000,131046.000,-1103880.000,-130532.000,-56406.000,136081.000,459329.000,164696.000,21742.000
OtherExpenses,-829.000,2916.000,4251.000,,,,,,14145.000,7777.000
ProceedsFromNotesPayable,50000.000,,,,,,,,660000.000,
ProceedsFromRelatedPartyDebt,620000.000,,,,80000.000,,,,,
ProfessionalAndContractServicesExpense,,,40705.000,,-20004.000,-31031.000,4814.000,,,
RepaymentsOfLongTermDebt,,,,,,,,,536489.000,
ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,,,,,,,,,137875.000,160024.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,20700000.000,20700000.000,20729414.000,-41260619.000,20952110.000,21290000.000,21049028.000,-42001138.000,21290000.000,21290000.000
