,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,,,,5000000.000,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,,,,,7000000.000,,,,9000000.000,,,,7000000.000,
AmortizationOfDeferredHedgeGains,,,,2000000.000,2000000.000,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,46000000.000,45000000.000,,65000000.000,66000000.000,64000000.000,69000000.000,65000000.000,20000000.000,1000000.000,0.000,0.000,0.000,0.000,0.000,,
AmortizationOfFinancingCostsAndDiscounts,,,52000000.000,,,,70000000.000,,,,66000000.000,,,,0.000,,,,,
AmortizationOfIntangibleAssets,,,,35000000.000,35000000.000,,33000000.000,32000000.000,39000000.000,36000000.000,39000000.000,39000000.000,40000000.000,52000000.000,23000000.000,26000000.000,30000000.000,28000000.000,21000000.000,17000000.000
AssetRetirementObligationAccretionExpense,,,9000000.000,,,,14000000.000,,,,12000000.000,,,,12000000.000,,,,14000000.000,
AssetRetirementObligationLiabilitiesIncurred,,,,,,,,,,,,,,,,,,,17000000.000,
AssetRetirementObligationLiabilitiesSettled,,,,,,,25000000.000,,,,22000000.000,,,,14000000.000,,,,15000000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,1000000.000,0.000,,0.000,1000000.000,1000000.000,0.000,1000000.000,0.000,1000000.000,9000000.000,0.000,1000000.000,1000000.000,-1000000.000,1000000.000,-1000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,-1000000.000,-1000000.000,,0.000,0.000,-3000000.000,7000000.000,,1000000.000,0.000,,1000000.000,0.000,2000000.000,-2000000.000,1000000.000,1000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,163000000.000,,,,511000000.000,,,,-344000000.000,,,,-226000000.000,,,,-432000000.000,
ComprehensiveIncomeNetOfTax,-662000000.000,,,,,,,,,,,,,,,,,,,
