,2011-08-31,2012-08-31,2013-08-31
AcquisitionCosts,,,10000.000
AdjustmentForAmortization,,,3209.000
AdjustmentsToAdditionalPaidInCapitalOther,895.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-25858.000,-1174.000,324.000
DebtInstrumentDecreaseForgiveness,,10000.000,
EarningsPerShareBasic,-0.020,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-4.000,4.000,5.000
EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,,,0.350
ExplorationCosts,4500.000,,10000.000
ForeignCurrencyTransactionGainLossRealized,,,2324.000
GainOrLossOnSaleOfStockInSubsidiary,,,91064.000
GainsLossesOnExtinguishmentOfDebt,,-10000.000,
GeneralAndAdministrativeExpense,6380.000,6337.000,112246.000
ImpairmentOfOilAndGasProperties,,20000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,235875.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-55378.000,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,-222077.000
IncomeTaxReconciliationOtherReconcilingItems,,,-83000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,3520.000,-9702.000,123292.000
IncreaseDecreaseInAccruedLiabilities,516.000,3482.000,1272.000
IncreaseDecreaseInDueToRelatedParties,,,105901.000
IncreaseDecreaseInNotesPayableRelatedParties,,,86500.000
IncreaseDecreaseInPrepaidExpense,-3000.000,3000.000,-1000.000
InterestAndDebtExpense,,,-13798.000
InterestExpense,-1411.000,-4384.000,
InterestExpenseDebt,,,1156.000
LegalFees,26034.000,11225.000,39249.000
ManagementFeeExpense,,,76300.000
NetCashProvidedByUsedInFinancingActivities,39000.000,47500.000,20000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,39000.000,47500.000,20000.000
NetCashProvidedByUsedInInvestingActivities,-10000.000,,-16500.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-10000.000,,-16500.000
NetCashProvidedByUsedInOperatingActivities,-54858.000,-48674.000,-3176.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-54858.000,-48674.000,-3176.000
NetIncomeLoss,-56789.000,-56356.000,-235875.000
OperatingExpenses,,,222077.000
OperatingIncomeLoss,,-61972.000,
OtherNoncashExpense,895.000,902.000,25.000
OtherOperatingIncomeExpenseNet,,,-13798.000
PaymentsToAcquireOilAndGasProperty,-10000.000,,16500.000
ProceedsFromRelatedPartyDebt,39000.000,47500.000,20000.000
ProfessionalFees,15328.000,19314.000,29584.000
RelatedPartyTransactionPurchasesFromRelatedParty,,,105901.000
ResultsOfOperationsImpairmentOfOilAndGasProperties,,20000.000,
WeightedAverageNumberOfSharesOutstandingBasic,3570000.000,178500000.000,178500000.000
