,2011-06-30,2011-09-30,2012-03-31,2012-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,36000.000,
GeneralAndAdministrativeExpense,70000.000,50000.000,46000.000,56000.000
ImpairmentOfOilAndGasProperties,255000.000,-94000.000,,
IncreaseDecreaseInAccountsReceivable,,,-19000.000,
IncreaseDecreaseInAccruedLiabilities,,,15000.000,
IncreaseDecreaseInOtherCurrentAssets,,,-58000.000,
InvestmentIncomeInterest,7000.000,7000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-100000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-100000.000,
NetCashProvidedByUsedInOperatingActivities,,,136000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,136000.000,
NetIncomeLoss,,53000.000,-55000.000,-105000.000
OilAndGasRevenue,84000.000,143000.000,156000.000,50000.000
OperatingCostsAndExpenses,79000.000,35000.000,66000.000,56000.000
OperatingExpenses,453000.000,97000.000,211000.000,155000.000
OperatingIncomeLoss,-369000.000,46000.000,-55000.000,-105000.000
ProfitLoss,-362000.000,,,
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,49000.000,94000.000,110000.000,43000.000
ResultsOfOperationsDryHoleCosts,,12000.000,-11000.000,2000.000
