,2012-09-30,2013-09-30,2014-03-31,2014-06-30
AmortizationOfDebtDiscountPremium,,,10159.000,
AmortizationOfFinancingCostsAndDiscounts,,,1007.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,254559.000,
CostOfGoodsSold,,119864.000,,
CostOfRevenue,2672448.000,708885.000,1283814.000,1765861.000
DepreciationDepletionAndAmortization,,,6224.000,
DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalNetOfTax,,-75921.000,-9945.000,-9519.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,-114851.000,-14280.000,-13613.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-75921.000,-9945.000,-9519.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,-0.010,-0.000,
EarningsPerShareBasicAndDiluted,-0.330,-0.130,-0.070,-0.050
EmployeeBenefitsAndShareBasedCompensation,,,66625.000,
ExtinguishmentOfDebtGainLossIncomeTax,,,-213433.000,
GainsLossesOnExtinguishmentOfDebt,-90205.000,,213433.000,
GrossProfit,853485.000,217666.000,336378.000,411336.000
IncomeLossFromContinuingOperations,,-531698.000,-550520.000,-554737.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-761384.000,-115311.000,-538735.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,-720504.000,-109956.000,-533609.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-1398010.000,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.120,-0.070,-0.050
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,-777368.000,-538735.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,-75921.000,-9945.000,-9519.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,-0.000,
IncomeTaxExpenseBenefit,,40880.000,5355.000,5126.000
IncomeTaxesPaidNet,,40880.000,5355.000,5125.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,243951.000,
IncreaseDecreaseInAccountsReceivable,,,175471.000,
IncreaseDecreaseInInventories,,,51134.000,
IncreaseDecreaseInOtherReceivables,,,9632.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-39174.000,
InterestExpense,347771.000,311855.000,159217.000,163233.000
InterestIncomeExpenseNet,,1950.000,1020.000,1031.000
InterestPaid,,,62479.000,
NetCashProvidedByUsedInFinancingActivities,,,465474.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,465474.000,
NetCashProvidedByUsedInInvestingActivities,,,-9335.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-9335.000,
NetCashProvidedByUsedInOperatingActivities,,,-201580.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-201580.000,
NetIncomeLoss,-1398010.000,-837305.000,-125256.000,-548254.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,-787313.000,-548254.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,-787313.000,-548254.000
OperatingExpenses,1436089.000,749364.000,886898.000,966073.000
OperatingIncomeLoss,-582604.000,,,
OtherExpenses,815406.000,188806.000,-440564.000,-21128.000
PaymentsToAcquirePropertyPlantAndEquipment,,,9335.000,
PreferredStockRedemptionDiscount,,,-662057.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,440000.000,
ProfitLoss,,,-125256.000,
ProvisionForDoubtfulAccounts,,,4967.000,
RepaymentsOfNotesPayable,,,4526.000,
Revenues,3525933.000,926551.000,1620192.000,2177197.000
SalariesAndWages,755201.000,445426.000,440279.000,499487.000
SalesRevenueNet,3525933.000,926551.000,1620192.000,2177197.000
SalesRevenueServicesNet,,162806.000,,
SellingGeneralAndAdministrativeExpense,680888.000,303938.000,446619.000,466586.000
ShareBasedCompensation,,,66625.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4298150.000,6339259.000,11325668.000,11503294.000
