,2011-06-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,534723.000,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,534723.000,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,426252.000,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,20250000.000,,,,13750000.000,,,,13000000.000,,,,13000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,4807.000,,974791.000,,,,-233867.000,,,,-39323.000,,,,-23.000,,,,-370.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,5861500.000,0.000,,,,,,,,,,,,,,
DebtInstrumentInterestRateDuringPeriod,,,,0.050,,,,,,,,,,,,,,,,
Depreciation,,,,239.000,239.000,239.000,,426252.000,426252.000,426252.000,-2983764.000,,,,,,,,,
DepreciationDepletionAndAmortization,478.000,239.000,239.000,-239.000,,,,-426252.000,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,,,-0.010,-0.060,-0.010,-0.010,-0.010,-0.010,-0.000,-0.020,-0.000,-0.000,-0.000,-0.010,-0.000,,-0.000,,-0.000
ExplorationExpenseMining,3257.000,473568.000,190668.000,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,4701.000,,,,9212.000,,,,,,,,
ImpairmentOfInvestments,,,,,,,,,,,,,,232000.000,,232000.000,,,,
IncomeLossAttributableToNoncontrollingInterest,,,-51637.000,,,,,,,,,,,3902.000,,-3157.000,1646.000,,,
IncomeLossFromContinuingOperations,,,,,-6650900.000,-765622.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-1428476.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-228876.000,181148.000,-1480113.000,-737008.000,-6650900.000,-765622.000,-3472970.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,-765622.000,,-917381.000,-683121.000,,,-190303.000,-174817.000,-370598.000,-76227.000,-68031.000,-38788.000,-47361.000,-26480.000,-55418.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,-737008.000,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,-917381.000,,,,,,,,,,,,
