,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-08-31,2016-11-30
AdjustmentForAmortization,,,,,,,,,,,,,,,,1667.000,1667.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-369.000,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
GeneralAndAdministrativeExpense,2422.000,3186.000,4578.000,3661.000,8126.000,4298.000,,1400.000,,,20168.000,15048.000,3080.000,3550.000,7304.000,161403.000,121459.000
IncreaseDecreaseInAccountsPayable,,,,,7757.000,,-2400.000,,,,6720.000,,,,1050.000,,
IncreaseDecreaseInAccountsPayableTrade,,,1278.000,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,-1400.000,,,,5000.000,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,-9033.000,-8956.000
LeaseAndRentalExpense,,,,,,,,,,,,,,,,,24447.000
NetCashProvidedByUsedInFinancingActivities,,,3300.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,3300.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-3300.000,,-369.000,,,,,,,,,,0.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-3300.000,,-369.000,,,,,,,,,,0.000,,
NetIncomeLoss,-2422.000,-3186.000,-4578.000,-3661.000,-8126.000,-4298.000,,-1400.000,,,-20168.000,-15048.000,-3080.000,-3550.000,-7304.000,-179340.000,-137915.000
OperatingCostsAndExpenses,,,,,8126.000,4298.000,,1400.000,,,20168.000,15048.000,3080.000,3550.000,7304.000,,
OperatingExpenses,,,,,,,,,,,,,,,,170307.000,128959.000
OperatingLeasesRentExpenseSubleaseRentals1,,,,,,,,,,,,,,,,,24447.000
ProceedsFromRelatedPartyDebt,,,3300.000,,,,,,,,,,,,6254.000,,
ResearchAndDevelopmentExpense,,,,,,,,,,,,,,,,8904.000,7500.000
SalariesWagesAndOfficersCompensation,,,,,,,,,,,,,,,,43750.000,43750.000
WeightedAverageNumberOfDilutedSharesOutstanding,,63800000.000,191400000.000,191400000.000,191400000.000,63800000.000,63800000.000,63800000.000,63800000.000,-127600000.000,63800000.000,63800000.000,63800000.000,-127600000.000,63800000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,61155309.000,64309656.000
