,2011-06-30
CostOfServices,223560000.000
CostsAndExpenses,391104000.000
DepreciationAndAmortization,48624000.000
EarningsPerShareBasicAndDiluted,-0.160
GainLossOnDispositionOfAssets,-2146000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-9856000.000
IncomeTaxExpenseBenefit,258000.000
MarketableSecuritiesRealizedGainLoss,0.000
NetIncomeLoss,-10114000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-28698000.000
OperatingIncomeLoss,-9378000.000
PreferredStockDividendsAndOtherAdjustments,18584000.000
Revenues,381726000.000
SalesRevenueNet,381726000.000
SellingGeneralAndAdministrativeExpense,116774000.000
