,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,,38000000.000,,31600000.000,33900000.000,33700000.000,35600000.000,29200000.000,29300000.000,29300000.000,29100000.000,25300000.000
AdjustmentForLongTermIntercompanyTransactionsNetOfTax,,,,,,,,7100000.000,,4700000.000,200000.000,-800000.000,-2000000.000,700000.000
AdvertisingExpense,,,,,,5300000.000,6200000.000,5900000.000,7700000.000,7900000.000,8500000.000,8400000.000,8200000.000,10800000.000
AllocatedShareBasedCompensationExpense,,445000.000,458000.000,460000.000,572000.000,789000.000,971000.000,684000.000,677000.000,58000.000,2748000.000,508000.000,554000.000,427000.000
AmortizationOfFinancingCosts,,2288000.000,2500000.000,,,2292000.000,,,,2614000.000,,,,1991000.000
AmortizationOfIntangibleAssets,40701000.000,35928000.000,37800000.000,,,31458000.000,,,,26972000.000,,,,23678000.000
AssetImpairmentCharges,,,,,,,,52100000.000,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,280000.000,,,,1058000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-87843000.000,,,,7239000.000,,,,-2047000.000,,,,-6295000.000
ComprehensiveIncomeNetOfTax,,-51852000.000,-61594000.000,-66563000.000,-69984000.000,-58624000.000,-41412000.000,-128561000.000,-63803000.000,-42332000.000,-89682000.000,-69301000.000,-71149000.000,-82081000.000
ContractRevenueCost,,35304000.000,,,,43154000.000,,,,,,,,
ContractsRevenue,,,,,,145664000.000,149543000.000,161440000.000,168342000.000,167446000.000,172472000.000,189032000.000,195528000.000,196858000.000
CostsAndExpenses,,142383000.000,164645000.000,169293000.000,181225000.000,161896000.000,162801000.000,246736000.000,190963000.000,177928000.000,213680000.000,216071000.000,221330000.000,221880000.000
DebtIssuanceCosts,,,,,,,,,,,,,,6028000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,200000.000,,,,,,,,,,,,,
DeferredCompensationArrangementWithIndividualEmployerContribution,,,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000
DeferredIncomeTaxesAndTaxCredits,,120000.000,,,,90000.000,,,,1056000.000,,,,-456000.000
DepreciationAndAmortization,2183000.000,4104000.000,,,,6208000.000,,,,6213000.000,,,,6313000.000
DepreciationDepletionAndAmortization,,50352000.000,53364000.000,57847000.000,59761000.000,57057000.000,60070000.000,64379000.000,63218000.000,60571000.000,72010000.000,76837000.000,79124000.000,76869000.000
EffectOfExchangeRateOnCash,,-174000.000,,,,-601000.000,,,,-1126000.000,,,,-7000.000
EffectiveIncomeTaxRateContinuingOperations,,-0.004,,,,-0.003,,,,-0.025,,,,-0.005
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,,0.000,,,,,,,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,700000.000,,,,,,,,
GainLossOnDispositionOfAssets1,,151000.000,,,,118000.000,,,,14000.000,,,,-117000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,-1351000.000,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,-12733000.000
GeneralAndAdministrativeExpense,,25135000.000,35326000.000,31792000.000,33830000.000,28234000.000,12864000.000,29674000.000,36440000.000,30441000.000,36109000.000,35284000.000,41334000.000,38861000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-47072000.000,-65534000.000,-60728000.000,-64812000.000,-47916000.000,-43435000.000,-125046000.000,-62359000.000,-43973000.000,-90170000.000,-70119000.000,-71628000.000,-82217000.000
IncomeLossFromSubsidiariesBeforeTax,,,,,,,,,,,,,,0.000
IncomeTaxExpenseBenefit,,208000.000,737000.000,-1264000.000,833000.000,130000.000,179000.000,26000.000,16000.000,1120000.000,-448000.000,-145000.000,-460000.000,419000.000
IncreaseDecreaseDueFromAffiliates,,,,,,,,,,,,,,0.000
IncreaseDecreaseInAccountsPayable,,16359000.000,,,,42503000.000,,,,38302000.000,,,,42947000.000
IncreaseDecreaseInAccountsReceivable,,2123000.000,,,,1830000.000,,,,4079000.000,,,,3640000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,,,,,25091000.000,,,,37568000.000
IncreaseDecreaseInDeferredRevenue,,1612000.000,,,,-203000.000,,,,2776000.000,,,,18000000.000
IncreaseDecreaseInDueToAffiliates,,,,,,,,,,,,,,0.000
IncreaseDecreaseInInventories,,15305000.000,,,,29802000.000,,,,33684000.000,,,,41354000.000
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,-217000.000,,,,12395000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,6852000.000,,,,262000.000,,,,3188000.000,,,,2262000.000
IncreaseDecreaseInRestrictedCash,,-161000.000,,,,,,,,,,,,
IncreaseDecreaseInRestructuringReserve,,,,,,,,,,-1492000.000,,,,-22000.000
InterestExpense,,35640000.000,35712000.000,38135000.000,38024000.000,38257000.000,38841000.000,39838000.000,44403000.000,45418000.000,47447000.000,51962000.000,53138000.000,53681000.000
InterestIncomeExpenseNet,,552000.000,572000.000,340000.000,-9000.000,,,,,,,,,
InterestIncomeExpenseNonoperatingNet,,-34843000.000,-35088000.000,-38330000.000,-36016000.000,-38217000.000,-38547000.000,46887000.000,-140204000.000,-40298000.000,-57297000.000,-52383000.000,-54810000.000,-65690000.000
InvestmentIncomeInterest,,,,,,,,9000.000,,12000.000,11000.000,130000.000,279000.000,57000.000
LeaseAndRentalExpense,,,,,,,,,,3974000.000,3986000.000,3936000.000,4058000.000,4117000.000
LossContingencyLossInPeriod,,3900000.000,,1400000.000,,,,,,,,,,
LossFromCatastrophes,,1600000.000,1700000.000,,,,,,,,,,,
MarketableSecuritiesUnrealizedGainLoss,,,,,,,,,,,,,,598000.000
NetCashProvidedByUsedInFinancingActivities,,140000.000,,,,5987000.000,,,,14026000.000,,,,7901000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,140000.000,,,,5987000.000,,,,14026000.000,,,,7901000.000
NetCashProvidedByUsedInInvestingActivities,,-111050000.000,,,,-51157000.000,,,,-2442000.000,,,,-8036000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-111050000.000,,,,-51157000.000,,,,-2442000.000,,,,-8036000.000
NetCashProvidedByUsedInOperatingActivities,,23241000.000,,,,53010000.000,,,,-12505000.000,,,,-6153000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,23241000.000,,,,53010000.000,,,,-12505000.000,,,,-6153000.000
NetIncomeLoss,,-47280000.000,-66271000.000,-59464000.000,-65645000.000,-48046000.000,-43614000.000,-125072000.000,-62375000.000,-45093000.000,-89722000.000,-69974000.000,-71168000.000,-82636000.000
NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,,,,,,,,,,1521000.000,,,,
OperatingCostsAndExpenses,,41317000.000,47216000.000,52770000.000,61466000.000,51330000.000,58623000.000,61492000.000,56870000.000,57991000.000,68943000.000,68872000.000,69059000.000,71352000.000
OperatingIncomeLoss,,-12229000.000,-30446000.000,-22398000.000,-28796000.000,-9699000.000,-4888000.000,-78159000.000,-15929000.000,-3675000.000,-32873000.000,-17736000.000,-16818000.000,-16527000.000
OperatingLeasesRentExpenseNet,1441000.000,1600000.000,2900000.000,2800000.000,3700000.000,2900000.000,2900000.000,2900000.000,6400000.000,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,-4572000.000,4677000.000,-7099000.000,-4339000.000,-10578000.000,2202000.000,-3489000.000,-1428000.000,2761000.000,40000.000,673000.000,-992000.000,412000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,-4572000.000,4677000.000,-7099000.000,-4339000.000,-10578000.000,2202000.000,-3489000.000,-1428000.000,2761000.000,40000.000,673000.000,19000.000,555000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,143000.000
OtherNonoperatingIncomeExpense,,245000.000,52000.000,-535000.000,2017000.000,40000.000,294000.000,-7058000.000,-2108000.000,5108000.000,-9861000.000,-551000.000,-1951000.000,-12066000.000
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,,,,,,,,,,,,,,0.000
PaymentsForProceedsFromProductiveAssets,,,,,,,,,,0.000,,,,126000.000
PaymentsForRestructuring,,,,,,,,,,1492000.000,,,,
PaymentsOfFinancingCosts,,,,,,,,,,,,,,8951000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,3500000.000,,,,,,,,,,,,
