,2011-07-31,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31
AmortizationOfDebtDiscountPremium,,,,,,,,558000.000
AmortizationOfFinancingCosts,,,,,,,,342000.000
AmortizationOfFinancingCostsAndDiscounts,,,175000.000,,,,157000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,693000.000,,,,-904000.000,
CommonStockDividendsPerShareCashPaid,0.000,0.000,,,,,,
ComprehensiveIncomeNetOfTax,,,1075000.000,1572000.000,2120000.000,-277000.000,1391000.000,-210000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-268000.000,236000.000,304000.000,704000.000,185000.000,195000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,1343000.000,1808000.000,2424000.000,-109000.000,1576000.000,-15000.000
CostOfServices,28900000.000,31030000.000,32132000.000,34519000.000,35944000.000,33244000.000,31487000.000,31719000.000
DeferredIncomeTaxExpenseBenefit,,,-4000.000,,,,0.000,
DepreciationDepletionAndAmortization,,,2434000.000,,,,2598000.000,
EarningsPerShareBasic,0.070,-0.020,0.080,0.140,0.190,-0.020,0.120,-0.010
EarningsPerShareDiluted,0.070,-0.020,0.080,0.130,0.180,-0.020,0.120,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,,121000.000,,,,-40000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,27000.000,,,,0.000,
GainLossOnInvestments,,,9000.000,,,,41000.000,
GrossProfit,9055000.000,9468000.000,11321000.000,12810000.000,13977000.000,10600000.000,13530000.000,14467000.000
IncomeLossFromContinuingOperations,,360000.000,946000.000,-1614000.000,-2185000.000,-1594000.000,-1431000.000,144000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1581000.000,871000.000,2047000.000,3163000.000,4492000.000,548000.000,2682000.000,89000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,949000.000,642000.000,1214000.000,1850000.000,2489000.000,-130000.000,1616000.000,51000.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.030,0.080,0.140,0.190,-0.020,0.120,-0.010
IncomeLossFromContinuingOperationsPerDilutedShare,,0.030,0.080,0.140,0.180,-0.030,0.120,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,,-547000.000,8000.000,-12000.000,1000.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,-547000.000,8000.000,-12000.000,1000.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,-0.050,0.000,0.000,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,-0.050,0.000,0.000,0.000,0.000,0.000,0.000
