,2012-01-31,2012-04-30,2012-09-30,2013-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-09-30
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,,165000.000,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,376764.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2938.000,,,,,,-66698.000,,,,-75712.000,
ComprehensiveIncomeNetOfTax,,,,,-527371.000,-326700.000,-139384.000,-138042.000,-203424.000,-931293.000,-112881.000,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,-14173.000,-25531.000,-48862.000,548.000,-7066.000,14637.000,-2246.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,-513198.000,-352231.000,-188246.000,-137494.000,-210490.000,-916656.000,-115127.000,
CostsAndExpenses,3118.000,,,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,176852.000,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,165000.000,,,,,,,,
Depreciation,,,,,10613.000,,9538.000,9694.000,9694.000,9694.000,,
DepreciationAndAmortization,,,,,,10613.000,9538.000,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,,,-0.010,0.000,-0.000,-0.000,0.000,-0.020,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,110638.000,,,,-8561.000,
ExplorationExpenseMining,,0.000,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,28083.000,,,,,,,,
GeneralAndAdministrativeExpense,3118.000,-30515.000,,,536926.000,,,,,,,
GrossProfit,,,,,0.000,0.000,,0.000,0.000,,,
IncomeLossFromContinuingOperations,,,,,-547539.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,191388.000,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,180.000,,,,,,36307.000,,,,38577.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,-11553.000,
IncreaseDecreaseInAccountsReceivable,,,,,,,-15002.000,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,-9428.000,,,,2359.000,
IncreaseDecreaseInReceivables,,,,,,,,,,,4202.000,
InterestExpense,,-873.000,,,,,,,,,,
InterestExpenseOther,,,,,4986.000,5041.000,4932.000,5986.000,5055.000,6250.000,4986.000,
NetCashProvidedByUsedInInvestingActivities,,,,,,,-5698.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,-5698.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-2938.000,,,,,,-171638.000,,,,-67151.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2938.000,,,,,,-171638.000,,,,-67151.000,
NetIncomeLoss,-3118.000,-191388.000,,,-538352.000,-326700.000,-250022.000,-132322.000,-214830.000,-884145.000,-104320.000,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,-14173.000,-25531.000,-48862.000,548.000,-7066.000,14637.000,-2246.000,
NonoperatingIncomeExpense,,,,,-4986.000,-5041.000,-4932.000,-5986.000,-5055.000,-6250.000,-4986.000,
OperatingExpenses,,,,,547539.000,347190.000,293952.000,125788.000,216841.000,863258.000,101580.000,
OperatingIncomeLoss,,,,,,-347190.000,-293952.000,-125788.000,-216841.000,-863258.000,-101580.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,25154.000,,110638.000,-5720.000,11406.000,-47148.000,-8561.000,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,,-252748.000,,,,,,,,
PaymentsOfStockIssuanceCosts,,,,52000.000,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,5698.000,,,,,
ProceedsFromIssuanceOfCommonStock,,,,1718000.000,,,,,,,,
ProceedsFromIssuanceOfPrivatePlacement,,,,1718000.000,,,,,,,,
ProductionCosts,,,,,,,546942.000,,,,,
ProfitLoss,,,,-765237.000,-552525.000,-352231.000,-298884.000,-131774.000,-221896.000,-869508.000,-106566.000,
SalariesAndWages,,-160000.000,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,,,,,,336577.000,284414.000,116094.000,207147.000,135115.000,101580.000,
StockIssuedDuringPeriodSharesNewIssues,,,680000.000,,,,166667.000,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,1718000.000,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,129391.000,,,-56971.000,,,,14234.000,
WeightedAverageNumberOfDilutedSharesOutstanding,5968750.000,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,80266099.000,84382094.000,79821654.000,89896381.000,90121656.000,-169718035.000,90454990.000,90454990.000
