,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,,391915000.000,,,,,,,,
AccountsPayableCurrent,125681000.000,195251000.000,141129000.000,204144000.000,220791000.000,221704000.000,211412000.000,237010000.000,211298000.000,266602000.000,204892000.000,282022000.000,210920000.000,178964000.000,241284000.000,225295000.000,243548000.000,193885000.000,310685000.000
AccountsReceivableNetCurrent,131655000.000,215187000.000,153501000.000,205315000.000,222862000.000,231366000.000,222791000.000,257901000.000,217213000.000,278429000.000,219175000.000,291177000.000,224005000.000,188847000.000,251240000.000,242910000.000,240606000.000,214806000.000,319893000.000
AccruedLiabilitiesCurrent,4708000.000,4331000.000,4717000.000,9642000.000,4681000.000,4632000.000,4678000.000,7426000.000,8645000.000,9111000.000,7951000.000,16117000.000,21705000.000,17323000.000,31230000.000,24692000.000,22240000.000,20243000.000,23030000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,22611000.000,25578000.000,28479000.000,31545000.000,34580000.000,38087000.000,41777000.000,45657000.000,56533000.000,57996000.000,63362000.000,69682000.000,78140000.000,92493000.000,102823000.000,113089000.000,123394000.000,130758000.000,138498000.000
AllowanceForDoubtfulAccountsReceivable,,,,,0.000,,,,0.000,,,,0.000,,,,300000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,,184000.000,184000.000,184000.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,295000.000,295000.000
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries,,,,,,,,,,,,,,,,,0.000,,
Assets,445494000.000,524095000.000,462673000.000,537551000.000,544726000.000,613619000.000,616758000.000,722739000.000,897247000.000,931389000.000,1348537000.000,1065311000.000,945228000.000,1171166000.000,1323838000.000,1273495000.000,1257831000.000,1212837000.000,1337428000.000
AssetsCurrent,166582000.000,244061000.000,180956000.000,249642000.000,250617000.000,259784000.000,250845000.000,294300000.000,321587000.000,349640000.000,672365000.000,389654000.000,273890000.000,275265000.000,408520000.000,348645000.000,319614000.000,290474000.000,421534000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,6018000.000,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,16690000.000,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,49969000.000,,,,,,,,,,,
CapitalLeaseObligations,,,,,,81000.000,75000.000,69000.000,125000.000,116000.000,107000.000,98000.000,132000.000,119000.000,107000.000,95000.000,83000.000,72000.000,64000.000
CapitalLeaseObligationsNoncurrent,,,,,62000.000,56000.000,49000.000,43000.000,88000.000,38000.000,39000.000,58000.000,92000.000,,,,52000.000,,
