,2011-09-30,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDeferredCharges,,,,2479.000,,,,1220.000,,,,602000.000,,,,1427000.000,,,,1057000.000
AmortizationOfFinancingCosts,,,,,-960.000,-264.000,,-939.000,-343000.000,-848000.000,-1364061.000,-601000.000,,,,,,,,141000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-8879.000,,,,1947.000,,,,7401000.000,,,,-4993000.000,,,,37762000.000
ComprehensiveIncomeNetOfTax,,,,-11.000,,,,,,,,,,,,-3735000.000,,,,-5907000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,385.000,,,,-819.000,,,,508000.000,,,,-530000.000,,,,-193000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,374.000,,,,3550.000,,,,3340000.000,,,,-3205000.000,,,,-5714000.000
CostOfRealEstateSales,,,,,,,,,10473000.000,,,,,,,,,,,
Depreciation,,,,5189.000,,,,4476.000,4481000.000,4463000.000,8644524.000,,,,,,,,,6330000.000
DepreciationAndAmortization,5768000.000,5393000.000,5495.000,,,,,4642.000,,,,4704000.000,5137000.000,6569000.000,,,,,,
DepreciationDepletionAndAmortization,,,,5043.000,5445.000,5304.000,,,,,,4704000.000,,,,5830000.000,5868000.000,6025000.000,6062000.000,6330000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,19666000.000,15674000.000,16045.000,,,,,,,,,,11301000.000,14499000.000,,15216000.000,15191000.000,15671000.000,16872000.000,16265000.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,,,,,,,-800000.000,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,8256000.000,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-64000.000,-277000.000,-621.000,4749.000,276.000,-398.000,-8587.000,-710.000,-1189000.000,477000.000,-2844290.000,293000.000,-34000.000,47000.000,338000.000,3000.000,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,,,,-34000.000,47000.000,,3000.000,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-2867000.000,-1537000.000,13.000,-2557.000,-6423.000,95.000,-24362.000,-1870.000,2035000.000,-786000.000,-21660130.000,-103000.000,-12000.000,16000.000,582000.000,1000.000,,,,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,,,,,21000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,140000.000,,,,7000.000,-4000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,,,,,,1000.000,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,382000.000,,,,33000.000,-2000.000,,-3000.000,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,,,-1000.000,45000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherExpense,,,,,,,,,,,,,,-45000.000,,,,,,
DividendsPreferredStock,,,,,,,,,,,,,,,,-497000.000,,,,-275000.000
EarningsPerShareBasic,-0.020,,0.000,-0.020,0.670,-0.620,3.340,0.250,0.080,-0.130,2.080,0.210,0.060,-0.350,-0.130,-0.240,0.160,-0.260,0.090,-0.390
EarningsPerShareDiluted,-0.020,0.160,0.000,-0.020,0.670,-0.620,3.340,0.250,0.080,-0.130,2.080,0.170,0.050,-0.350,-0.080,-0.240,0.160,-0.260,0.090,-0.390
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,,,,,,-323000.000
GainLossOnDispositionOfAssets,,,,35.000,,,,-753.000,,,,-2876000.000,,,,,,,,445000.000
GainLossOnSaleOfInvestments,,,,,,,,0.000,0.000,0.000,-92000.000,,3027000.000,,,,,,,
GainLossOnSaleOfProperties,,,2898.000,-35.000,0.000,598.000,-1018.000,753.000,-159000.000,40000.000,679247.000,2876000.000,,,,,,,,
GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,,,,,,,,,,,,,3027000.000,1958000.000,,-244000.000,5168000.000,,,445000.000
GainLossOnSaleOfPropertyPlantEquipment,,4738000.000,,,,,,,,,,,,,,,,,,
GainOnSaleOfInvestments,91000.000,,,,,,,,,,,,,,,,,,,
GainsLossesOnSalesOfInvestmentRealEstate,-942000.000,,,,,,,,6844000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,3816000.000,935000.000,1546.000,2227.000,2043.000,1919.000,1745.000,1994.000,3196000.000,1590000.000,5494006.000,2201000.000,1596000.000,1417000.000,1679000.000,2025000.000,2412000.000,1760000.000,922000.000,2031000.000
IncomeLossAttributableToNoncontrollingInterest,,,,,-2090.000,903.000,,,,,,508000.000,540000.000,-1164000.000,-1211000.000,-530000.000,864000.000,-1194000.000,1182000.000,-193000.000
IncomeLossFromContinuingOperations,-10706000.000,1811000.000,,,,,,,,,,,1189000.000,-5194000.000,,-3207000.000,2489000.000,-3754000.000,1741000.000,-5714000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,-7906.000,-7058.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-11727000.000,-3400000.000,-2224.000,-7282.000,-7906.000,-7656.000,-26770.000,-1727.000,-3586000.000,-3805000.000,-11317273.000,-337000.000,-1286000.000,-9067000.000,-14624000.000,-5146000.000,-3534000.000,-5457000.000,-7554000.000,-6352000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-12669000.000,1338000.000,674.000,-7317.000,,,,-974.000,-3745000.000,-3765000.000,-10638026.000,2539000.000,1741000.000,-6374000.000,-1572000.000,-3738000.000,3353000.000,-4902000.000,2924000.000,-5907000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-15536000.000,2875000.000,661.000,-4760.000,-1483.000,-7153.000,3376.000,896.000,-1710000.000,-2979000.000,6952104.000,2642000.000,1729000.000,-6358000.000,-2196000.000,-3737000.000,3353000.000,-4948000.000,2923000.000,-5907000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.980,0.100,0.000,-0.430,-0.360,-0.600,-0.600,-0.050,-0.250,-0.240,-0.170,0.200,0.060,-0.350,-0.180,-0.240,0.160,-0.260,0.090,
IncomeLossFromContinuingOperationsPerDilutedShare,-0.980,0.050,0.000,-0.430,-0.360,-0.600,-0.600,-0.050,-0.250,-0.240,-0.170,0.160,0.050,-0.350,-0.130,-0.240,0.160,-0.260,0.090,
IncomeLossFromDiscontinuedOperationsNetOfTax,11059000.000,2854000.000,-23.000,79.000,,,,,3779000.000,,,,-22000.000,31000.000,,2000.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,11059000.000,2854000.000,-23.000,4749.000,11927.000,-176.000,45244.000,3473.000,3779000.000,1460000.000,32666527.000,190000.000,-22000.000,31000.000,697000.000,2000.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.960,0.250,0.000,0.410,1.030,-0.020,3.940,0.300,0.330,0.110,2.250,0.010,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.960,0.110,0.000,0.410,1.030,-0.020,3.940,0.300,0.330,0.110,2.250,0.010,,,,,,,,
IncomeLossFromEquityMethodInvestments,-30000.000,,,,,,,,,,,,151000.000,81000.000,,155000.000,129000.000,146000.000,63000.000,55000.000
