,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02
AllocatedShareBasedCompensationExpense,,,,,1500000.000,2000000.000,2300000.000,,1800000.000,2800000.000,3000000.000,,2700000.000,3600000.000,3900000.000,,3800000.000,3300000.000,2600000.000,3300000.000,2900000.000,2500000.000,,4100000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,175800000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,0.000,6500.000,,,,0.000,510476.000,498895.000,0.000,-1009371.000,900.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,600000.000,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,,,,,,,,,,,,,0.370
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,,,,,,,,,,,,,0.360
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,13100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-45200000.000,,,,35500000.000,,,,3200000.000,,,,7700000.000,,,,-31200000.000,,,-1900000.000,,,,-28900000.000
CashFlowHedgeLossReclassifiedToCostOfSales,,,,,-200000.000,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-400000.000,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-3000000.000,,,,,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,161300000.000,13000000.000,,49100000.000,29100000.000,64000000.000,-10400000.000,21900000.000,43900000.000,71800000.000,155300000.000,38300000.000,77100000.000,21000000.000,-76400000.000,-2900000.000,74900000.000,17800000.000,69700000.000,38700000.000,46700000.000,-2200000.000,37800000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,-600000.000,400000.000,-100000.000,,200000.000,-300000.000,-700000.000,,,-300000.000,0.000,,0.000,0.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,161400000.000,13000000.000,,49100000.000,29000000.000,64400000.000,,20300000.000,42700000.000,75300000.000,,38500000.000,76800000.000,20300000.000,-77700000.000,-2900000.000,74600000.000,17800000.000,,38700000.000,46700000.000,,
CostOfGoodsAndServicesSold,313100000.000,330600000.000,331300000.000,315700000.000,328100000.000,343000000.000,349000000.000,359000000.000,365400000.000,383600000.000,369000000.000,382000000.000,351700000.000,368400000.000,375400000.000,391600000.000,345900000.000,357700000.000,345800000.000,324800000.000,331800000.000,317000000.000,344400000.000,354200000.000
CostsAndExpenses,413400000.000,441000000.000,439600000.000,420700000.000,438500000.000,458800000.000,487100000.000,499800000.000,510500000.000,536100000.000,518600000.000,533100000.000,507500000.000,522800000.000,526800000.000,542400000.000,497700000.000,508800000.000,485900000.000,469500000.000,480600000.000,456300000.000,489700000.000,508000000.000
DeferredIncomeTaxExpenseBenefit,10600000.000,,,,-10400000.000,,,,16200000.000,,,,500000.000,,,,400000.000,,,4100000.000,,,,600000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,,,2900000.000,,,,800000.000,,,500000.000,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,50000000.000,,,,83000000.000,,,,0.000,,,,0.000,,,0.000,,,,0.000
DefinedBenefitPlanCurtailments,,,,,,,,,,,,,,,,,1200000.000,,,,,,,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,,,,,,,0.000,,,,0.000,,,0.000,,,,0.000
DepreciationAndAmortization,13900000.000,,,,16800000.000,,,,21900000.000,,,,23200000.000,,,,23200000.000,,,21100000.000,,,,22800000.000
DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,-400000.000,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,113800000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,-200000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,-200000.000,,,,,,,,,,,,,,,,,,,-400000.000,-1100000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,,,,,,,,,,,,,,,,,,-0.010,-0.030,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,,,,,,,,,,-0.010,-0.030,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,6100000.000,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,,,,17900000.000,,,
EarningsPerShareBasic,0.880,4.160,0.930,1.000,0.980,1.080,1.160,1.250,1.090,1.150,1.250,1.470,1.220,1.500,1.490,1.660,1.220,1.370,1.370,1.120,1.330,1.500,1.570,0.870
EarningsPerShareDiluted,0.860,4.080,0.910,0.990,0.960,1.060,1.140,1.230,1.070,1.130,1.230,1.440,1.200,1.470,1.470,1.610,1.200,1.340,1.340,1.100,1.310,1.460,1.500,0.840
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,-8000000.000,,,2700000.000,,,,1700000.000
EffectiveIncomeTaxRateContinuingOperations,,0.344,0.309,,0.303,0.305,0.245,-0.566,0.249,0.276,0.006,-0.354,0.258,0.283,0.192,-0.497,0.298,0.275,0.214,0.289,0.297,0.172,-0.549,0.249
EffectiveIncomeTaxRateReconciliationTaxCredits,,,,,0.325,0.307,0.300,,0.300,0.291,0.252,,0.295,0.281,0.281,,0.295,0.295,0.335,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,2700000.000,,,,,,,,,,,,,,,,,,,,,,,
