,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,-13000000.000,,,,9000000.000,,,,13000000.000
AdjustmentsToAdditionalPaidInCapitalOther,,,-1000000.000,,,,1000000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,20000000.000,,,,23000000.000,,,,23000000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,7000000.000,,,,2000000.000,,,,
AllocatedShareBasedCompensationExpense,17000000.000,20000000.000,19000000.000,20000000.000,21000000.000,22000000.000,21000000.000,23000000.000,24000000.000,23000000.000,20000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,2000000.000,2000000.000,2000000.000,-4000000.000,
BasicEarningsPerShareProForma,-0.010,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,46000000.000,,,,32000000.000,,,,113000000.000
ComprehensiveIncomeNetOfTax,1000000.000,-12000000.000,-18000000.000,-1000000.000,-9000000.000,-24000000.000,-10000000.000,-7000000.000,-3000000.000,30000000.000,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,26000000.000,-22000000.000,-15000000.000,43000000.000,10000000.000,-29000000.000,12000000.000,-9000000.000,26000000.000,-44000000.000,5000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,27000000.000,-34000000.000,-33000000.000,42000000.000,1000000.000,-53000000.000,2000000.000,-16000000.000,23000000.000,-14000000.000,5000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesRepurchaseOfSharesBySubsidiary,,,,,,,,,,,150000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,10000000.000,15000000.000,10000000.000,7000000.000,15000000.000,,,,,,
CostsAndExpenses,304000000.000,358000000.000,336000000.000,389000000.000,397000000.000,428000000.000,359000000.000,384000000.000,403000000.000,363000000.000,385000000.000
DeferredIncomeTaxExpenseBenefit,,,-9000000.000,,,,-6000000.000,,,,
DepreciationAndAmortization,72000000.000,77000000.000,64000000.000,68000000.000,67000000.000,69000000.000,55000000.000,55000000.000,56000000.000,56000000.000,56000000.000
EarningsPerShareBasic,,-0.070,-0.090,-0.090,-0.040,-0.310,-0.160,-0.030,-0.010,0.480,-0.040
EarningsPerShareDiluted,,-0.070,-0.090,-0.090,-0.040,-0.310,-0.160,-0.030,-0.010,0.480,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,,-12000000.000,,,,2000000.000,,,,1000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,7000000.000,,,,4000000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,7000000.000,,,,4000000.000,,,,
GainLossOnInvestmentsExcludingOtherThanTemporaryImpairments,,,,,,,,,,,6000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,28000000.000,5000000.000,28000000.000,25000000.000,41000000.000,-90000000.000,-5000000.000,11000000.000,25000000.000,15000000.000,-5000000.000
IncomeTaxExpenseBenefit,11000000.000,3000000.000,11000000.000,12000000.000,12000000.000,-45000000.000,3000000.000,4000000.000,-1000000.000,-7000000.000,4000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,79000000.000,,,,117000000.000,,,,101000000.000
IncreaseDecreaseInOperatingAssets,,,76000000.000,,,,64000000.000,,,,36000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1000000.000,,,,,,,,,
InterestExpense,3000000.000,4000000.000,8000000.000,5000000.000,7000000.000,8000000.000,8000000.000,7000000.000,5000000.000,5000000.000,5000000.000
NetCashProvidedByUsedInFinancingActivities,,,-2000000.000,,,,-93000000.000,,,,-114000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-2000000.000,,,,-93000000.000,,,,-114000000.000
NetCashProvidedByUsedInInvestingActivities,,,-35000000.000,,,,11000000.000,,,,98000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-35000000.000,,,,11000000.000,,,,98000000.000
NetCashProvidedByUsedInOperatingActivities,,,95000000.000,,,,112000000.000,,,,128000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,95000000.000,,,,112000000.000,,,,128000000.000
NetIncomeLoss,-1000000.000,-5000000.000,-7000000.000,-7000000.000,-3000000.000,-23000000.000,-12000000.000,-2000000.000,,,
NetIncomeLossAttributableToNoncontrollingInterest,18000000.000,7000000.000,24000000.000,20000000.000,32000000.000,-22000000.000,4000000.000,9000000.000,27000000.000,-14000000.000,-6000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,-1000000.000,,-3000000.000
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,8000000.000,,,,2000000.000,,,,3000000.000
NonoperatingIncomeExpense,-3000000.000,-12000000.000,-10000000.000,,6000000.000,,-7000000.000,-3000000.000,-6000000.000,39000000.000,2000000.000
OperatingCostsAndExpenses,54000000.000,61000000.000,66000000.000,69000000.000,,,,,,,
OperatingIncomeLoss,31000000.000,17000000.000,38000000.000,25000000.000,35000000.000,-83000000.000,2000000.000,14000000.000,31000000.000,-24000000.000,-7000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,10000000.000,-36000000.000,-50000000.000,29000000.000,-29000000.000,-8000000.000,10000000.000,-23000000.000,-3000000.000,-36000000.000,14000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,-1000000.000,,,,,,
OtherComprehensiveIncomeLossNetOfTax,10000000.000,-36000000.000,-50000000.000,29000000.000,-28000000.000,-8000000.000,10000000.000,-23000000.000,-3000000.000,-36000000.000,14000000.000
OtherNoncashIncomeExpense,,,,,,,,,,,4000000.000
OtherNonoperatingIncomeExpense,,-8000000.000,-2000000.000,5000000.000,13000000.000,1000000.000,1000000.000,4000000.000,-1000000.000,-9000000.000,1000000.000
OtherSalesRevenueNet,,,,,,,9000000.000,7000000.000,13000000.000,23000000.000,6000000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,13000000.000,,,,9000000.000,,,,13000000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,5000000.000,,,,,,,,
PaymentsToAcquireMarketableSecurities,,,32000000.000,,,,16000000.000,,,,
PaymentsToAcquireProductiveAssets,,,32000000.000,,,,17000000.000,,,,18000000.000
ProceedsFromIssuanceOfDebt,,,,,,,,,,,270000000.000
ProceedsFromIssuanceOfLongTermDebt,,,2000000.000,,,,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,34000000.000,,,,44000000.000,,,,116000000.000
ProceedsFromStockOptionsExercised,,,4000000.000,,,,,,,,
ProfitLoss,17000000.000,2000000.000,17000000.000,13000000.000,29000000.000,-45000000.000,-8000000.000,7000000.000,26000000.000,22000000.000,-9000000.000
PropertyPlantAndEquipmentAdditions,,,32000000.000,,,,17000000.000,,,,18000000.000
RelatedPartyTransactionAmountsOfTransaction,,,,1000000.000,1000000.000,,1000000.000,,,,
RepaymentsOfLongTermDebt,,,10000000.000,,,,90000000.000,,,,224000000.000
Revenues,335000000.000,375000000.000,374000000.000,414000000.000,432000000.000,345000000.000,361000000.000,398000000.000,434000000.000,339000000.000,378000000.000
SaleOfStockConsiderationReceivedPerTransaction,,,8000000.000,,,,2000000.000,,,,3000000.000
SalesRevenueGoodsNet,12000000.000,21000000.000,11000000.000,9000000.000,17000000.000,,,,,,
SalesRevenueNet,335000000.000,375000000.000,374000000.000,414000000.000,432000000.000,345000000.000,361000000.000,398000000.000,434000000.000,339000000.000,378000000.000
SalesRevenueServicesNet,,,,,,,352000000.000,391000000.000,421000000.000,316000000.000,372000000.000
SellingGeneralAndAdministrativeExpense,168000000.000,205000000.000,196000000.000,245000000.000,243000000.000,251000000.000,215000000.000,239000000.000,252000000.000,212000000.000,245000000.000
ShareBasedCompensation,,,19000000.000,,,,21000000.000,,,,20000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,0.000,,,,0.000,,,,0.000
StockIssuedDuringPeriodValueStockOptionsExercised,,,4000000.000,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,74000000.000,75000000.000,75000000.000,75000000.000,-150000000.000,75000000.000,75000000.000,75000000.000,-150000000.000,75000000.000
WeightedAverageNumberOfSharesOutstandingBasic,,73000000.000,75000000.000,75000000.000,75000000.000,-150000000.000,75000000.000,75000000.000,75000000.000,-150000000.000,75000000.000
