,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsNotesAndLoansReceivableNetCurrent,585282000.000,592063000.000,557171000.000,517839000.000,648889000.000,641783000.000,601369000.000,593679000.000,674343000.000,665002000.000,636600000.000,537500000.000,558500000.000,545400000.000,508700000.000,448700000.000,487400000.000
AccountsPayableAndAccruedLiabilitiesCurrent,,,,383649000.000,493850000.000,479496000.000,,,,,,,,,,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,394756000.000,396884000.000,,,,,,,,,,,,,,322700000.000,377900000.000
AccountsPayableCurrent,,,402402000.000,345705000.000,453484000.000,428346000.000,403386000.000,418857000.000,463997000.000,428774000.000,443600000.000,334300000.000,359700000.000,369900000.000,326600000.000,277900000.000,323500000.000
AccruedIncomeTaxesCurrent,1112000.000,1413000.000,768000.000,1135000.000,2146000.000,3147000.000,4181000.000,4065000.000,1377000.000,1003000.000,3600000.000,1900000.000,1500000.000,2300000.000,2500000.000,800000.000,1400000.000
AccruedLiabilitiesAndOtherLiabilities,36511000.000,35344000.000,44475000.000,36809000.000,38220000.000,48003000.000,46719000.000,36700000.000,41658000.000,47235000.000,59000000.000,46400000.000,51500000.000,64700000.000,63500000.000,44000000.000,53000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,40049000.000,,52443000.000,58833000.000,65697000.000,73855000.000,83024000.000,92286000.000,100637000.000,109000000.000,117500000.000,125500000.000,133400000.000,137800000.000,144600000.000,154300000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-10561000.000,-20468000.000,-12572000.000,-10832000.000,-16940000.000,-17018000.000,-10384000.000,-9291000.000,-11244000.000,-9749000.000,-20700000.000,-29800000.000,-45400000.000,-40100000.000,-47600000.000,-54200000.000,-48000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,3486000.000,7322000.000,3899000.000,3783000.000,4861000.000,4902000.000,4337000.000,4530000.000,5053000.000,4565000.000,6300000.000,3800000.000,4000000.000,4300000.000,3800000.000,3400000.000,4700000.000
Assets,1435603000.000,1454658000.000,1482525000.000,1516300000.000,1652726000.000,1621555000.000,1599792000.000,1700308000.000,1960300000.000,2033450000.000,1906100000.000,1778200000.000,1726600000.000,1759000000.000,1718000000.000,1574800000.000,1617600000.000
AssetsCurrent,961809000.000,988973000.000,1017370000.000,998346000.000,1136379000.000,1105285000.000,1078580000.000,1100808000.000,1320659000.000,1241036000.000,1148200000.000,1030800000.000,988900000.000,1026800000.000,983500000.000,842300000.000,891000000.000
AssetsHeldForSaleCurrent,,,,,,,,,,54472000.000,700000.000,,,,,,
AssetsHeldForSaleOtherNoncurrent,,,,,,,,,,20431000.000,0.000,,,,,,
