,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31
CashPeriodIncreaseDecrease,11654.000,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
GeneralAndAdministrativeExpense,6364.000,11295.000,1994.000,7254.000,2500.000,4525.000,26883.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-13982.000,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,2500.000,650.000,17349.000
NetCashProvidedByUsedInFinancingActivities,32000.000,,,,2500.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,32000.000,,,,2500.000,,
NetCashProvidedByUsedInOperatingActivities,-20346.000,,,,-2500.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-20346.000,,,,-2500.000,,
NetIncomeLoss,-6364.000,-11295.000,-1994.000,-7254.000,-2500.000,-4525.000,-26883.000
OperatingExpenses,,,,,,4525.000,26883.000
ProceedsFromIssuanceOfCommonStock,28000.000,,,,,,
ProceedsFromRelatedPartyDebt,4000.000,,,,2500.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,415000000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,8300000.000,8300000.000,,8300000.000,415000000.000,
