,2011-06-30,2011-09-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,,,,,,,,,,,,16200000.000,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,,,,,,,,,,15512762.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-145.000,-113.000,,,,0.000,,,,505833.000,,,,673778.000,,,,635858.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,754219.000,-8027420.000,,16266651.000,5198796.000,525881.000,,11615963.000
DeferredFederalIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,3229150.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,0.350,,,,0.350,,,,0.350,,,,0.350
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,,,,,,400000.000,,,,440298.000
GainLossOnSaleOfInvestments,,,,,,,,,,,,,,,,,,,,15512762.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,692934.000,-2894576.000,1028128.000,967632.000,-176656.000,-1235893.000,-529195.000,1551005.000,2485638.000,-1526772.000,1507849.000,587343.000,971580.000,-1032390.000,438449.000,1918285.000,853888.000,-928512.000,2401659.000,17595404.000
IncomeLossFromEquityMethodInvestments,744624.000,-2829238.000,1056535.000,1056535.000,-9111.000,-1208985.000,-485535.000,1625403.000,2525486.000,-1660614.000,1284587.000,455849.000,760872.000,-1234308.000,217200.000,1756800.000,638000.000,-1144400.000,-14400.000,1891200.000
IncomeTaxExpenseBenefit,,,,,0.000,0.000,,0.000,0.000,0.000,163241.000,138933.000,198451.000,-339024.000,-161601.000,0.000,733446.000,-366174.000,-230682.000,5979441.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-31885.000,50862.000,,,,43970.000,,,,72417.000,,,,39397.000,,,,-3617.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,138933.000,,,,0.000,,,,2659211.000
IncreaseDecreaseInIncomeTaxesReceivable,,,,,,,,,,,,,,,,,,,,-91080.000
InterestIncomeOperating,,,,,,,,,,193277.000,,236833.000,250445.000,255889.000,260166.000,273778.000,260167.000,260167.000,338332.000,283522.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,30428.000,,,,32922.000,,,,,,,,-41341594.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,30428.000,,,,32922.000,,,,,,,,-41341594.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,269000.000,,,,,,,,41789627.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,269000.000,,,,,,,,41789627.000
NetCashProvidedByUsedInOperatingActivities,,,-60292.000,-38041.000,,,,-30428.000,,,,203911.000,,,,200882.000,,,,187825.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-60292.000,-38041.000,,,,-30428.000,,,,203911.000,,,,200882.000,,,,187825.000
NetIncomeLoss,692934.000,-2894576.000,1028128.000,967632.000,-176656.000,-1235893.000,-529195.000,1551005.000,2485638.000,-1526772.000,1344608.000,448410.000,773129.000,-693366.000,600050.000,1918285.000,120442.000,-562338.000,2632341.000,11615963.000
OperatingIncomeLoss,744624.000,-2829238.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,,,,,-7051088.000,,14348366.000,5078354.000,1088219.000,-200934.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,,,,,,0.000
PaymentsOfDistributionsToAffiliates,,,,,,,,,,,,,,,,,,,,41407292.000
ProceedsFromRelatedPartyDebt,,,60147.000,37928.000,,,,30428.000,,,,32922.000,,,,72896.000,,,,65698.000
RepaymentOfNotesReceivableFromRelatedParties,,,,,,,,,,,,,,,,,,,,4900000.000
