,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-11-30,2015-05-31,2016-02-29,2016-05-31
AmortizationOfDeferredLoanOriginationFeesNet,,,,,,,,,,,,,,56090.000,
AmortizationOfFinancingCosts,,,,,,,,,,,,10707.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,3049.000,,,,-169.000,,,,-1211.000,,16166.000,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,-301905.000,,,
ConversionGainsAndLossesOnForeignInvestments,,,,,,,,,,,,-16156.000,-13694.000,313303.000,
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,,,,,,,,,,-11157.000,,,
Depreciation,,,,,,,,,,,,500.000,,,
EarningsPerShareBasic,0.000,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,0.000,0.000,0.000,-0.000,0.000,,0.000,,0.000,-0.000,-0.000,-0.007,-0.010,-0.005
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,-16156.000,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,,2.880,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,,,0.540,,
GeneralAndAdministrativeExpense,2279.000,2653.000,2495.000,2495.000,2495.000,4524.000,2402.000,2427.000,1220.000,5211.000,2619.000,106659.000,387444.000,368020.000,
IncomeLossFromContinuingOperations,,,,,,,,,,,,-301905.000,-662047.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,,-756726.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-2653.000,-2495.000,-2495.000,-2495.000,-4524.000,-2402.000,-2427.000,-1220.000,-5211.000,,,,,
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,,-2653.000,,,,-4524.000,,,,-5211.000,,,,,
IncreaseDecreaseInAccountsPayable,,-298.000,,,,-745.000,,,,,,66918.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,6000.000,,,,5100.000,,,,4000.000,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,4200.000,,,,7241.000,,,
IncreaseDecreaseInIntangibleAssetsCurrent,,,,,,,,,,,,499064.000,,,
InterestExpenseOther,,,,,,,,,,,,,3500.000,7618.000,
InterestExpenseRelatedParty,,,,,,,,,,,,19590.000,15749.000,16922.000,
NetCashProvidedByUsedInFinancingActivities,,6000.000,,,,5100.000,,,,4000.000,,302446.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,6000.000,,,,5100.000,,,,4000.000,,302446.000,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,-62500.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,-62500.000,,,
NetCashProvidedByUsedInOperatingActivities,,-2951.000,,,,-5269.000,,,,-5211.000,,-207624.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-2951.000,,,,-5269.000,,,,-5211.000,,-207624.000,,,
NetIncomeLoss,-2279.000,,,,,,,,,,-2619.000,-285749.000,-648353.000,-722204.000,
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1,,,,,,,,,,,,,25000.000,,
NonoperatingGainsLosses,,,,,,,,,,,,,,-443423.000,
OperatingExpenses,2279.000,2653.000,2495.000,2495.000,2495.000,4524.000,2402.000,2427.000,1220.000,5211.000,2619.000,266159.000,629104.000,676096.000,
OperatingIncomeLoss,,,,,,,,,,,-2619.000,-266159.000,-629104.000,676096.000,
PaymentsToAcquireIntangibleAssets,,,,,,,,,,,,-62500.000,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,195205.000,,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,,,,,,,,,19590.000,,,
ResearchAndDevelopmentExpense,,,,,,,,,,,,159500.000,241660.000,23900.000,
ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,,,,,,,,,,,,125000.000,,,
SaleOfStockNumberOfSharesIssuedInTransaction,,,,,,,,,,,,,250000.000,,
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,,,,,,,,,,,,,19820.000,,
StockIssuedDuringPeriodValueAcquisitions,,,,,,,,,,,,375064.000,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,,,,,,,,375064.000,,,
StockIssuedDuringPeriodValueOther,,,,,,,,,,,,100000.000,,,
WeightedAverageNumberBasicSharesOutstandingAdjustmentProForma,6882273.000,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,6882273.000,,6882273.000,,6882273.000,,6882273.000,6882273.000,80871696.000,98720647.000,119328947.000,134259353.000
